point_id,cls,kind,t_start,t_end,duration_s,az_mid_deg,el_mid_deg,eccentricity_deg,box_height_deg,region,set
0,9,traffic_light,0.0,2.5,2.5,19.935,5.621,20.681,2.007,centre,B
1,9,traffic_light,6.5,23.0,16.5,20.97,7.493,22.211,2.151,centre,B
2,9,traffic_light,10.5,14.0,3.5,5.724,5.976,8.268,0.954,centre,B
3,0,person,20.5,22.0,1.5,-32.863,-2.743,32.965,8.095,periphery,A
4,0,person,28.0,32.0,4.0,72.162,-14.364,72.737,7.380,periphery,B
5,0,person,55.5,145.0,89.5,47.556,-4.185,47.696,11.322,periphery,B
6,0,person,61.0,68.0,7.0,37.692,-3.33,37.817,3.528,periphery,B
7,0,person,62.0,66.0,4.0,24.228,-3.24,24.431,3.276,centre,A
8,9,traffic_light,67.0,77.5,10.5,-10.215,5.234,11.465,1.395,centre,A
9,9,traffic_light,81.0,82.0,1.0,10.53,2.016,10.719,1.044,centre,A
10,0,person,81.5,83.0,1.5,-4.941,-2.201,5.408,5.589,centre,B
11,0,person,82.5,115.0,32.5,31.221,-5.085,31.591,10.872,periphery,A
12,0,person,85.0,113.0,28.0,82.926,-6.201,82.968,11.466,periphery,A
13,0,person,104.5,107.0,2.5,-9.369,-6.849,11.587,20.754,centre,B
14,0,person,113.0,115.5,2.5,1.683,-2.664,3.151,7.524,centre,A
15,0,person,130.5,131.5,1.0,28.566,-3.555,28.768,5.706,periphery,B
16,9,traffic_light,137.0,138.5,1.5,-22.635,11.525,25.262,3.015,centre,B
17,9,traffic_light,137.5,140.5,3.0,23.238,4.77,23.696,2.664,centre,A
18,0,person,143.5,154.5,11.0,19.224,-0.81,19.24,2.772,centre,A
19,0,person,145.5,154.0,8.5,15.075,-1.553,15.153,2.907,centre,B
20,0,person,154.0,166.0,12.0,30.834,-5.4,31.257,10.800,periphery,B
21,0,person,166.5,174.0,7.5,33.615,-6.624,34.186,12.114,periphery,A
22,0,person,175.5,176.5,1.0,19.674,-4.41,20.143,8.136,centre,A
23,0,person,176.5,178.5,2.0,38.898,-4.005,39.071,5.598,periphery,A
24,0,person,182.5,184.5,2.0,-18.198,-2.43,18.354,5.004,centre,A
25,9,traffic_light,190.0,193.0,3.0,-6.462,6.444,9.116,2.088,centre,B
26,9,traffic_light,202.0,255.0,53.0,-25.02,13.662,28.295,3.492,periphery,B
27,9,traffic_light,206.0,208.0,2.0,-16.74,2.313,16.895,2.790,centre,A
28,9,traffic_light,209.0,253.0,44.0,-8.604,4.275,9.6,1.818,centre,A
29,0,person,217.0,220.0,3.0,14.544,-3.744,15.008,4.500,centre,A
30,0,person,250.5,257.5,7.0,-2.538,-0.405,2.57,4.662,centre,A
31,0,person,258.5,269.5,11.0,26.388,-1.953,26.455,5.238,periphery,B
32,9,traffic_light,264.0,265.5,1.5,11.628,11.039,15.981,2.187,centre,A
33,0,person,270.5,273.5,3.0,19.971,-1.543,20.028,2.619,centre,A
34,9,traffic_light,272.0,274.5,2.5,12.564,6.917,14.315,1.755,centre,B
35,0,person,280.5,305.5,25.0,59.292,-6.291,59.497,13.482,periphery,A
36,9,traffic_light,281.0,284.5,3.5,17.055,8.235,18.886,2.286,centre,A
37,9,traffic_light,291.0,293.5,2.5,23.931,4.212,24.277,1.908,centre,B
38,9,traffic_light,298.5,301.5,3.0,-5.778,8.46,10.233,2.412,centre,A
39,9,traffic_light,301.0,302.0,1.0,28.26,4.59,28.6,2.052,periphery,B
40,9,traffic_light,313.5,314.5,1.0,21.492,5.562,22.167,1.692,centre,B
41,9,traffic_light,315.0,316.0,1.0,17.262,7.101,18.624,1.818,centre,A
42,0,person,325.0,345.0,20.0,82.296,-11.754,82.458,20.016,periphery,B
43,0,person,347.5,351.5,4.0,-19.602,-6.336,20.562,11.448,centre,B
44,0,person,362.0,418.5,56.5,70.011,-14.733,70.695,8.190,periphery,A
45,9,traffic_light,363.5,417.0,53.5,-17.199,9.252,19.463,2.250,centre,A
46,0,person,364.0,418.0,54.0,70.578,-9.153,70.835,19.350,periphery,B
47,0,person,401.0,410.0,9.0,9.612,-5.562,11.092,10.800,centre,B
48,0,person,405.0,417.0,12.0,2.79,-4.392,5.202,15.228,centre,B
49,9,traffic_light,425.5,426.5,1.0,1.386,12.879,12.952,2.682,centre,B
50,9,traffic_light,456.5,458.0,1.5,5.688,9.396,10.97,2.322,centre,A
51,0,person,459.0,470.0,11.0,10.116,-3.843,10.814,5.526,centre,A
52,0,person,464.0,469.5,5.5,48.663,-5.135,48.865,7.155,periphery,A
53,9,traffic_light,464.5,466.5,2.0,-6.498,9.504,11.496,2.916,centre,B
54,0,person,481.5,487.0,5.5,-14.409,-1.778,14.516,5.607,centre,B
55,0,person,494.0,502.5,8.5,-5.472,-2.758,6.126,4.365,centre,B
56,0,person,495.5,498.0,2.5,-3.393,-1.265,3.621,2.403,centre,B
57,9,traffic_light,499.5,501.0,1.5,-14.994,15.566,21.483,3.303,periphery,A
