point_id,cls,kind,t_start,t_end,duration_s,az_mid_deg,el_mid_deg,eccentricity_deg,box_height_deg,region
0,9,traffic_light,0.000,2.500,2.500,19.935,5.621,20.681,2.007,centre
1,9,traffic_light,6.500,23.000,16.500,20.970,7.493,22.211,2.151,centre
2,9,traffic_light,10.500,14.000,3.500,5.724,5.976,8.268,0.954,centre
3,0,person,20.500,22.000,1.500,-32.863,-2.743,32.965,8.095,periphery
4,0,person,28.000,32.000,4.000,72.162,-14.364,72.737,7.380,periphery
5,0,person,55.500,145.000,89.500,47.556,-4.185,47.696,11.322,periphery
6,0,person,61.000,68.000,7.000,37.692,-3.330,37.817,3.528,periphery
7,0,person,62.000,66.000,4.000,24.228,-3.240,24.431,3.276,centre
8,9,traffic_light,67.000,77.500,10.500,-10.215,5.234,11.465,1.395,centre
9,9,traffic_light,81.000,82.000,1.000,10.530,2.016,10.719,1.044,centre
10,0,person,81.500,83.000,1.500,-4.941,-2.201,5.408,5.589,centre
11,0,person,82.500,115.000,32.500,31.221,-5.085,31.591,10.872,periphery
12,0,person,85.000,113.000,28.000,82.926,-6.201,82.968,11.466,periphery
13,0,person,104.500,107.000,2.500,-9.369,-6.849,11.587,20.754,centre
14,0,person,113.000,115.500,2.500,1.683,-2.664,3.151,7.524,centre
15,0,person,130.500,131.500,1.000,28.566,-3.555,28.768,5.706,periphery
16,9,traffic_light,137.000,138.500,1.500,-22.635,11.525,25.262,3.015,centre
17,9,traffic_light,137.500,140.500,3.000,23.238,4.770,23.696,2.664,centre
18,0,person,143.500,154.500,11.000,19.224,-0.810,19.240,2.772,centre
19,0,person,145.500,154.000,8.500,15.075,-1.553,15.153,2.907,centre
20,0,person,154.000,166.000,12.000,30.834,-5.400,31.257,10.800,periphery
21,0,person,166.500,174.000,7.500,33.615,-6.624,34.186,12.114,periphery
22,0,person,175.500,176.500,1.000,19.674,-4.410,20.143,8.136,centre
23,0,person,176.500,178.500,2.000,38.898,-4.005,39.071,5.598,periphery
24,0,person,182.500,184.500,2.000,-18.198,-2.430,18.354,5.004,centre
25,9,traffic_light,190.000,193.000,3.000,-6.462,6.444,9.116,2.088,centre
26,9,traffic_light,202.000,255.000,53.000,-25.020,13.662,28.295,3.492,periphery
27,9,traffic_light,206.000,208.000,2.000,-16.740,2.313,16.895,2.790,centre
28,9,traffic_light,209.000,253.000,44.000,-8.604,4.275,9.600,1.818,centre
29,0,person,217.000,220.000,3.000,14.544,-3.744,15.008,4.500,centre
30,0,person,250.500,257.500,7.000,-2.538,-0.405,2.570,4.662,centre
31,0,person,258.500,269.500,11.000,26.388,-1.953,26.455,5.238,periphery
32,9,traffic_light,264.000,265.500,1.500,11.628,11.039,15.981,2.187,centre
33,0,person,270.500,273.500,3.000,19.971,-1.543,20.028,2.619,centre
34,9,traffic_light,272.000,274.500,2.500,12.564,6.917,14.315,1.755,centre
35,0,person,280.500,305.500,25.000,59.292,-6.291,59.497,13.482,periphery
36,9,traffic_light,281.000,284.500,3.500,17.055,8.235,18.886,2.286,centre
37,9,traffic_light,291.000,293.500,2.500,23.931,4.212,24.277,1.908,centre
38,9,traffic_light,298.500,301.500,3.000,-5.778,8.460,10.233,2.412,centre
39,9,traffic_light,301.000,302.000,1.000,28.260,4.590,28.600,2.052,periphery
40,9,traffic_light,313.500,314.500,1.000,21.492,5.562,22.167,1.692,centre
41,9,traffic_light,315.000,316.000,1.000,17.262,7.101,18.624,1.818,centre
42,0,person,325.000,345.000,20.000,82.296,-11.754,82.458,20.016,periphery
43,0,person,347.500,351.500,4.000,-19.602,-6.336,20.562,11.448,centre
44,0,person,362.000,418.500,56.500,70.011,-14.733,70.695,8.190,periphery
45,9,traffic_light,363.500,417.000,53.500,-17.199,9.252,19.463,2.250,centre
46,0,person,364.000,418.000,54.000,70.578,-9.153,70.835,19.350,periphery
47,0,person,401.000,410.000,9.000,9.612,-5.562,11.092,10.800,centre
48,0,person,405.000,417.000,12.000,2.790,-4.392,5.202,15.228,centre
49,9,traffic_light,425.500,426.500,1.000,1.386,12.879,12.952,2.682,centre
50,9,traffic_light,456.500,458.000,1.500,5.688,9.396,10.970,2.322,centre
51,0,person,459.000,470.000,11.000,10.116,-3.843,10.814,5.526,centre
52,0,person,464.000,469.500,5.500,48.663,-5.135,48.865,7.155,periphery
53,9,traffic_light,464.500,466.500,2.000,-6.498,9.504,11.496,2.916,centre
54,0,person,481.500,487.000,5.500,-14.409,-1.778,14.516,5.607,centre
55,0,person,494.000,502.500,8.500,-5.472,-2.758,6.126,4.365,centre
56,0,person,495.500,498.000,2.500,-3.393,-1.265,3.621,2.403,centre
57,9,traffic_light,499.500,501.000,1.500,-14.994,15.566,21.483,3.303,periphery
