t_ms,pid,block,condition,yaw_deg,pitch_deg,roll_deg,head_speed_dps,dr_intensity,mode,event,payload
1.78646E+12,90,A,A3,,,,,0,NBACK1_PILOT,CPT_PANEL_PLACED,dist_m=n/a;tool=block-a-cpt.html;window_stage=done
1.78646E+12,90,A,A3,,,,,0,NBACK1_PILOT,CPT_RUN_START,trials=140;seed=842;soa_s=2;task=nback1_lures;gen=v4;target_p=0.5;lure_p=0.6;filter=NOFILTER;distractors=PROTEST
1.78646E+12,90,A,A3,,,,,0,NBACK1_PILOT,CPT_ONSET,idx=0;kind=nogo;shape=ellipse
1.78646E+12,90,A,A3,,,,,0,NBACK1_PILOT,CPT_RESULT,idx=0;outcome=first_unscored
1.78646E+12,90,A,A3,,,,,0,NBACK1_PILOT,CPT_ONSET,idx=1;kind=go;shape=ellipse
1.78646E+12,90,A,A3,,,,,0,NBACK1_PILOT,CPT_RESULT,idx=1;outcome=hit;rt_ms=702
1.78646E+12,90,A,A3,,,,,0,NBACK1_PILOT,CPT_ONSET,idx=2;kind=go;shape=ellipse
1.78646E+12,90,A,A3,,,,,0,NBACK1_PILOT,CPT_RESULT,idx=2;outcome=hit;rt_ms=748
1.78646E+12,90,A,A3,,,,,0,NBACK1_PILOT,CPT_ONSET,idx=3;kind=nogo;shape=circle;lure=1
1.78646E+12,90,A,A3,,,,,0,NBACK1_PILOT,CPT_RESULT,idx=3;outcome=correct_reject;rt_ms=750
1.78646E+12,90,A,A3,,,,,0,NBACK1_PILOT,CPT_ONSET,idx=4;kind=nogo;shape=diamond;lure=0
1.78646E+12,90,A,A3,,,,,0,NBACK1_PILOT,CPT_RESULT,idx=4;outcome=commission;rt_ms=771
1.78646E+12,90,A,A3,,,,,0,NBACK1_PILOT,CPT_ONSET,idx=5;kind=nogo;shape=pentagon;lure=0
1.78646E+12,90,A,A3,,,,,0,NBACK1_PILOT,CPT_RESULT,idx=5;outcome=correct_reject;rt_ms=964
1.78646E+12,90,A,A3,,,,,0,NBACK1_PILOT,CPT_ONSET,idx=6;kind=go;shape=pentagon
1.78646E+12,90,A,A3,,,,,0,NBACK1_PILOT,CPT_RESULT,idx=6;outcome=hit;rt_ms=710
1.78646E+12,90,A,A3,,,,,0,NBACK1_PILOT,CPT_ONSET,idx=7;kind=nogo;shape=square;lure=0
1.78646E+12,90,A,A3,,,,,0,NBACK1_PILOT,CPT_RESULT,idx=7;outcome=correct_reject;rt_ms=1150
1.78646E+12,90,A,A3,,,,,0,NBACK1_PILOT,CPT_ONSET,idx=8;kind=go;shape=square
1.78646E+12,90,A,A3,,,,,0,NBACK1_PILOT,CPT_RESULT,idx=8;outcome=hit;rt_ms=623
1.78646E+12,90,A,A3,,,,,0,NBACK1_PILOT,CPT_ONSET,idx=9;kind=nogo;shape=ellipse;lure=0
1.78646E+12,90,A,A3,,,,,0,NBACK1_PILOT,CPT_RESULT,idx=9;outcome=correct_reject;rt_ms=922
1.78646E+12,90,A,A3,,,,,0,NBACK1_PILOT,CPT_ONSET,idx=10;kind=nogo;shape=circle;lure=1
1.78646E+12,90,A,A3,,,,,0,NBACK1_PILOT,CPT_RESULT,idx=10;outcome=correct_reject;rt_ms=714
1.78646E+12,90,A,A3,,,,,0,NBACK1_PILOT,CPT_ONSET,idx=11;kind=nogo;shape=ellipse;lure=1
1.78646E+12,90,A,A3,,,,,0,NBACK1_PILOT,CPT_RESULT,idx=11;outcome=commission;rt_ms=680
1.78646E+12,90,A,A3,,,,,0,NBACK1_PILOT,CPT_ONSET,idx=12;kind=nogo;shape=circle;lure=1
1.78646E+12,90,A,A3,,,,,0,NBACK1_PILOT,CPT_RESULT,idx=12;outcome=commission;rt_ms=719
1.78646E+12,90,A,A3,,,,,0,NBACK1_PILOT,CPT_ONSET,idx=13;kind=go;shape=circle
1.78646E+12,90,A,A3,,,,,0,NBACK1_PILOT,CPT_RESULT,idx=13;outcome=hit;rt_ms=624
1.78646E+12,90,A,A3,,,,,0,NBACK1_PILOT,CPT_ONSET,idx=14;kind=go;shape=circle
1.78646E+12,90,A,A3,,,,,0,NBACK1_PILOT,CPT_RESULT,idx=14;outcome=hit;rt_ms=623
1.78646E+12,90,A,A3,,,,,0,NBACK1_PILOT,CPT_ONSET,idx=15;kind=go;shape=circle
1.78646E+12,90,A,A3,,,,,0,NBACK1_PILOT,CPT_RESULT,idx=15;outcome=hit;rt_ms=538
1.78646E+12,90,A,A3,,,,,0,NBACK1_PILOT,CPT_ONSET,idx=16;kind=nogo;shape=ellipse;lure=1
1.78646E+12,90,A,A3,,,,,0,NBACK1_PILOT,CPT_RESULT,idx=16;outcome=correct_reject;rt_ms=565
1.78646E+12,90,A,A3,,,,,0,NBACK1_PILOT,CPT_ONSET,idx=17;kind=go;shape=ellipse
1.78646E+12,90,A,A3,,,,,0,NBACK1_PILOT,CPT_RESULT,idx=17;outcome=hit;rt_ms=789
1.78646E+12,90,A,A3,,,,,0,NBACK1_PILOT,CPT_ONSET,idx=18;kind=nogo;shape=diamond;lure=0
1.78646E+12,90,A,A3,,,,,0,NBACK1_PILOT,CPT_RESULT,idx=18;outcome=correct_reject;rt_ms=1051
1.78646E+12,90,A,A3,,,,,0,NBACK1_PILOT,CPT_ONSET,idx=19;kind=go;shape=diamond
