PLAN,1.78466E+12,999,AF,V-F,,,,
BLOCK,1.78466E+12,999,,,0,video,Filter,A
BLOCK,1.78466E+12,999,,,1,video,NoFilter,B
BLOCK,1.78466E+12,999,,,2,passthrough,NoFilter,-
PLAN,1.78468E+12,1001,BF,V-N,,,,
BLOCK,1.78468E+12,1001,,,0,video,NoFilter,A
BLOCK,1.78468E+12,1001,,,1,video,Filter,B
BLOCK,1.78468E+12,1001,,,2,passthrough,Filter,-
BLOCK,1.78468E+12,1001,,,3,passthrough,NoFilter,-
PLAN,1.78468E+12,1002,AF,P-F,,,,
BLOCK,1.78468E+12,1002,,,0,passthrough,Filter,-
BLOCK,1.78468E+12,1002,,,1,passthrough,NoFilter,-
BLOCK,1.78468E+12,1002,,,2,video,NoFilter,B
BLOCK,1.78468E+12,1002,,,2,video,NoFilter,B
BLOCK,1.78469E+12,1002,,,3,video,Filter,A
BLOCK,1.78469E+12,1002,,,3,video,Filter,A
BLOCK,1.78469E+12,1003,,,0,video,Filter,B
BLOCK,1.78473E+12,1003,,,0,video,NoFilter,A
BLOCK,1.78473E+12,1003,,,0,video,Filter,A
PLAN,1.78473E+12,1,BF,V-N,,,,
BLOCK,1.78473E+12,1,,,0,video,NoFilter,A
BLOCK,1.78473E+12,1,,,1,video,Filter,B
BLOCK,1.78473E+12,1,,,2,passthrough,Filter,-
BLOCK,1.78473E+12,1,,,3,passthrough,NoFilter,-
PLAN,1.78474E+12,2,AF,P-F,,,,
BLOCK,1.78474E+12,2,,,0,passthrough,Filter,-
BLOCK,1.78474E+12,2,,,1,passthrough,NoFilter,-
BLOCK,1.78474E+12,2,,,2,video,NoFilter,B
BLOCK,1.78474E+12,2,,,3,video,Filter,A
PLAN,1.78474E+12,3,BF,P-N,,,,
BLOCK,1.78474E+12,3,,,0,passthrough,NoFilter,-
BLOCK,1.78474E+12,3,,,1,passthrough,Filter,-
BLOCK,1.78474E+12,3,,,2,video,Filter,B
BLOCK,1.78474E+12,3,,,3,video,NoFilter,A
PLAN,1.78474E+12,33,AF,V-N,,,,
BLOCK,1.78474E+12,33,,,0,video,NoFilter,B
BLOCK,1.78474E+12,33,,,1,video,Filter,A
BLOCK,1.78474E+12,33,,,2,passthrough,Filter,-
PLAN,1.78475E+12,4,AF,V-F,,,,
BLOCK,1.78475E+12,4,,,0,video,Filter,A
BLOCK,1.78475E+12,4,,,1,video,NoFilter,B
BLOCK,1.78475E+12,4,,,2,passthrough,NoFilter,-
BLOCK,1.78475E+12,4,,,3,passthrough,Filter,-
PLAN,1.78481E+12,6,BF,P-F,,,,
BLOCK,1.78481E+12,6,,,0,passthrough,Filter,-
BLOCK,1.78482E+12,66,,,0,video,NoFilter,A
BLOCK,1.78482E+12,66,,,0,video,Filter,B
PLAN,1.78483E+12,8,AF,P-N,,,,
BLOCK,1.78483E+12,8,,,0,passthrough,NoFilter,-
PLAN,1.78483E+12,9,BF,V-F,,,,
BLOCK,1.78483E+12,9,,,0,video,Filter,B
BLOCK,1.78483E+12,9,,,1,video,NoFilter,A
BLOCK,1.78483E+12,9,,,2,passthrough,NoFilter,-
PLAN,1.78483E+12,10,AF,P-F,,,,
BLOCK,1.78483E+12,10,,,0,passthrough,Filter,-
BLOCK,1.78483E+12,10,,,1,passthrough,NoFilter,-
BLOCK,1.78483E+12,10,,,2,video,NoFilter,B
BLOCK,1.78483E+12,10,,,3,video,Filter,A
PLAN,1.78516E+12,12,BF,V-F,,,,
BLOCK,1.78517E+12,12,,,0,video,Filter,B
PLAN,1.78517E+12,13,BF,V-N,,,,
BLOCK,1.78517E+12,13,,,0,video,NoFilter,A
BLOCK,1.78517E+12,13,,,1,video,Filter,B
BLOCK,1.78517E+12,13,,,2,passthrough,Filter,-
PLAN,1.78517E+12,14,AF,V-F,,,,
PLAN,1.78517E+12,15,BF,P-N,,,,
BLOCK,1.78517E+12,15,,,0,passthrough,NoFilter,-
BLOCK,1.78517E+12,15,,,1,passthrough,Filter,-
BLOCK,1.78517E+12,15,,,2,video,Filter,B
BLOCK,1.78517E+12,16,,,0,video,NoFilter,B
BLOCK,1.78517E+12,16,,,0,video,Filter,A
PLAN,1.78517E+12,17,AF,V-N,,,,
BLOCK,1.78518E+12,17,,,0,video,NoFilter,B
BLOCK,1.78518E+12,17,,,1,video,Filter,A
BLOCK,1.78518E+12,17,,,2,passthrough,Filter,-
PLAN,1.78526E+12,20,AF,P-N,,,,
BLOCK,1.78526E+12,20,,,0,passthrough,NoFilter,-
BLOCK,1.78526E+12,20,,,1,passthrough,Filter,-
BLOCK,1.78526E+12,20,,,2,video,Filter,A
BLOCK,1.78526E+12,20,,,3,video,NoFilter,B
PLAN,1.78527E+12,10007,BF,P-F,,,,
BLOCK,1.78527E+12,10007,,,0,passthrough,Filter,-
BLOCK,1.78527E+12,10007,,,1,passthrough,NoFilter,-
BLOCK,1.78527E+12,10007,,,2,video,NoFilter,A
PLAN,1.78602E+12,1007,BF,P-F,,,,
BLOCK,1.78602E+12,1007,,,0,passthrough,Filter,-
BLOCK,1.78602E+12,1007,,,1,passthrough,NoFilter,-
PLAN,1.78603E+12,25,BF,P-F,,,,
BLOCK,1.78603E+12,25,,,0,passthrough,Filter,-
BLOCK,1.78603E+12,25,,,1,passthrough,NoFilter,-
BLOCK,1.78603E+12,25,,,2,video,NoFilter,A
BLOCK,1.78603E+12,25,,,3,video,Filter,B
PLAN,1.78603E+12,26,AF,P-F,,,,
BLOCK,1.78603E+12,26,,,0,passthrough,Filter,-
BLOCK,1.78603E+12,26,,,1,passthrough,NoFilter,-
BLOCK,1.78603E+12,26,,,2,video,NoFilter,B
BLOCK,1.78603E+12,26,,,3,video,Filter,A
PLAN,1.78603E+12,27,BF,P-N,,,,
BLOCK,1.78603E+12,27,,,0,passthrough,NoFilter,-
BLOCK,1.78604E+12,27,,,1,passthrough,Filter,-
BLOCK,1.78604E+12,27,,,2,video,Filter,B
BLOCK,1.78604E+12,27,,,3,video,NoFilter,A
PLAN,1.78611E+12,30,AF,V-F,,,,
BLOCK,1.78612E+12,30,,,0,video,Filter,A
BLOCK,1.78612E+12,30,,,1,video,NoFilter,B
BLOCK,1.78612E+12,30,,,2,passthrough,NoFilter,-
BLOCK,1.78612E+12,30,,,3,passthrough,Filter,-
PLAN,1.78612E+12,41,BF,V-N,,,,
BLOCK,1.78612E+12,41,,,0,video,NoFilter,A
BLOCK,1.78613E+12,41,,,1,video,Filter,B
BLOCK,1.78613E+12,41,,,2,passthrough,Filter,-
PLAN,1.78613E+12,43,BF,V-F,,,,
BLOCK,1.78613E+12,43,,,0,video,Filter,B
BLOCK,1.78613E+12,43,,,1,video,NoFilter,A
BLOCK,1.78613E+12,43,,,2,passthrough,NoFilter,-
PLAN,1.78646E+12,51,AF,P-N,,,,
BLOCK,1.78646E+12,51,,,0,passthrough,NoFilter,-
BLOCK,1.78646E+12,51,,,1,passthrough,Filter,-
BLOCK,1.78646E+12,51,,,2,video,Filter,A
BLOCK,1.78646E+12,51,,,3,video,NoFilter,B
PLAN,1.78646E+12,84,AF,P-F,,,,
BLOCK,1.78646E+12,84,,,0,passthrough,Filter,-
BLOCK,1.78646E+12,84,,,1,passthrough,NoFilter,-
