t_ms,pid,condition,set,target_id,kind,t_start,t_end,duration_s,outcome,rt_s,angle_deg
1785164782744,12,Filter,P,0,traffic_light,0.000,2.500,2.500,hit,1.001,0.386
1785164786755,12,Filter,B,-1,,,,,false_alarm,,
1785164791869,12,Filter,B,-1,,,,,false_alarm,,
1785164799191,12,Filter,P,58,traffic_light,0.500,2.500,2.000,hit,0.501,0.289
1785164812985,12,Filter,B,2,traffic_light,10.500,14.000,3.500,miss,,
1785164820954,12,Filter,B,3,person,20.500,22.000,1.500,miss,,
1785164830972,12,Filter,B,4,person,28.000,32.000,4.000,miss,,
1785164831973,12,Filter,B,59,person,20.000,33.000,13.000,miss,,
1785164854996,12,Filter,B,5,person,55.500,145.000,89.500,hit,1.290,3.367
1785164858622,12,Filter,B,-1,,,,,false_alarm,,
1785164859567,12,Filter,B,-1,,,,,false_alarm,,
1785164861957,12,Filter,B,62,person,56.500,63.000,6.500,miss,,
1785164869939,12,Filter,B,-1,,,,,false_alarm,,
1785164881952,12,Filter,B,10,person,81.500,83.000,1.500,miss,,
1785164885439,12,Filter,B,-1,,,,,false_alarm,,
1785164892594,12,Filter,B,64,person,73.500,113.000,39.500,hit,20.894,2.260
1785164905967,12,Filter,B,13,person,104.500,107.000,2.500,miss,,
1785164913487,12,Filter,B,63,person,68.000,114.500,46.500,miss,,
1785164914211,12,Filter,B,14,person,113.000,115.500,2.500,hit,3.016,2.241
1785164917958,12,Filter,B,66,person,113.500,119.000,5.500,miss,,
1785164950961,12,Filter,B,67,traffic_light,151.000,152.000,1.000,miss,,
1785164953978,12,Filter,B,20,person,154.000,166.000,12.000,hit,1.756,1.043
1785164967467,12,Filter,B,68,traffic_light,167.500,168.500,1.000,miss,,
1785164975481,12,Filter,B,22,person,175.500,176.500,1.000,miss,,
1785164977290,12,Filter,B,-1,,,,,false_alarm,,
1785164977485,12,Filter,B,23,person,176.500,178.500,2.000,miss,,
1785164991181,12,Filter,B,25,traffic_light,190.000,193.000,3.000,hit,2.959,5.597
1785165005895,12,Filter,B,27,traffic_light,206.000,208.000,2.000,hit,1.674,1.010
1785165007980,12,Filter,B,72,person,206.500,209.000,2.500,miss,,
1785165044742,12,Filter,B,28,traffic_light,209.000,253.000,44.000,hit,37.546,1.701
1785165064460,12,Filter,B,32,traffic_light,264.000,265.500,1.500,miss,,
1785165064460,12,Filter,B,73,traffic_light,263.000,265.500,2.500,miss,,
1785165068356,12,Filter,B,74,person,264.500,276.500,12.000,hit,5.637,0.928
1785165070357,12,Filter,B,33,person,270.500,273.500,3.000,hit,1.639,0.546
1785165092455,12,Filter,B,37,traffic_light,291.000,293.500,2.500,miss,,
1785165100470,12,Filter,B,38,traffic_light,298.500,301.500,3.000,miss,,
1785165100970,12,Filter,B,39,traffic_light,301.000,302.000,1.000,miss,,
1785165113422,12,Filter,B,40,traffic_light,313.500,314.500,1.000,hit,1.715,1.028
1785165114316,12,Filter,B,41,traffic_light,315.000,316.000,1.000,hit,1.116,4.098
1785165114719,12,Filter,B,-1,,,,,false_alarm,,
1785165143973,12,Filter,B,42,person,325.000,345.000,20.000,miss,,
1785165204279,12,Filter,B,47,person,401.000,410.000,9.000,hit,5.072,0.446
1785165215954,12,Filter,B,48,person,405.000,417.000,12.000,miss,,
1785165216958,12,Filter,B,46,person,364.000,418.000,54.000,miss,,
1785165256958,12,Filter,B,50,traffic_light,456.500,458.000,1.500,miss,,
1785165258838,12,Filter,B,51,person,459.000,470.000,11.000,hit,1.627,0.926
1785165282122,12,Filter,B,54,person,481.500,487.000,5.500,hit,2.417,2.368
1785165295010,12,Filter,B,56,person,495.500,498.000,2.500,hit,1.296,0.635
1785165295696,12,Filter,B,55,person,494.000,502.500,8.500,hit,3.497,0.633
1785165299966,12,Filter,B,57,traffic_light,499.500,501.000,1.500,miss,,
