t_ms,pid,block,condition,yaw_deg,pitch_deg,roll_deg,head_speed_dps,dr_intensity,mode,event,payload
1785164136268,1,A,A1,,,,,1,NBACK1_PILOT,CPT_PANEL_PLACED,dist_m=n/a;tool=block-a-cpt.html;window_stage=done
1785164136269,1,A,A1,,,,,1,NBACK1_PILOT,CPT_RUN_START,trials=140;seed=10;soa_s=2;task=nback1_lures;gen=v4;target_p=0.5;lure_p=0.6;filter=FILTER;distractors=PROTEST
1785164136270,1,A,A1,,,,,1,NBACK1_PILOT,CPT_ONSET,idx=0;kind=nogo;shape=circle
1785164138276,1,A,A1,,,,,1,NBACK1_PILOT,CPT_RESULT,idx=0;outcome=first_unscored
1785164138278,1,A,A1,,,,,1,NBACK1_PILOT,CPT_ONSET,idx=1;kind=nogo;shape=ellipse;lure=1
1785164140296,1,A,A1,,,,,1,NBACK1_PILOT,CPT_RESULT,idx=1;outcome=no_response
1785164140299,1,A,A1,,,,,1,NBACK1_PILOT,CPT_ONSET,idx=2;kind=nogo;shape=circle;lure=1
1785164142329,1,A,A1,,,,,1,NBACK1_PILOT,CPT_RESULT,idx=2;outcome=commission;rt_ms=826
1785164142335,1,A,A1,,,,,1,NBACK1_PILOT,CPT_ONSET,idx=3;kind=nogo;shape=square;lure=0
1785164144347,1,A,A1,,,,,1,NBACK1_PILOT,CPT_RESULT,idx=3;outcome=correct_reject;rt_ms=768
1785164144352,1,A,A1,,,,,1,NBACK1_PILOT,CPT_ONSET,idx=4;kind=nogo;shape=pentagon;lure=0
1785164146365,1,A,A1,,,,,1,NBACK1_PILOT,CPT_RESULT,idx=4;outcome=correct_reject;rt_ms=926
1785164146371,1,A,A1,,,,,1,NBACK1_PILOT,CPT_ONSET,idx=5;kind=go;shape=pentagon
1785164148388,1,A,A1,,,,,1,NBACK1_PILOT,CPT_RESULT,idx=5;outcome=hit;rt_ms=619
1785164148395,1,A,A1,,,,,1,NBACK1_PILOT,CPT_ONSET,idx=6;kind=go;shape=pentagon
1785164150397,1,A,A1,,,,,1,NBACK1_PILOT,CPT_RESULT,idx=6;outcome=hit;rt_ms=651
1785164150402,1,A,A1,,,,,1,NBACK1_PILOT,CPT_ONSET,idx=7;kind=go;shape=pentagon
1785164152412,1,A,A1,,,,,1,NBACK1_PILOT,CPT_RESULT,idx=7;outcome=hit;rt_ms=577
1785164152418,1,A,A1,,,,,1,NBACK1_PILOT,CPT_ONSET,idx=8;kind=nogo;shape=circle;lure=0
1785164154428,1,A,A1,,,,,1,NBACK1_PILOT,CPT_RESULT,idx=8;outcome=correct_reject;rt_ms=492
