t_ms,pid,block,condition,yaw_deg,pitch_deg,roll_deg,head_speed_dps,dr_intensity,mode,event,payload
1785176719783,17,A,A2,,,,,0,NBACK1_PILOT,CPT_PANEL_PLACED,dist_m=n/a;tool=block-a-cpt.html;window_stage=done
1785176719784,17,A,A2,,,,,0,NBACK1_PILOT,CPT_RUN_START,trials=140;seed=171;soa_s=2;task=nback1_lures;gen=v4;target_p=0.5;lure_p=0.6;filter=NOFILTER;distractors=PROTEST
1785176719786,17,A,A2,,,,,0,NBACK1_PILOT,CPT_ONSET,idx=0;kind=nogo;shape=circle
1785176721793,17,A,A2,,,,,0,NBACK1_PILOT,CPT_RESULT,idx=0;outcome=first_unscored
1785176721795,17,A,A2,,,,,0,NBACK1_PILOT,CPT_ONSET,idx=1;kind=nogo;shape=ellipse;lure=1
1785176723816,17,A,A2,,,,,0,NBACK1_PILOT,CPT_RESULT,idx=1;outcome=no_response
1785176723821,17,A,A2,,,,,0,NBACK1_PILOT,CPT_ONSET,idx=2;kind=nogo;shape=circle;lure=1
1785176725835,17,A,A2,,,,,0,NBACK1_PILOT,CPT_RESULT,idx=2;outcome=no_response
1785176725841,17,A,A2,,,,,0,NBACK1_PILOT,CPT_ONSET,idx=3;kind=nogo;shape=ellipse;lure=1
1785176727078,17,A,A2,,,,,0,NBACK1_PILOT,CPT_RUN_ABORTED,go_acc=0.000
