point_id,cls,kind,t_start,t_end,duration_s,az_mid_deg,el_mid_deg,eccentricity_deg,box_height_deg
0,0,person,62.000,66.000,4.000,24.228,-3.240,24.431,3.276
1,9,traffic_light,67.000,77.500,10.500,-10.215,5.234,11.465,1.395
2,0,person,68.000,114.500,46.500,79.875,-5.108,79.916,11.097
3,0,person,85.000,113.000,28.000,82.926,-6.201,82.968,11.466
4,0,person,113.500,119.000,5.500,-49.950,-2.921,50.013,7.497
5,0,person,113.000,115.500,2.500,1.683,-2.664,3.151,7.524
6,9,traffic_light,137.500,140.500,3.000,23.238,4.770,23.696,2.664
7,0,person,143.500,154.500,11.000,19.224,-0.810,19.240,2.772
8,0,person,166.500,174.000,7.500,33.615,-6.624,34.186,12.114
9,0,person,177.000,178.500,1.500,54.414,-2.727,54.460,5.562
10,0,person,180.000,186.000,6.000,-37.953,-1.773,37.988,4.104
11,9,traffic_light,202.000,255.000,53.000,-25.020,13.662,28.295,3.492
12,9,traffic_light,209.000,253.000,44.000,-8.604,4.275,9.600,1.818
13,0,person,217.000,220.000,3.000,14.544,-3.744,15.008,4.500
14,0,person,250.500,257.500,7.000,-2.538,-0.405,2.570,4.662
15,9,traffic_light,264.000,265.500,1.500,-17.406,5.211,18.146,1.800
16,0,person,271.500,271.500,0.000,19.242,-1.422,19.292,2.628
17,0,person,280.500,305.500,25.000,59.292,-6.291,59.497,13.482
18,9,traffic_light,298.500,301.500,3.000,-5.778,8.460,10.233,2.412
19,9,traffic_light,315.000,316.000,1.000,17.928,7.218,19.282,1.764
20,9,traffic_light,363.500,417.000,53.500,-17.199,9.252,19.463,2.250
21,0,person,362.000,418.500,56.500,70.011,-14.733,70.695,8.190
22,9,traffic_light,457.000,458.000,1.000,7.002,10.728,12.788,2.628
23,0,person,459.000,470.000,11.000,10.116,-3.843,10.814,5.526
24,0,person,464.000,469.500,5.500,48.663,-5.135,48.865,7.155
