t_ms,pid,condition,set,target_id,kind,t_start,t_end,duration_s,outcome,rt_s,angle_deg
1784472495894,1,BASELINE,B,0,traffic_light,0.000,2.500,2.500,miss,,
1784472500829,1,BASELINE,B,1,traffic_light,6.500,23.000,16.500,hit,1.675,1.852
1784472504447,1,BASELINE,B,2,traffic_light,10.500,14.000,3.500,hit,1.312,1.240
1784472521644,1,BASELINE,B,-1,,,,,false_alarm,,
1784472522290,1,BASELINE,B,-1,,,,,false_alarm,,
1784472522779,1,BASELINE,B,4,person,28.000,32.000,4.000,hit,2.163,3.339
1784472549391,1,BASELINE,B,-1,,,,,false_alarm,,
1784472549919,1,BASELINE,B,5,person,55.500,145.000,89.500,hit,1.791,0.579
1784472554904,1,BASELINE,B,6,person,61.000,68.000,7.000,hit,1.262,0.860
1784472575841,1,BASELINE,B,10,person,81.500,83.000,1.500,hit,1.716,4.117
1784472599424,1,BASELINE,B,13,person,104.500,107.000,2.500,hit,2.307,0.850
1784472624635,1,BASELINE,B,15,person,130.500,131.500,1.000,hit,1.499,2.316
1784472631893,1,BASELINE,B,16,traffic_light,137.000,138.500,1.500,miss,,
1784472640224,1,BASELINE,B,19,person,145.500,154.000,8.500,hit,2.081,1.462
1784472647768,1,BASELINE,B,20,person,154.000,166.000,12.000,hit,1.122,0.632
1784472683761,1,BASELINE,B,25,traffic_light,190.000,193.000,3.000,hit,1.124,2.177
1784472695821,1,BASELINE,B,26,traffic_light,202.000,255.000,53.000,hit,1.203,0.847
1784472755324,1,BASELINE,B,-1,,,,,false_alarm,,
1784472755968,1,BASELINE,B,31,person,258.500,269.500,11.000,hit,4.830,9.790
1784472756412,1,BASELINE,B,-1,,,,,false_alarm,,
1784472765809,1,BASELINE,B,34,traffic_light,272.000,274.500,2.500,hit,1.173,1.211
1784472785347,1,BASELINE,B,37,traffic_light,291.000,293.500,2.500,hit,1.726,1.598
1784472794658,1,BASELINE,B,39,traffic_light,301.000,302.000,1.000,hit,1.035,6.242
1784472807907,1,BASELINE,B,40,traffic_light,313.500,314.500,1.000,miss,,
1784472818779,1,BASELINE,B,42,person,325.000,345.000,20.000,hit,1.159,0.330
1784472841464,1,BASELINE,B,-1,,,,,false_alarm,,
1784472841977,1,BASELINE,B,43,person,347.500,351.500,4.000,hit,1.849,3.685
1784472859253,1,BASELINE,B,46,person,364.000,418.000,54.000,hit,2.633,4.066
1784472895000,1,BASELINE,B,47,person,401.000,410.000,9.000,hit,1.369,2.493
1784472900449,1,BASELINE,B,48,person,405.000,417.000,12.000,hit,2.807,2.366
1784472919673,1,BASELINE,B,49,traffic_light,425.500,426.500,1.000,hit,1.527,7.231
1784472931989,1,BASELINE,B,-1,,,,,false_alarm,,
1784472959100,1,BASELINE,B,53,traffic_light,464.500,466.500,2.000,hit,1.966,6.499
1784472975601,1,BASELINE,B,54,person,481.500,487.000,5.500,hit,1.483,8.102
1784472990205,1,BASELINE,B,-1,,,,,false_alarm,,
1784472990754,1,BASELINE,B,56,person,495.500,498.000,2.500,hit,2.631,2.212
1784472991170,1,BASELINE,B,55,person,494.000,502.500,8.500,hit,4.531,0.234
