t_ms,pid,condition,set,target_id,kind,t_start,t_end,duration_s,outcome,rt_s,angle_deg
1784733679773,1,Filter,P,58,traffic_light,0.500,2.500,2.000,hit,0.501,0.420
1784733688071,1,Filter,P,0,traffic_light,0.000,2.500,2.500,hit,1.001,0.383
1784733701266,1,Filter,B,2,traffic_light,10.500,14.000,3.500,hit,3.681,0.645
1784733709423,1,Filter,B,3,person,20.500,22.000,1.500,hit,1.822,8.703
1784733710039,1,Filter,B,-1,,,,,false_alarm,,
1784733716287,1,Filter,B,-1,,,,,false_alarm,,
1784733716995,1,Filter,B,4,person,28.000,32.000,4.000,hit,1.897,8.465
1784733720856,1,Filter,B,59,person,20.000,33.000,13.000,miss,,
1784733727440,1,Filter,B,-1,,,,,false_alarm,,
1784733750842,1,Filter,B,62,person,56.500,63.000,6.500,miss,,
1784733751256,1,Filter,B,-1,,,,,false_alarm,,
1784733770515,1,Filter,B,10,person,81.500,83.000,1.500,hit,1.917,3.240
1784733778324,1,Filter,B,5,person,55.500,145.000,89.500,hit,35.724,0.595
1784733781885,1,Filter,B,64,person,73.500,113.000,39.500,hit,21.295,2.103
1784733784689,1,Filter,B,-1,,,,,false_alarm,,
1784733785918,1,Filter,B,63,person,68.000,114.500,46.500,hit,30.832,1.752
1784733794858,1,Filter,B,13,person,104.500,107.000,2.500,miss,,
1784733801712,1,Filter,B,66,person,113.500,119.000,5.500,hit,1.115,6.721
1784733801742,1,Filter,B,14,person,113.000,115.500,2.500,hit,1.648,8.538
1784733820412,1,Filter,B,-1,,,,,false_alarm,,
1784733839829,1,Filter,B,67,traffic_light,151.000,152.000,1.000,miss,,
1784733843732,1,Filter,B,-1,,,,,false_alarm,,
1784733845633,1,Filter,B,20,person,154.000,166.000,12.000,hit,4.525,0.781
1784733855020,1,Filter,B,-1,,,,,false_alarm,,
1784733856348,1,Filter,B,68,traffic_light,167.500,168.500,1.000,miss,,
1784733864354,1,Filter,B,22,person,175.500,176.500,1.000,miss,,
1784733866366,1,Filter,B,23,person,176.500,178.500,2.000,miss,,
1784733879268,1,Filter,B,25,traffic_light,190.000,193.000,3.000,hit,2.192,2.355
1784733888352,1,Filter,B,-1,,,,,false_alarm,,
1784733888622,1,Filter,B,-1,,,,,false_alarm,,
1784733895857,1,Filter,B,27,traffic_light,206.000,208.000,2.000,miss,,
1784733896862,1,Filter,B,72,person,206.500,209.000,2.500,miss,,
1784733898099,1,Filter,B,28,traffic_light,209.000,253.000,44.000,hit,2.011,3.640
1784733901631,1,Filter,B,-1,,,,,false_alarm,,
1784733953352,1,Filter,B,32,traffic_light,264.000,265.500,1.500,miss,,
1784733953352,1,Filter,B,73,traffic_light,263.000,265.500,2.500,miss,,
1784733954729,1,Filter,B,-1,,,,,false_alarm,,
1784733956506,1,Filter,B,74,person,264.500,276.500,12.000,hit,4.902,1.238
1784733959126,1,Filter,B,33,person,270.500,273.500,3.000,hit,1.538,2.524
1784733971908,1,Filter,B,-1,,,,,false_alarm,,
1784733979414,1,Filter,B,37,traffic_light,291.000,293.500,2.500,hit,1.325,1.636
1784733980853,1,Filter,B,-1,,,,,false_alarm,,
1784733989357,1,Filter,B,38,traffic_light,298.500,301.500,3.000,miss,,
1784733989854,1,Filter,B,39,traffic_light,301.000,302.000,1.000,miss,,
1784734001911,1,Filter,B,40,traffic_light,313.500,314.500,1.000,hit,1.315,1.851
1784734002908,1,Filter,B,41,traffic_light,315.000,316.000,1.000,hit,0.815,0.972
1784734013133,1,Filter,B,42,person,325.000,345.000,20.000,hit,1.026,2.250
1784734029594,1,Filter,B,-1,,,,,false_alarm,,
1784734053615,1,Filter,B,46,person,364.000,418.000,54.000,hit,2.533,1.582
1784734060669,1,Filter,B,-1,,,,,false_alarm,,
1784734089491,1,Filter,B,47,person,401.000,410.000,9.000,hit,1.402,0.739
1784734097568,1,Filter,B,48,person,405.000,417.000,12.000,hit,5.477,1.362
1784734145837,1,Filter,B,50,traffic_light,456.500,458.000,1.500,miss,,
1784734147446,1,Filter,B,51,person,459.000,470.000,11.000,hit,1.360,1.756
1784734169733,1,Filter,B,54,person,481.500,487.000,5.500,hit,1.149,3.619
1784734182375,1,Filter,B,55,person,494.000,502.500,8.500,hit,1.295,0.527
1784734183819,1,Filter,B,56,person,495.500,498.000,2.500,hit,1.230,1.179
1784734188844,1,Filter,B,57,traffic_light,499.500,501.000,1.500,miss,,
