t_ms,pid,condition,set,target_id,kind,t_start,t_end,duration_s,outcome,rt_s,angle_deg
1786033326734,26,Filter,P,58,traffic_light,0.500,2.500,2.000,hit,0.501,1.628
1786033327980,26,Filter,P,0,traffic_light,0.000,2.500,2.500,hit,1.001,0.346
1786033345822,26,Filter,A,1,traffic_light,6.500,23.000,16.500,hit,12.319,0.231
1786033359762,26,Filter,A,60,person,21.500,32.000,10.500,miss,,
1786033385260,26,Filter,A,61,person,56.500,57.500,1.000,miss,,
1786033389605,26,Filter,A,6,person,61.000,68.000,7.000,hit,1.596,0.382
1786033393760,26,Filter,A,7,person,62.000,66.000,4.000,miss,,
1786033398020,26,Filter,A,8,traffic_light,67.000,77.500,10.500,hit,4.004,0.538
1786033409787,26,Filter,A,9,traffic_light,81.000,82.000,1.000,miss,,
1786033416322,26,Filter,A,12,person,85.000,113.000,28.000,hit,4.323,0.818
1786033418855,26,Filter,A,11,person,82.500,115.000,32.500,hit,9.358,2.023
1786033442203,26,Filter,A,65,person,113.000,116.000,3.000,hit,2.182,6.114
1786033459078,26,Filter,A,15,person,130.500,131.500,1.000,hit,1.565,8.279
1786033465994,26,Filter,A,17,traffic_light,137.500,140.500,3.000,hit,1.472,1.788
1786033466272,26,Filter,A,16,traffic_light,137.000,138.500,1.500,miss,,
1786033471726,26,Filter,A,18,person,143.500,154.500,11.000,hit,1.211,1.454
1786033475935,26,Filter,A,19,person,145.500,154.000,8.500,hit,3.415,1.649
1786033495952,26,Filter,A,21,person,166.500,174.000,7.500,hit,2.435,3.211
1786033506273,26,Filter,A,69,person,177.000,178.500,1.500,miss,,
1786033512250,26,Filter,A,24,person,182.500,184.500,2.000,miss,,
1786033513757,26,Filter,A,70,person,180.000,186.000,6.000,miss,,
1786033532299,26,Filter,A,26,traffic_light,202.000,255.000,53.000,hit,3.305,0.931
1786033545263,26,Filter,A,71,person,203.500,264.500,61.000,hit,14.751,2.288
1786033547686,26,Filter,A,29,person,217.000,220.000,3.000,hit,3.687,5.488
1786033580546,26,Filter,A,30,person,250.500,257.500,7.000,hit,3.053,0.414
1786033586572,26,Filter,A,31,person,258.500,269.500,11.000,hit,1.059,1.217
1786033602274,26,Filter,A,34,traffic_light,272.000,274.500,2.500,miss,,
1786033612244,26,Filter,A,36,traffic_light,281.000,284.500,3.500,miss,,
1786033612755,26,Filter,A,75,traffic_light,281.500,285.000,3.500,miss,,
1786033613607,26,Filter,A,35,person,280.500,305.500,25.000,hit,6.086,0.828
1786033636779,26,Filter,A,76,traffic_light,307.000,309.000,2.000,miss,,
1786033679249,26,Filter,A,43,person,347.500,351.500,4.000,miss,,
1786033693955,26,Filter,A,44,person,362.000,418.500,56.500,hit,4.933,2.436
1786033703727,26,Filter,A,45,traffic_light,363.500,417.000,53.500,hit,13.210,0.359
1786033736269,26,Filter,A,77,person,401.000,408.500,7.500,miss,,
1786033754258,26,Filter,A,49,traffic_light,425.500,426.500,1.000,miss,,
1786033785763,26,Filter,A,79,traffic_light,457.000,458.000,1.000,miss,,
1786033786284,26,Filter,A,78,person,456.500,461.000,4.500,hit,2.792,6.631
1786033792950,26,Filter,A,52,person,464.000,469.500,5.500,hit,1.932,3.855
1786033794267,26,Filter,A,53,traffic_light,464.500,466.500,2.000,miss,,
1786033823051,26,Filter,A,80,person,494.500,509.500,15.000,hit,1.529,1.875
1786033825760,26,Filter,A,81,person,497.000,498.000,1.000,miss,,
