t_ms,pid,condition,set,target_id,kind,t_start,t_end,duration_s,outcome,rt_s,angle_deg
1786119016237,30,NoFilter,P,0,traffic_light,0.000,2.500,2.500,hit,1.001,0.393
1786119016727,30,NoFilter,P,58,traffic_light,0.500,2.500,2.000,hit,0.501,0.503
1786119030519,30,NoFilter,B,2,traffic_light,10.500,14.000,3.500,miss,,
1786119038491,30,NoFilter,B,3,person,20.500,22.000,1.500,miss,,
1786119048502,30,NoFilter,B,4,person,28.000,32.000,4.000,miss,,
1786119049498,30,NoFilter,B,59,person,20.000,33.000,13.000,miss,,
1786119073183,30,NoFilter,B,5,person,55.500,145.000,89.500,hit,1.957,2.781
1786119079497,30,NoFilter,B,62,person,56.500,63.000,6.500,miss,,
1786119094046,30,NoFilter,B,64,person,73.500,113.000,39.500,hit,4.812,0.774
1786119094542,30,NoFilter,B,63,person,68.000,114.500,46.500,hit,10.812,1.848
1786119099477,30,NoFilter,B,10,person,81.500,83.000,1.500,miss,,
1786119123500,30,NoFilter,B,13,person,104.500,107.000,2.500,miss,,
1786119130177,30,NoFilter,B,14,person,113.000,115.500,2.500,hit,1.448,0.814
1786119131116,30,NoFilter,B,66,person,113.500,119.000,5.500,hit,1.882,3.100
1786119131583,30,NoFilter,B,-1,,,,,false_alarm,,
1786119131847,30,NoFilter,B,-1,,,,,false_alarm,,
1786119148402,30,NoFilter,B,-1,,,,,false_alarm,,
1786119168481,30,NoFilter,B,67,traffic_light,151.000,152.000,1.000,miss,,
1786119172460,30,NoFilter,B,-1,,,,,false_alarm,,
1786119172794,30,NoFilter,B,-1,,,,,false_alarm,,
1786119175890,30,NoFilter,B,20,person,154.000,166.000,12.000,hit,6.160,8.976
1786119185004,30,NoFilter,B,68,traffic_light,167.500,168.500,1.000,miss,,
1786119193003,30,NoFilter,B,22,person,175.500,176.500,1.000,miss,,
1786119195004,30,NoFilter,B,23,person,176.500,178.500,2.000,miss,,
1786119207398,30,NoFilter,B,25,traffic_light,190.000,193.000,3.000,hit,1.658,0.840
1786119224504,30,NoFilter,B,27,traffic_light,206.000,208.000,2.000,miss,,
1786119225506,30,NoFilter,B,72,person,206.500,209.000,2.500,miss,,
1786119227246,30,NoFilter,B,28,traffic_light,209.000,253.000,44.000,hit,2.511,1.342
1786119281963,30,NoFilter,B,-1,,,,,false_alarm,,
1786119281991,30,NoFilter,B,32,traffic_light,264.000,265.500,1.500,miss,,
1786119281991,30,NoFilter,B,73,traffic_light,263.000,265.500,2.500,miss,,
1786119282324,30,NoFilter,B,-1,,,,,false_alarm,,
1786119285448,30,NoFilter,B,74,person,264.500,276.500,12.000,hit,5.203,1.548
1786119287641,30,NoFilter,B,33,person,270.500,273.500,3.000,hit,1.405,1.586
1786119298962,30,NoFilter,B,-1,,,,,false_alarm,,
1786119309991,30,NoFilter,B,37,traffic_light,291.000,293.500,2.500,miss,,
1786119312059,30,NoFilter,B,-1,,,,,false_alarm,,
1786119318008,30,NoFilter,B,38,traffic_light,298.500,301.500,3.000,miss,,
1786119318505,30,NoFilter,B,39,traffic_light,301.000,302.000,1.000,miss,,
1786119331019,30,NoFilter,B,40,traffic_light,313.500,314.500,1.000,miss,,
1786119332519,30,NoFilter,B,41,traffic_light,315.000,316.000,1.000,miss,,
1786119361513,30,NoFilter,B,42,person,325.000,345.000,20.000,miss,,
1786119381749,30,NoFilter,B,46,person,364.000,418.000,54.000,hit,1.999,1.994
1786119419768,30,NoFilter,B,47,person,401.000,410.000,9.000,hit,3.037,1.423
1786119422600,30,NoFilter,B,48,person,405.000,417.000,12.000,hit,1.873,0.479
1786119474490,30,NoFilter,B,50,traffic_light,456.500,458.000,1.500,miss,,
1786119476116,30,NoFilter,B,51,person,459.000,470.000,11.000,hit,1.360,0.590
1786119489137,30,NoFilter,B,-1,,,,,false_alarm,,
1786119490212,30,NoFilter,B,-1,,,,,false_alarm,,
1786119490994,30,NoFilter,B,-1,,,,,false_alarm,,
1786119494458,30,NoFilter,B,-1,,,,,false_alarm,,
1786119495017,30,NoFilter,B,-1,,,,,false_alarm,,
1786119498045,30,NoFilter,B,54,person,481.500,487.000,5.500,hit,0.815,1.460
1786119511293,30,NoFilter,B,55,person,494.000,502.500,8.500,hit,1.562,0.530
1786119511766,30,NoFilter,B,56,person,495.500,498.000,2.500,hit,0.529,1.592
1786119512228,30,NoFilter,B,-1,,,,,false_alarm,,
1786119517503,30,NoFilter,B,57,traffic_light,499.500,501.000,1.500,miss,,
