t_ms,pid,condition,set,target_id,kind,t_start,t_end,duration_s,outcome,rt_s,angle_deg
1784740203178,3,NoFilter,P,58,traffic_light,0.500,2.500,2.000,hit,0.501,7.451
1784740203500,3,NoFilter,A,-1,,,,,false_alarm,,
1784740205052,3,NoFilter,P,0,traffic_light,0.000,2.500,2.500,hit,1.001,4.206
1784740205065,3,NoFilter,A,-1,,,,,false_alarm,,
1784740213599,3,NoFilter,A,-1,,,,,false_alarm,,
1784740214467,3,NoFilter,A,1,traffic_light,6.500,23.000,16.500,hit,3.910,1.296
1784740229787,3,NoFilter,A,-1,,,,,false_alarm,,
1784740236831,3,NoFilter,A,60,person,21.500,32.000,10.500,miss,,
1784740242321,3,NoFilter,A,-1,,,,,false_alarm,,
1784740246928,3,NoFilter,A,-1,,,,,false_alarm,,
1784740247910,3,NoFilter,A,-1,,,,,false_alarm,,
1784740262311,3,NoFilter,A,61,person,56.500,57.500,1.000,miss,,
1784740266383,3,NoFilter,A,-1,,,,,false_alarm,,
1784740268189,3,NoFilter,A,7,person,62.000,66.000,4.000,hit,2.131,0.767
1784740268830,3,NoFilter,A,6,person,61.000,68.000,7.000,hit,3.765,0.754
1784740274474,3,NoFilter,A,8,traffic_light,67.000,77.500,10.500,hit,3.404,1.586
1784740286843,3,NoFilter,A,9,traffic_light,81.000,82.000,1.000,miss,,
1784740289661,3,NoFilter,A,11,person,82.500,115.000,32.500,hit,3.086,0.701
1784740290690,3,NoFilter,A,12,person,85.000,113.000,28.000,hit,1.620,1.166
1784740320844,3,NoFilter,A,65,person,113.000,116.000,3.000,miss,,
1784740328717,3,NoFilter,A,-1,,,,,false_alarm,,
1784740329191,3,NoFilter,A,-1,,,,,false_alarm,,
1784740336011,3,NoFilter,A,15,person,130.500,131.500,1.000,hit,1.432,1.094
1784740343072,3,NoFilter,A,17,traffic_light,137.500,140.500,3.000,hit,1.506,2.308
1784740343339,3,NoFilter,A,16,traffic_light,137.000,138.500,1.500,miss,,
1784740349078,3,NoFilter,A,18,person,143.500,154.500,11.000,hit,1.512,1.154
1784740353389,3,NoFilter,A,19,person,145.500,154.000,8.500,hit,3.816,1.806
1784740378830,3,NoFilter,A,21,person,166.500,174.000,7.500,miss,,
1784740383338,3,NoFilter,A,69,person,177.000,178.500,1.500,miss,,
1784740389316,3,NoFilter,A,24,person,182.500,184.500,2.000,miss,,
1784740390814,3,NoFilter,A,70,person,180.000,186.000,6.000,miss,,
1784740410266,3,NoFilter,A,26,traffic_light,202.000,255.000,53.000,hit,4.206,0.482
1784740424817,3,NoFilter,A,29,person,217.000,220.000,3.000,miss,,
1784740435670,3,NoFilter,A,71,person,203.500,264.500,61.000,hit,28.098,3.681
1784740462320,3,NoFilter,A,30,person,250.500,257.500,7.000,miss,,
1784740474334,3,NoFilter,A,31,person,258.500,269.500,11.000,miss,,
1784740479333,3,NoFilter,A,34,traffic_light,272.000,274.500,2.500,miss,,
1784740489309,3,NoFilter,A,36,traffic_light,281.000,284.500,3.500,miss,,
1784740489817,3,NoFilter,A,75,traffic_light,281.500,285.000,3.500,miss,,
1784740510329,3,NoFilter,A,35,person,280.500,305.500,25.000,miss,,
1784740513828,3,NoFilter,A,76,traffic_light,307.000,309.000,2.000,miss,,
1784740525858,3,NoFilter,A,-1,,,,,false_alarm,,
1784740526953,3,NoFilter,A,-1,,,,,false_alarm,,
1784740527512,3,NoFilter,A,-1,,,,,false_alarm,,
1784740556304,3,NoFilter,A,43,person,347.500,351.500,4.000,miss,,
1784740572592,3,NoFilter,A,44,person,362.000,418.500,56.500,hit,6.535,0.614
1784740613330,3,NoFilter,A,77,person,401.000,408.500,7.500,miss,,
1784740621802,3,NoFilter,A,45,traffic_light,363.500,417.000,53.500,miss,,
1784740631315,3,NoFilter,A,49,traffic_light,425.500,426.500,1.000,miss,,
1784740653879,3,NoFilter,A,-1,,,,,false_alarm,,
1784740653893,3,NoFilter,A,-1,,,,,false_alarm,,
1784740654096,3,NoFilter,A,-1,,,,,false_alarm,,
1784740654125,3,NoFilter,A,-1,,,,,false_alarm,,
1784740662816,3,NoFilter,A,79,traffic_light,457.000,458.000,1.000,miss,,
1784740664982,3,NoFilter,A,-1,,,,,false_alarm,,
1784740665818,3,NoFilter,A,78,person,456.500,461.000,4.500,miss,,
1784740671331,3,NoFilter,A,53,traffic_light,464.500,466.500,2.000,miss,,
1784740674335,3,NoFilter,A,52,person,464.000,469.500,5.500,miss,,
1784740702824,3,NoFilter,A,81,person,497.000,498.000,1.000,miss,,
1784740714341,3,NoFilter,A,80,person,494.500,509.500,15.000,miss,,
