t_ms,pid,condition,set,target_id,kind,t_start,t_end,duration_s,outcome,rt_s,angle_deg
1785268503589,10007,NoFilter,P,0,traffic_light,0.000,2.500,2.500,hit,1.001,0.833
1785268505167,10007,NoFilter,P,58,traffic_light,0.500,2.500,2.000,hit,0.501,0.785
1785268513473,10007,NoFilter,A,1,traffic_light,6.500,23.000,16.500,hit,2.776,1.565
1785268536948,10007,NoFilter,A,60,person,21.500,32.000,10.500,miss,,
1785268562449,10007,NoFilter,A,61,person,56.500,57.500,1.000,miss,,
1785268568887,10007,NoFilter,A,7,person,62.000,66.000,4.000,hit,2.698,0.280
1785268569731,10007,NoFilter,A,6,person,61.000,68.000,7.000,hit,4.532,1.985
1785268582460,10007,NoFilter,A,8,traffic_light,67.000,77.500,10.500,miss,,
1785268583662,10007,NoFilter,A,-1,,,,,false_alarm,,
1785268586965,10007,NoFilter,A,9,traffic_light,81.000,82.000,1.000,miss,,
1785268592105,10007,NoFilter,A,12,person,85.000,113.000,28.000,hit,2.921,0.396
1785268594330,10007,NoFilter,A,11,person,82.500,115.000,32.500,hit,7.623,1.356
1785268619145,10007,NoFilter,A,65,person,113.000,116.000,3.000,hit,1.948,2.024
1785268636153,10007,NoFilter,A,15,person,130.500,131.500,1.000,hit,1.465,3.211
1785268643452,10007,NoFilter,A,16,traffic_light,137.000,138.500,1.500,miss,,
1785268645453,10007,NoFilter,A,17,traffic_light,137.500,140.500,3.000,miss,,
1785268649050,10007,NoFilter,A,18,person,143.500,154.500,11.000,hit,1.345,1.185
1785268651429,10007,NoFilter,A,19,person,145.500,154.000,8.500,hit,1.747,0.861
1785268673058,10007,NoFilter,A,21,person,166.500,174.000,7.500,hit,2.369,1.685
1785268683465,10007,NoFilter,A,69,person,177.000,178.500,1.500,miss,,
1785268689440,10007,NoFilter,A,24,person,182.500,184.500,2.000,miss,,
1785268690940,10007,NoFilter,A,70,person,180.000,186.000,6.000,miss,,
1785268708923,10007,NoFilter,A,26,traffic_light,202.000,255.000,53.000,hit,2.738,1.833
1785268714283,10007,NoFilter,A,71,person,203.500,264.500,61.000,hit,6.577,0.610
1785268722547,10007,NoFilter,A,29,person,217.000,220.000,3.000,hit,1.351,1.478
1785268757550,10007,NoFilter,A,30,person,250.500,257.500,7.000,hit,2.853,1.170
1785268763960,10007,NoFilter,A,31,person,258.500,269.500,11.000,hit,1.259,0.590
1785268777593,10007,NoFilter,A,34,traffic_light,272.000,274.500,2.500,hit,1.406,1.485
1785268789441,10007,NoFilter,A,36,traffic_light,281.000,284.500,3.500,miss,,
1785268789731,10007,NoFilter,A,35,person,280.500,305.500,25.000,hit,5.052,0.754
1785268789941,10007,NoFilter,A,75,traffic_light,281.500,285.000,3.500,miss,,
1785268812994,10007,NoFilter,A,76,traffic_light,307.000,309.000,2.000,hit,1.809,3.773
1785268856440,10007,NoFilter,A,43,person,347.500,351.500,4.000,miss,,
1785268872327,10007,NoFilter,A,44,person,362.000,418.500,56.500,hit,6.134,0.995
1785268903410,10007,NoFilter,A,45,traffic_light,363.500,417.000,53.500,hit,35.732,0.495
1785268909593,10007,NoFilter,A,77,person,401.000,408.500,7.500,hit,4.405,0.970
1785268931438,10007,NoFilter,A,49,traffic_light,425.500,426.500,1.000,miss,,
1785268962127,10007,NoFilter,A,78,person,456.500,461.000,4.500,hit,1.424,1.276
1785268962940,10007,NoFilter,A,79,traffic_light,457.000,458.000,1.000,miss,,
1785268971134,10007,NoFilter,A,53,traffic_light,464.500,466.500,2.000,hit,2.433,7.581
1785268974453,10007,NoFilter,A,52,person,464.000,469.500,5.500,miss,,
1785269001059,10007,NoFilter,A,80,person,494.500,509.500,15.000,hit,2.363,0.508
1785269002953,10007,NoFilter,A,81,person,497.000,498.000,1.000,miss,,
