t_ms,pid,condition,set,target_id,kind,t_start,t_end,duration_s,outcome,rt_s,angle_deg
1784727981469,1003,BASELINE,P,0,traffic_light,0.000,2.500,2.500,hit,1.001,0.870
1784727982432,1003,BASELINE,P,58,traffic_light,0.500,2.500,2.000,hit,0.501,0.847
1784727989849,1003,BASELINE,A,1,traffic_light,6.500,23.000,16.500,hit,1.875,0.813
1784728014226,1003,BASELINE,A,60,person,21.500,32.000,10.500,miss,,
1784728039715,1003,BASELINE,A,61,person,56.500,57.500,1.000,miss,,
1784728045947,1003,BASELINE,A,6,person,61.000,68.000,7.000,hit,3.498,1.393
1784728046718,1003,BASELINE,A,7,person,62.000,66.000,4.000,hit,3.265,2.619
1784728051168,1003,BASELINE,A,8,traffic_light,67.000,77.500,10.500,hit,2.703,2.484
1784728064239,1003,BASELINE,A,9,traffic_light,81.000,82.000,1.000,miss,,
1784728066838,1003,BASELINE,A,11,person,82.500,115.000,32.500,hit,2.885,1.931
1784728067934,1003,BASELINE,A,12,person,85.000,113.000,28.000,hit,1.486,2.446
1784728074309,1003,BASELINE,A,-1,,,,,false_alarm,,
1784728095464,1003,BASELINE,A,65,person,113.000,116.000,3.000,hit,1.014,2.085
1784728113100,1003,BASELINE,A,15,person,130.500,131.500,1.000,hit,1.132,5.035
1784728120689,1003,BASELINE,A,17,traffic_light,137.500,140.500,3.000,hit,1.739,2.175
1784728120726,1003,BASELINE,A,16,traffic_light,137.000,138.500,1.500,miss,,
1784728125853,1003,BASELINE,A,18,person,143.500,154.500,11.000,hit,0.878,3.467
1784728127877,1003,BASELINE,A,19,person,145.500,154.000,8.500,hit,0.913,2.193
1784728149682,1003,BASELINE,A,21,person,166.500,174.000,7.500,hit,1.735,3.302
1784728160726,1003,BASELINE,A,69,person,177.000,178.500,1.500,miss,,
1784728165405,1003,BASELINE,A,70,person,180.000,186.000,6.000,hit,3.950,2.194
1784728165669,1003,BASELINE,A,-1,,,,,false_alarm,,
1784728166200,1003,BASELINE,A,24,person,182.500,184.500,2.000,hit,2.251,4.316
1784728184963,1003,BASELINE,A,71,person,203.500,264.500,61.000,hit,0.003,2.261
1784728185599,1003,BASELINE,A,26,traffic_light,202.000,255.000,53.000,hit,2.137,0.373
1784728199348,1003,BASELINE,A,29,person,217.000,220.000,3.000,hit,0.884,4.088
1784728234669,1003,BASELINE,A,30,person,250.500,257.500,7.000,hit,2.720,6.202
1784728241141,1003,BASELINE,A,31,person,258.500,269.500,11.000,hit,1.193,3.338
1784728254904,1003,BASELINE,A,34,traffic_light,272.000,274.500,2.500,hit,1.440,4.722
1784728264144,1003,BASELINE,A,75,traffic_light,281.500,285.000,3.500,hit,1.182,1.067
1784728264502,1003,BASELINE,A,36,traffic_light,281.000,284.500,3.500,hit,2.049,2.726
1784728265840,1003,BASELINE,A,35,person,280.500,305.500,25.000,hit,3.884,1.288
1784728291230,1003,BASELINE,A,76,traffic_light,307.000,309.000,2.000,miss,,
1784728333711,1003,BASELINE,A,43,person,347.500,351.500,4.000,miss,,
1784728334894,1003,BASELINE,A,-1,,,,,false_alarm,,
1784728345173,1003,BASELINE,A,44,person,362.000,418.500,56.500,hit,1.697,5.466
1784728347251,1003,BASELINE,A,45,traffic_light,363.500,417.000,53.500,hit,2.299,3.158
1784728385947,1003,BASELINE,A,77,person,401.000,408.500,7.500,hit,3.471,0.604
1784728408711,1003,BASELINE,A,49,traffic_light,425.500,426.500,1.000,miss,,
1784728439337,1003,BASELINE,A,78,person,456.500,461.000,4.500,hit,1.357,0.905
1784728440099,1003,BASELINE,A,79,traffic_light,457.000,458.000,1.000,hit,1.625,9.973
1784728447183,1003,BASELINE,A,53,traffic_light,464.500,466.500,2.000,hit,1.232,4.985
1784728450822,1003,BASELINE,A,-1,,,,,false_alarm,,
1784728451726,1003,BASELINE,A,52,person,464.000,469.500,5.500,miss,,
1784728478003,1003,BASELINE,A,80,person,494.500,509.500,15.000,hit,2.029,4.251
1784728480223,1003,BASELINE,A,81,person,497.000,498.000,1.000,miss,,
