t_ms,pid,condition,set,target_id,kind,t_start,t_end,duration_s,outcome,rt_s,angle_deg
1784731515510,1003,Filter,P,0,traffic_light,0.000,2.500,2.500,hit,1.001,0.679
1784731517251,1003,Filter,P,58,traffic_light,0.500,2.500,2.000,hit,0.501,0.467
1784731526777,1003,Filter,A,1,traffic_light,6.500,23.000,16.500,hit,4.011,0.810
1784731548379,1003,Filter,A,60,person,21.500,32.000,10.500,hit,10.599,1.357
1784731574199,1003,Filter,A,61,person,56.500,57.500,1.000,hit,1.425,1.485
1784731579874,1003,Filter,A,6,person,61.000,68.000,7.000,hit,2.597,0.329
1784731580686,1003,Filter,A,7,person,62.000,66.000,4.000,hit,2.431,0.937
1784731591191,1003,Filter,A,8,traffic_light,67.000,77.500,10.500,hit,7.908,1.214
1784731599042,1003,Filter,A,9,traffic_light,81.000,82.000,1.000,miss,,
1784731600711,1003,Filter,A,11,person,82.500,115.000,32.500,hit,1.951,6.274
1784731602699,1003,Filter,A,12,person,85.000,113.000,28.000,hit,1.420,3.157
