t_ms,pid,condition,set,target_id,kind,t_start,t_end,duration_s,outcome,rt_s,angle_deg
1784689538750,1003,Filter,P,0,traffic_light,0.000,2.500,2.500,hit,1.001,0.849
1784689540440,1003,Filter,P,58,traffic_light,0.500,2.500,2.000,hit,0.501,0.522
1784689553178,1003,Filter,B,2,traffic_light,10.500,14.000,3.500,hit,3.214,0.471
1784689561594,1003,Filter,B,59,person,20.000,33.000,13.000,hit,2.122,4.983
1784689562210,1003,Filter,B,3,person,20.500,22.000,1.500,miss,,
1784689569191,1003,Filter,B,-1,,,,,false_alarm,,
1784689569874,1003,Filter,B,-1,,,,,false_alarm,,
1784689570355,1003,Filter,B,4,person,28.000,32.000,4.000,hit,2.898,1.083
1784689596577,1003,Filter,B,5,person,55.500,145.000,89.500,hit,1.624,2.778
1784689603218,1003,Filter,B,62,person,56.500,63.000,6.500,miss,,
1784689615665,1003,Filter,B,63,person,68.000,114.500,46.500,hit,8.209,3.123
1784689616321,1003,Filter,B,64,person,73.500,113.000,39.500,hit,3.343,0.278
1784689622794,1003,Filter,B,10,person,81.500,83.000,1.500,hit,1.817,3.632
1784689646970,1003,Filter,B,13,person,104.500,107.000,2.500,hit,3.007,4.061
1784689654643,1003,Filter,B,14,person,113.000,115.500,2.500,hit,2.182,4.757
1784689659218,1003,Filter,B,66,person,113.500,119.000,5.500,miss,,
