t_ms,pid,condition,set,target_id,kind,t_start,t_end,duration_s,outcome,rt_s,angle_deg
1784659289098,999,NoFilter,P,0,traffic_light,0.000,2.500,2.500,hit,1.001,0.438
1784659290613,999,NoFilter,P,58,traffic_light,0.500,2.500,2.000,hit,0.501,1.066
1784659302158,999,NoFilter,B,2,traffic_light,10.500,14.000,3.500,hit,2.013,0.730
1784659312388,999,NoFilter,B,3,person,20.500,22.000,1.500,miss,,
1784659322397,999,NoFilter,B,4,person,28.000,32.000,4.000,miss,,
1784659323393,999,NoFilter,B,59,person,20.000,33.000,13.000,miss,,
1784659346456,999,NoFilter,B,5,person,55.500,145.000,89.500,hit,1.323,1.571
1784659353391,999,NoFilter,B,62,person,56.500,63.000,6.500,miss,,
1784659366255,999,NoFilter,B,64,person,73.500,113.000,39.500,hit,3.110,2.004
1784659366932,999,NoFilter,B,63,person,68.000,114.500,46.500,hit,9.311,7.610
1784659373006,999,NoFilter,B,10,person,81.500,83.000,1.500,hit,1.883,3.255
1784659396437,999,NoFilter,B,13,person,104.500,107.000,2.500,hit,2.307,3.235
1784659404563,999,NoFilter,B,66,person,113.500,119.000,5.500,hit,1.415,5.402
1784659404882,999,NoFilter,B,-1,,,,,false_alarm,,
1784659405907,999,NoFilter,B,14,person,113.000,115.500,2.500,miss,,
1784659442375,999,NoFilter,B,67,traffic_light,151.000,152.000,1.000,miss,,
1784659445063,999,NoFilter,B,20,person,154.000,166.000,12.000,hit,1.422,4.632
1784659458899,999,NoFilter,B,68,traffic_light,167.500,168.500,1.000,miss,,
1784659466903,999,NoFilter,B,22,person,175.500,176.500,1.000,miss,,
1784659468908,999,NoFilter,B,23,person,176.500,178.500,2.000,miss,,
1784659480727,999,NoFilter,B,25,traffic_light,190.000,193.000,3.000,hit,1.091,3.022
1784659498405,999,NoFilter,B,27,traffic_light,206.000,208.000,2.000,miss,,
1784659499402,999,NoFilter,B,72,person,206.500,209.000,2.500,miss,,
1784659500979,999,NoFilter,B,28,traffic_light,209.000,253.000,44.000,hit,2.344,2.087
1784659554070,999,NoFilter,B,32,traffic_light,264.000,265.500,1.500,hit,0.431,2.693
1784659554547,999,NoFilter,B,73,traffic_light,263.000,265.500,2.500,hit,1.898,2.227
1784659559015,999,NoFilter,B,74,person,264.500,276.500,12.000,hit,4.869,4.584
1784659561657,999,NoFilter,B,33,person,270.500,273.500,3.000,hit,1.505,0.516
1784659583889,999,NoFilter,B,37,traffic_light,291.000,293.500,2.500,miss,,
1784659589347,999,NoFilter,B,38,traffic_light,298.500,301.500,3.000,hit,1.199,6.446
1784659592182,999,NoFilter,B,-1,,,,,false_alarm,,
1784659592402,999,NoFilter,B,39,traffic_light,301.000,302.000,1.000,miss,,
1784659604904,999,NoFilter,B,40,traffic_light,313.500,314.500,1.000,miss,,
1784659605972,999,NoFilter,B,41,traffic_light,315.000,316.000,1.000,hit,1.349,3.284
1784659616180,999,NoFilter,B,42,person,325.000,345.000,20.000,hit,1.526,1.241
1784659655434,999,NoFilter,B,46,person,364.000,418.000,54.000,hit,1.799,0.839
1784659692488,999,NoFilter,B,47,person,401.000,410.000,9.000,hit,1.836,3.024
1784659696185,999,NoFilter,B,48,person,405.000,417.000,12.000,hit,1.539,2.795
1784659748392,999,NoFilter,B,50,traffic_light,456.500,458.000,1.500,miss,,
1784659750096,999,NoFilter,B,51,person,459.000,470.000,11.000,hit,1.460,1.394
1784659772132,999,NoFilter,B,-1,,,,,false_alarm,,
1784659772736,999,NoFilter,B,54,person,481.500,487.000,5.500,hit,1.583,3.054
1784659788390,999,NoFilter,B,56,person,495.500,498.000,2.500,miss,,
1784659789570,999,NoFilter,B,55,person,494.000,502.500,8.500,hit,5.933,2.549
1784659791391,999,NoFilter,B,57,traffic_light,499.500,501.000,1.500,miss,,
