t_ms,pid,block,condition,yaw_deg,pitch_deg,roll_deg,head_speed_dps,dr_intensity,mode,event,payload
1784829536909,10,A,A2,,,,,0,NBACK1_PILOT,CPT_PANEL_PLACED,dist_m=n/a;tool=block-a-cpt.html;window_stage=done
1784829536910,10,A,A2,,,,,0,NBACK1_PILOT,CPT_RUN_START,trials=140;seed=101;soa_s=1.8;task=nback1;filter=NOFILTER;distractors=NEW
1784829536910,10,A,A2,,,,,0,NBACK1_PILOT,CPT_ONSET,idx=0;kind=nogo;shape=diamond
1784829538730,10,A,A2,,,,,0,NBACK1_PILOT,CPT_RESULT,idx=0;outcome=first_unscored
1784829538732,10,A,A2,,,,,0,NBACK1_PILOT,CPT_ONSET,idx=1;kind=go;shape=diamond
1784829540533,10,A,A2,,,,,0,NBACK1_PILOT,CPT_RESULT,idx=1;outcome=hit;rt_ms=718
1784829540535,10,A,A2,,,,,0,NBACK1_PILOT,CPT_ONSET,idx=2;kind=nogo;shape=circle
1784829542351,10,A,A2,,,,,0,NBACK1_PILOT,CPT_RESULT,idx=2;outcome=correct_reject;rt_ms=717
1784829542357,10,A,A2,,,,,0,NBACK1_PILOT,CPT_ONSET,idx=3;kind=nogo;shape=diamond
1784829544164,10,A,A2,,,,,0,NBACK1_PILOT,CPT_RESULT,idx=3;outcome=correct_reject;rt_ms=721
1784829544170,10,A,A2,,,,,0,NBACK1_PILOT,CPT_ONSET,idx=4;kind=go;shape=diamond
1784829545973,10,A,A2,,,,,0,NBACK1_PILOT,CPT_RESULT,idx=4;outcome=hit;rt_ms=585
1784829545979,10,A,A2,,,,,0,NBACK1_PILOT,CPT_ONSET,idx=5;kind=nogo;shape=triangle
1784829547788,10,A,A2,,,,,0,NBACK1_PILOT,CPT_RESULT,idx=5;outcome=correct_reject;rt_ms=697
1784829547793,10,A,A2,,,,,0,NBACK1_PILOT,CPT_ONSET,idx=6;kind=nogo;shape=square
1784829549597,10,A,A2,,,,,0,NBACK1_PILOT,CPT_RESULT,idx=6;outcome=correct_reject;rt_ms=688
1784829549603,10,A,A2,,,,,0,NBACK1_PILOT,CPT_ONSET,idx=7;kind=go;shape=square
1784829551404,10,A,A2,,,,,0,NBACK1_PILOT,CPT_RESULT,idx=7;outcome=hit;rt_ms=599
1784829551409,10,A,A2,,,,,0,NBACK1_PILOT,CPT_ONSET,idx=8;kind=nogo;shape=diamond
1784829553224,10,A,A2,,,,,0,NBACK1_PILOT,CPT_RESULT,idx=8;outcome=correct_reject;rt_ms=1151
1784829553230,10,A,A2,,,,,0,NBACK1_PILOT,CPT_ONSET,idx=9;kind=go;shape=diamond
1784829555031,10,A,A2,,,,,0,NBACK1_PILOT,CPT_RESULT,idx=9;outcome=miss;answered_no;rt_ms=539
1784829555036,10,A,A2,,,,,0,NBACK1_PILOT,CPT_ONSET,idx=10;kind=nogo;shape=square
1784829556854,10,A,A2,,,,,0,NBACK1_PILOT,CPT_RESULT,idx=10;outcome=correct_reject;rt_ms=676
1784829556859,10,A,A2,,,,,0,NBACK1_PILOT,CPT_ONSET,idx=11;kind=go;shape=square
1784829558663,10,A,A2,,,,,0,NBACK1_PILOT,CPT_RESULT,idx=11;outcome=hit;rt_ms=560
1784829558669,10,A,A2,,,,,0,NBACK1_PILOT,CPT_ONSET,idx=12;kind=nogo;shape=circle
1784829560487,10,A,A2,,,,,0,NBACK1_PILOT,CPT_RESULT,idx=12;outcome=correct_reject;rt_ms=775
1784829560493,10,A,A2,,,,,0,NBACK1_PILOT,CPT_ONSET,idx=13;kind=go;shape=circle
1784829562297,10,A,A2,,,,,0,NBACK1_PILOT,CPT_RESULT,idx=13;outcome=hit;rt_ms=608
1784829562303,10,A,A2,,,,,0,NBACK1_PILOT,CPT_ONSET,idx=14;kind=nogo;shape=square
1784829564131,10,A,A2,,,,,0,NBACK1_PILOT,CPT_RESULT,idx=14;outcome=correct_reject;rt_ms=833
1784829564136,10,A,A2,,,,,0,NBACK1_PILOT,CPT_ONSET,idx=15;kind=nogo;shape=triangle
1784829565955,10,A,A2,,,,,0,NBACK1_PILOT,CPT_RESULT,idx=15;outcome=correct_reject;rt_ms=747
1784829565960,10,A,A2,,,,,0,NBACK1_PILOT,CPT_ONSET,idx=16;kind=nogo;shape=circle
1784829567764,10,A,A2,,,,,0,NBACK1_PILOT,CPT_RESULT,idx=16;outcome=correct_reject;rt_ms=783
1784829567770,10,A,A2,,,,,0,NBACK1_PILOT,CPT_ONSET,idx=17;kind=go;shape=circle
1784829569571,10,A,A2,,,,,0,NBACK1_PILOT,CPT_RESULT,idx=17;outcome=hit;rt_ms=521
1784829569577,10,A,A2,,,,,0,NBACK1_PILOT,CPT_ONSET,idx=18;kind=nogo;shape=diamond
1784829571393,10,A,A2,,,,,0,NBACK1_PILOT,CPT_RESULT,idx=18;outcome=correct_reject;rt_ms=669
1784829571399,10,A,A2,,,,,0,NBACK1_PILOT,CPT_ONSET,idx=19;kind=nogo;shape=circle
1784829573200,10,A,A2,,,,,0,NBACK1_PILOT,CPT_RESULT,idx=19;outcome=correct_reject;rt_ms=994
1784829573205,10,A,A2,,,,,0,NBACK1_PILOT,CPT_ONSET,idx=20;kind=go;shape=circle
1784829575033,10,A,A2,,,,,0,NBACK1_PILOT,CPT_RESULT,idx=20;outcome=hit;rt_ms=746
1784829575040,10,A,A2,,,,,0,NBACK1_PILOT,CPT_ONSET,idx=21;kind=nogo;shape=triangle
1784829576857,10,A,A2,,,,,0,NBACK1_PILOT,CPT_RESULT,idx=21;outcome=correct_reject;rt_ms=782
1784829576863,10,A,A2,,,,,0,NBACK1_PILOT,CPT_ONSET,idx=22;kind=go;shape=triangle
1784829578663,10,A,A2,,,,,0,NBACK1_PILOT,CPT_RESULT,idx=22;outcome=hit;rt_ms=583
1784829578670,10,A,A2,,,,,0,NBACK1_PILOT,CPT_ONSET,idx=23;kind=nogo;shape=circle
1784829580486,10,A,A2,,,,,0,NBACK1_PILOT,CPT_RESULT,idx=23;outcome=correct_reject;rt_ms=1084
1784829580492,10,A,A2,,,,,0,NBACK1_PILOT,CPT_ONSET,idx=24;kind=go;shape=circle
1784829582293,10,A,A2,,,,,0,NBACK1_PILOT,CPT_RESULT,idx=24;outcome=hit;rt_ms=662
1784829582299,10,A,A2,,,,,0,NBACK1_PILOT,CPT_ONSET,idx=25;kind=nogo;shape=triangle
1784829584100,10,A,A2,,,,,0,NBACK1_PILOT,CPT_RESULT,idx=25;outcome=correct_reject;rt_ms=514
1784829584106,10,A,A2,,,,,0,NBACK1_PILOT,CPT_ONSET,idx=26;kind=go;shape=triangle
1784829585906,10,A,A2,,,,,0,NBACK1_PILOT,CPT_RESULT,idx=26;outcome=hit;rt_ms=727
1784829585911,10,A,A2,,,,,0,NBACK1_PILOT,CPT_ONSET,idx=27;kind=nogo;shape=diamond
1784829587725,10,A,A2,,,,,0,NBACK1_PILOT,CPT_RESULT,idx=27;outcome=correct_reject;rt_ms=432
1784829587732,10,A,A2,,,,,0,NBACK1_PILOT,CPT_ONSET,idx=28;kind=nogo;shape=circle
1784829589533,10,A,A2,,,,,0,NBACK1_PILOT,CPT_RESULT,idx=28;outcome=correct_reject;rt_ms=892
1784829589537,10,A,A2,,,,,0,NBACK1_PILOT,CPT_ONSET,idx=29;kind=go;shape=circle
1784829591352,10,A,A2,,,,,0,NBACK1_PILOT,CPT_RESULT,idx=29;outcome=hit;rt_ms=648
1784829591358,10,A,A2,,,,,0,NBACK1_PILOT,CPT_ONSET,idx=30;kind=nogo;shape=diamond
1784829593159,10,A,A2,,,,,0,NBACK1_PILOT,CPT_RESULT,idx=30;outcome=correct_reject;rt_ms=626
1784829593165,10,A,A2,,,,,0,NBACK1_PILOT,CPT_ONSET,idx=31;kind=nogo;shape=triangle
1784829594965,10,A,A2,,,,,0,NBACK1_PILOT,CPT_RESULT,idx=31;outcome=correct_reject;rt_ms=585
1784829594971,10,A,A2,,,,,0,NBACK1_PILOT,CPT_ONSET,idx=32;kind=go;shape=triangle
1784829596801,10,A,A2,,,,,0,NBACK1_PILOT,CPT_RESULT,idx=32;outcome=hit;rt_ms=621
1784829596806,10,A,A2,,,,,0,NBACK1_PILOT,CPT_ONSET,idx=33;kind=nogo;shape=circle
1784829598631,10,A,A2,,,,,0,NBACK1_PILOT,CPT_RESULT,idx=33;outcome=correct_reject;rt_ms=670
1784829598636,10,A,A2,,,,,0,NBACK1_PILOT,CPT_ONSET,idx=34;kind=nogo;shape=square
1784829600464,10,A,A2,,,,,0,NBACK1_PILOT,CPT_RESULT,idx=34;outcome=correct_reject;rt_ms=759
1784829600469,10,A,A2,,,,,0,NBACK1_PILOT,CPT_ONSET,idx=35;kind=go;shape=square
1784829602292,10,A,A2,,,,,0,NBACK1_PILOT,CPT_RESULT,idx=35;outcome=hit;rt_ms=671
1784829602298,10,A,A2,,,,,0,NBACK1_PILOT,CPT_ONSET,idx=36;kind=nogo;shape=triangle
1784829604100,10,A,A2,,,,,0,NBACK1_PILOT,CPT_RESULT,idx=36;outcome=correct_reject;rt_ms=672
1784829604106,10,A,A2,,,,,0,NBACK1_PILOT,CPT_ONSET,idx=37;kind=go;shape=triangle
1784829605908,10,A,A2,,,,,0,NBACK1_PILOT,CPT_RESULT,idx=37;outcome=hit;rt_ms=688
1784829605913,10,A,A2,,,,,0,NBACK1_PILOT,CPT_ONSET,idx=38;kind=nogo;shape=circle
1784829607719,10,A,A2,,,,,0,NBACK1_PILOT,CPT_RESULT,idx=38;outcome=correct_reject;rt_ms=807
1784829607725,10,A,A2,,,,,0,NBACK1_PILOT,CPT_ONSET,idx=39;kind=nogo;shape=triangle
1784829609530,10,A,A2,,,,,0,NBACK1_PILOT,CPT_RESULT,idx=39;outcome=correct_reject;rt_ms=808
1784829609536,10,A,A2,,,,,0,NBACK1_PILOT,CPT_ONSET,idx=40;kind=nogo;shape=diamond
1784829611339,10,A,A2,,,,,0,NBACK1_PILOT,CPT_RESULT,idx=40;outcome=correct_reject;rt_ms=867
1784829611344,10,A,A2,,,,,0,NBACK1_PILOT,CPT_ONSET,idx=41;kind=nogo;shape=triangle
