t_ms,pid,block,condition,yaw_deg,pitch_deg,roll_deg,head_speed_dps,dr_intensity,mode,event,payload
1784735111262,1,A,A1,,,,,,NBACK1_PILOT,CPT_PANEL_PLACED,dist_m=n/a;tool=block-a-cpt.html
1784735111262,1,A,A1,,,,,,NBACK1_PILOT,CPT_RUN_START,trials=84;seed=10;soa_s=2.5;task=nback1
1784735111262,1,A,A1,,,,,,NBACK1_PILOT,CPT_ONSET,idx=0;kind=nogo;shape=diamond
1784735113765,1,A,A1,,,,,,NBACK1_PILOT,CPT_RESULT,idx=0;outcome=first_unscored
1784735113765,1,A,A1,,,,,,NBACK1_PILOT,CPT_ONSET,idx=1;kind=nogo;shape=circle
1784735116276,1,A,A1,,,,,,NBACK1_PILOT,CPT_RESULT,idx=1;outcome=correct_reject;rt_ms=961
1784735116277,1,A,A1,,,,,,NBACK1_PILOT,CPT_ONSET,idx=2;kind=nogo;shape=square
1784735118778,1,A,A1,,,,,,NBACK1_PILOT,CPT_RESULT,idx=2;outcome=correct_reject;rt_ms=758
1784735118782,1,A,A1,,,,,,NBACK1_PILOT,CPT_ONSET,idx=3;kind=go;shape=square
1784735121283,1,A,A1,,,,,,NBACK1_PILOT,CPT_RESULT,idx=3;outcome=hit;rt_ms=907
1784735121288,1,A,A1,,,,,,NBACK1_PILOT,CPT_ONSET,idx=4;kind=nogo;shape=diamond
1784735123810,1,A,A1,,,,,,NBACK1_PILOT,CPT_RESULT,idx=4;outcome=correct_reject;rt_ms=715
1784735123815,1,A,A1,,,,,,NBACK1_PILOT,CPT_ONSET,idx=5;kind=nogo;shape=circle
1784735126318,1,A,A1,,,,,,NBACK1_PILOT,CPT_RESULT,idx=5;outcome=correct_reject;rt_ms=741
1784735126323,1,A,A1,,,,,,NBACK1_PILOT,CPT_ONSET,idx=6;kind=go;shape=circle
1784735128832,1,A,A1,,,,,,NBACK1_PILOT,CPT_RESULT,idx=6;outcome=hit;rt_ms=762
1784735128837,1,A,A1,,,,,,NBACK1_PILOT,CPT_ONSET,idx=7;kind=nogo;shape=diamond
1784735131342,1,A,A1,,,,,,NBACK1_PILOT,CPT_RESULT,idx=7;outcome=correct_reject;rt_ms=756
1784735131346,1,A,A1,,,,,,NBACK1_PILOT,CPT_ONSET,idx=8;kind=go;shape=diamond
1784735133847,1,A,A1,,,,,,NBACK1_PILOT,CPT_RESULT,idx=8;outcome=hit;rt_ms=670
1784735133853,1,A,A1,,,,,,NBACK1_PILOT,CPT_ONSET,idx=9;kind=nogo;shape=triangle
1784735136376,1,A,A1,,,,,,NBACK1_PILOT,CPT_RESULT,idx=9;outcome=correct_reject;rt_ms=627
1784735136380,1,A,A1,,,,,,NBACK1_PILOT,CPT_ONSET,idx=10;kind=nogo;shape=circle
1784735138881,1,A,A1,,,,,,NBACK1_PILOT,CPT_RESULT,idx=10;outcome=commission;rt_ms=766
1784735138886,1,A,A1,,,,,,NBACK1_PILOT,CPT_ONSET,idx=11;kind=go;shape=circle
1784735141408,1,A,A1,,,,,,NBACK1_PILOT,CPT_RESULT,idx=11;outcome=hit;rt_ms=1227
1784735141413,1,A,A1,,,,,,NBACK1_PILOT,CPT_ONSET,idx=12;kind=nogo;shape=triangle
1784735143918,1,A,A1,,,,,,NBACK1_PILOT,CPT_RESULT,idx=12;outcome=correct_reject;rt_ms=905
1784735143923,1,A,A1,,,,,,NBACK1_PILOT,CPT_ONSET,idx=13;kind=go;shape=triangle
1784735146436,1,A,A1,,,,,,NBACK1_PILOT,CPT_RESULT,idx=13;outcome=hit;rt_ms=1231
1784735146442,1,A,A1,,,,,,NBACK1_PILOT,CPT_ONSET,idx=14;kind=nogo;shape=diamond
1784735148942,1,A,A1,,,,,,NBACK1_PILOT,CPT_RESULT,idx=14;outcome=correct_reject;rt_ms=1298
1784735148947,1,A,A1,,,,,,NBACK1_PILOT,CPT_ONSET,idx=15;kind=go;shape=diamond
1784735151452,1,A,A1,,,,,,NBACK1_PILOT,CPT_RESULT,idx=15;outcome=hit;rt_ms=999
1784735151456,1,A,A1,,,,,,NBACK1_PILOT,CPT_ONSET,idx=16;kind=nogo;shape=triangle
1784735153965,1,A,A1,,,,,,NBACK1_PILOT,CPT_RESULT,idx=16;outcome=correct_reject;rt_ms=709
1784735153970,1,A,A1,,,,,,NBACK1_PILOT,CPT_ONSET,idx=17;kind=nogo;shape=circle
1784735156475,1,A,A1,,,,,,NBACK1_PILOT,CPT_RESULT,idx=17;outcome=correct_reject;rt_ms=932
1784735156479,1,A,A1,,,,,,NBACK1_PILOT,CPT_ONSET,idx=18;kind=go;shape=circle
1784735158984,1,A,A1,,,,,,NBACK1_PILOT,CPT_RESULT,idx=18;outcome=hit;rt_ms=753
1784735158991,1,A,A1,,,,,,NBACK1_PILOT,CPT_ONSET,idx=19;kind=nogo;shape=triangle
1784735161492,1,A,A1,,,,,,NBACK1_PILOT,CPT_RESULT,idx=19;outcome=correct_reject;rt_ms=717
1784735161496,1,A,A1,,,,,,NBACK1_PILOT,CPT_ONSET,idx=20;kind=go;shape=triangle
1784735164009,1,A,A1,,,,,,NBACK1_PILOT,CPT_RESULT,idx=20;outcome=hit;rt_ms=872
1784735164013,1,A,A1,,,,,,NBACK1_PILOT,CPT_ONSET,idx=21;kind=nogo;shape=diamond
1784735166517,1,A,A1,,,,,,NBACK1_PILOT,CPT_RESULT,idx=21;outcome=correct_reject;rt_ms=734
1784735166522,1,A,A1,,,,,,NBACK1_PILOT,CPT_ONSET,idx=22;kind=nogo;shape=triangle
1784735169042,1,A,A1,,,,,,NBACK1_PILOT,CPT_RESULT,idx=22;outcome=correct_reject;rt_ms=940
1784735169046,1,A,A1,,,,,,NBACK1_PILOT,CPT_ONSET,idx=23;kind=nogo;shape=square
1784735171550,1,A,A1,,,,,,NBACK1_PILOT,CPT_RESULT,idx=23;outcome=correct_reject;rt_ms=749
1784735171555,1,A,A1,,,,,,NBACK1_PILOT,CPT_ONSET,idx=24;kind=nogo;shape=diamond
1784735174075,1,A,A1,,,,,,NBACK1_PILOT,CPT_RESULT,idx=24;outcome=correct_reject;rt_ms=1585
1784735174081,1,A,A1,,,,,,NBACK1_PILOT,CPT_ONSET,idx=25;kind=nogo;shape=circle
1784735176584,1,A,A1,,,,,,NBACK1_PILOT,CPT_RESULT,idx=25;outcome=correct_reject;rt_ms=961
1784735176588,1,A,A1,,,,,,NBACK1_PILOT,CPT_ONSET,idx=26;kind=go;shape=circle
1784735179108,1,A,A1,,,,,,NBACK1_PILOT,CPT_RESULT,idx=26;outcome=hit;rt_ms=607
1784735179113,1,A,A1,,,,,,NBACK1_PILOT,CPT_ONSET,idx=27;kind=nogo;shape=square
1784735181618,1,A,A1,,,,,,NBACK1_PILOT,CPT_RESULT,idx=27;outcome=correct_reject;rt_ms=993
1784735181624,1,A,A1,,,,,,NBACK1_PILOT,CPT_ONSET,idx=28;kind=nogo;shape=circle
1784735184123,1,A,A1,,,,,,NBACK1_PILOT,CPT_RESULT,idx=28;outcome=commission;rt_ms=987
1784735184129,1,A,A1,,,,,,NBACK1_PILOT,CPT_ONSET,idx=29;kind=nogo;shape=diamond
1784735186643,1,A,A1,,,,,,NBACK1_PILOT,CPT_RESULT,idx=29;outcome=correct_reject;rt_ms=1167
1784735186648,1,A,A1,,,,,,NBACK1_PILOT,CPT_ONSET,idx=30;kind=go;shape=diamond
1784735189150,1,A,A1,,,,,,NBACK1_PILOT,CPT_RESULT,idx=30;outcome=hit;rt_ms=775
1784735189155,1,A,A1,,,,,,NBACK1_PILOT,CPT_ONSET,idx=31;kind=nogo;shape=square
1784735191658,1,A,A1,,,,,,NBACK1_PILOT,CPT_RESULT,idx=31;outcome=correct_reject;rt_ms=1161
1784735191663,1,A,A1,,,,,,NBACK1_PILOT,CPT_ONSET,idx=32;kind=nogo;shape=circle
1784735194176,1,A,A1,,,,,,NBACK1_PILOT,CPT_RESULT,idx=32;outcome=correct_reject;rt_ms=1012
1784735194182,1,A,A1,,,,,,NBACK1_PILOT,CPT_ONSET,idx=33;kind=go;shape=circle
1784735196684,1,A,A1,,,,,,NBACK1_PILOT,CPT_RESULT,idx=33;outcome=hit;rt_ms=653
1784735196688,1,A,A1,,,,,,NBACK1_PILOT,CPT_ONSET,idx=34;kind=nogo;shape=diamond
1784735199189,1,A,A1,,,,,,NBACK1_PILOT,CPT_RESULT,idx=34;outcome=correct_reject;rt_ms=534
1784735199194,1,A,A1,,,,,,NBACK1_PILOT,CPT_ONSET,idx=35;kind=go;shape=diamond
1784735201700,1,A,A1,,,,,,NBACK1_PILOT,CPT_RESULT,idx=35;outcome=hit;rt_ms=771
1784735201706,1,A,A1,,,,,,NBACK1_PILOT,CPT_ONSET,idx=36;kind=nogo;shape=square
1784735204212,1,A,A1,,,,,,NBACK1_PILOT,CPT_RESULT,idx=36;outcome=correct_reject;rt_ms=996
1784735204218,1,A,A1,,,,,,NBACK1_PILOT,CPT_ONSET,idx=37;kind=go;shape=square
1784735206720,1,A,A1,,,,,,NBACK1_PILOT,CPT_RESULT,idx=37;outcome=hit;rt_ms=752
1784735206724,1,A,A1,,,,,,NBACK1_PILOT,CPT_ONSET,idx=38;kind=nogo;shape=diamond
1784735209245,1,A,A1,,,,,,NBACK1_PILOT,CPT_RESULT,idx=38;outcome=correct_reject;rt_ms=722
1784735209251,1,A,A1,,,,,,NBACK1_PILOT,CPT_ONSET,idx=39;kind=nogo;shape=circle
1784735211752,1,A,A1,,,,,,NBACK1_PILOT,CPT_RESULT,idx=39;outcome=correct_reject;rt_ms=967
1784735211757,1,A,A1,,,,,,NBACK1_PILOT,CPT_ONSET,idx=40;kind=go;shape=circle
1784735214279,1,A,A1,,,,,,NBACK1_PILOT,CPT_RESULT,idx=40;outcome=hit;rt_ms=629
1784735214284,1,A,A1,,,,,,NBACK1_PILOT,CPT_ONSET,idx=41;kind=nogo;shape=square
1784735216785,1,A,A1,,,,,,NBACK1_PILOT,CPT_RESULT,idx=41;outcome=correct_reject;rt_ms=740
