t_ms,pid,block,condition,yaw_deg,pitch_deg,roll_deg,head_speed_dps,dr_intensity,mode,event,payload
1784738903910,3,A,A2,,,,,,NBACK1_PILOT,CPT_PANEL_PLACED,dist_m=n/a;tool=block-a-cpt.html
1784738903910,3,A,A2,,,,,,NBACK1_PILOT,CPT_RUN_START,trials=84;seed=31;soa_s=2.5;task=nback1
1784738903910,3,A,A2,,,,,,NBACK1_PILOT,CPT_ONSET,idx=0;kind=nogo;shape=square
1784738906427,3,A,A2,,,,,,NBACK1_PILOT,CPT_RESULT,idx=0;outcome=first_unscored
1784738906428,3,A,A2,,,,,,NBACK1_PILOT,CPT_ONSET,idx=1;kind=go;shape=square
1784738908930,3,A,A2,,,,,,NBACK1_PILOT,CPT_RESULT,idx=1;outcome=hit;rt_ms=1248
1784738908931,3,A,A2,,,,,,NBACK1_PILOT,CPT_ONSET,idx=2;kind=nogo;shape=diamond
1784738911433,3,A,A2,,,,,,NBACK1_PILOT,CPT_RESULT,idx=2;outcome=correct_reject;rt_ms=980
1784738911437,3,A,A2,,,,,,NBACK1_PILOT,CPT_ONSET,idx=3;kind=nogo;shape=circle
1784738913963,3,A,A2,,,,,,NBACK1_PILOT,CPT_RESULT,idx=3;outcome=correct_reject;rt_ms=1173
1784738913967,3,A,A2,,,,,,NBACK1_PILOT,CPT_ONSET,idx=4;kind=go;shape=circle
1784738916467,3,A,A2,,,,,,NBACK1_PILOT,CPT_RESULT,idx=4;outcome=hit;rt_ms=600
1784738916472,3,A,A2,,,,,,NBACK1_PILOT,CPT_ONSET,idx=5;kind=nogo;shape=diamond
1784738918976,3,A,A2,,,,,,NBACK1_PILOT,CPT_RESULT,idx=5;outcome=correct_reject;rt_ms=1077
1784738918981,3,A,A2,,,,,,NBACK1_PILOT,CPT_ONSET,idx=6;kind=nogo;shape=circle
1784738921496,3,A,A2,,,,,,NBACK1_PILOT,CPT_RESULT,idx=6;outcome=correct_reject;rt_ms=1107
