t_ms,pid,block,condition,yaw_deg,pitch_deg,roll_deg,head_speed_dps,dr_intensity,mode,event,payload
1786457507006,51,A,A2,,,,,1,NBACK1_PILOT,CPT_PANEL_PLACED,dist_m=n/a;tool=block-a-cpt.html;window_stage=done
1786457507008,51,A,A2,,,,,1,NBACK1_PILOT,CPT_RUN_START,trials=140;seed=511;soa_s=2;task=nback1_lures;gen=v4;target_p=0.5;lure_p=0.6;filter=FILTER;distractors=PROTEST
1786457507009,51,A,A2,,,,,1,NBACK1_PILOT,CPT_ONSET,idx=0;kind=nogo;shape=pentagon
1786457509019,51,A,A2,,,,,1,NBACK1_PILOT,CPT_RESULT,idx=0;outcome=first_unscored
1786457509021,51,A,A2,,,,,1,NBACK1_PILOT,CPT_ONSET,idx=1;kind=go;shape=pentagon
1786457511037,51,A,A2,,,,,1,NBACK1_PILOT,CPT_RESULT,idx=1;outcome=hit;rt_ms=523
1786457511042,51,A,A2,,,,,1,NBACK1_PILOT,CPT_ONSET,idx=2;kind=go;shape=pentagon
1786457513056,51,A,A2,,,,,1,NBACK1_PILOT,CPT_RESULT,idx=2;outcome=hit;rt_ms=651
1786457513063,51,A,A2,,,,,1,NBACK1_PILOT,CPT_ONSET,idx=3;kind=nogo;shape=hexagon;lure=1
1786457515071,51,A,A2,,,,,1,NBACK1_PILOT,CPT_RESULT,idx=3;outcome=correct_reject;rt_ms=601
1786457515077,51,A,A2,,,,,1,NBACK1_PILOT,CPT_ONSET,idx=4;kind=go;shape=hexagon
1786457517094,51,A,A2,,,,,1,NBACK1_PILOT,CPT_RESULT,idx=4;outcome=hit;rt_ms=512
1786457517101,51,A,A2,,,,,1,NBACK1_PILOT,CPT_ONSET,idx=5;kind=go;shape=hexagon
1786457519105,51,A,A2,,,,,1,NBACK1_PILOT,CPT_RESULT,idx=5;outcome=hit;rt_ms=549
1786457519111,51,A,A2,,,,,1,NBACK1_PILOT,CPT_ONSET,idx=6;kind=go;shape=hexagon
1786457521119,51,A,A2,,,,,1,NBACK1_PILOT,CPT_RESULT,idx=6;outcome=hit;rt_ms=485
1786457521126,51,A,A2,,,,,1,NBACK1_PILOT,CPT_ONSET,idx=7;kind=nogo;shape=square;lure=0
1786457523138,51,A,A2,,,,,1,NBACK1_PILOT,CPT_RESULT,idx=7;outcome=correct_reject;rt_ms=513
1786457523144,51,A,A2,,,,,1,NBACK1_PILOT,CPT_ONSET,idx=8;kind=go;shape=square
1786457525171,51,A,A2,,,,,1,NBACK1_PILOT,CPT_RESULT,idx=8;outcome=hit;rt_ms=504
1786457525178,51,A,A2,,,,,1,NBACK1_PILOT,CPT_ONSET,idx=9;kind=nogo;shape=diamond;lure=1
1786457527193,51,A,A2,,,,,1,NBACK1_PILOT,CPT_RESULT,idx=9;outcome=correct_reject;rt_ms=490
1786457527200,51,A,A2,,,,,1,NBACK1_PILOT,CPT_ONSET,idx=10;kind=go;shape=diamond
1786457529204,51,A,A2,,,,,1,NBACK1_PILOT,CPT_RESULT,idx=10;outcome=hit;rt_ms=435
1786457529210,51,A,A2,,,,,1,NBACK1_PILOT,CPT_ONSET,idx=11;kind=go;shape=diamond
1786457531225,51,A,A2,,,,,1,NBACK1_PILOT,CPT_RESULT,idx=11;outcome=hit;rt_ms=478
1786457531231,51,A,A2,,,,,1,NBACK1_PILOT,CPT_ONSET,idx=12;kind=nogo;shape=ellipse;lure=0
1786457533238,51,A,A2,,,,,1,NBACK1_PILOT,CPT_RESULT,idx=12;outcome=correct_reject;rt_ms=494
1786457533244,51,A,A2,,,,,1,NBACK1_PILOT,CPT_ONSET,idx=13;kind=nogo;shape=circle;lure=1
1786457535271,51,A,A2,,,,,1,NBACK1_PILOT,CPT_RESULT,idx=13;outcome=commission;rt_ms=541
1786457535278,51,A,A2,,,,,1,NBACK1_PILOT,CPT_ONSET,idx=14;kind=nogo;shape=square;lure=0
1786457537296,51,A,A2,,,,,1,NBACK1_PILOT,CPT_RESULT,idx=14;outcome=correct_reject;rt_ms=663
1786457537303,51,A,A2,,,,,1,NBACK1_PILOT,CPT_ONSET,idx=15;kind=nogo;shape=diamond;lure=1
1786457539304,51,A,A2,,,,,1,NBACK1_PILOT,CPT_RESULT,idx=15;outcome=correct_reject;rt_ms=651
1786457539310,51,A,A2,,,,,1,NBACK1_PILOT,CPT_ONSET,idx=16;kind=go;shape=diamond
1786457541338,51,A,A2,,,,,1,NBACK1_PILOT,CPT_RESULT,idx=16;outcome=hit;rt_ms=468
1786457541343,51,A,A2,,,,,1,NBACK1_PILOT,CPT_ONSET,idx=17;kind=nogo;shape=hexagon;lure=0
1786457543361,51,A,A2,,,,,1,NBACK1_PILOT,CPT_RESULT,idx=17;outcome=correct_reject;rt_ms=635
1786457543367,51,A,A2,,,,,1,NBACK1_PILOT,CPT_ONSET,idx=18;kind=go;shape=hexagon
1786457545370,51,A,A2,,,,,1,NBACK1_PILOT,CPT_RESULT,idx=18;outcome=hit;rt_ms=448
1786457545377,51,A,A2,,,,,1,NBACK1_PILOT,CPT_ONSET,idx=19;kind=nogo;shape=pentagon;lure=1
1786457547403,51,A,A2,,,,,1,NBACK1_PILOT,CPT_RESULT,idx=19;outcome=correct_reject;rt_ms=574
1786457547410,51,A,A2,,,,,1,NBACK1_PILOT,CPT_ONSET,idx=20;kind=go;shape=pentagon
1786457549430,51,A,A2,,,,,1,NBACK1_PILOT,CPT_RESULT,idx=20;outcome=hit;rt_ms=583
1786457549437,51,A,A2,,,,,1,NBACK1_PILOT,CPT_ONSET,idx=21;kind=nogo;shape=diamond;lure=0
1786457551440,51,A,A2,,,,,1,NBACK1_PILOT,CPT_RESULT,idx=21;outcome=correct_reject;rt_ms=657
1786457551447,51,A,A2,,,,,1,NBACK1_PILOT,CPT_ONSET,idx=22;kind=go;shape=diamond
1786457553457,51,A,A2,,,,,1,NBACK1_PILOT,CPT_RESULT,idx=22;outcome=miss;answered_no;rt_ms=522
1786457553463,51,A,A2,,,,,1,NBACK1_PILOT,CPT_ONSET,idx=23;kind=nogo;shape=square;lure=1
1786457555474,51,A,A2,,,,,1,NBACK1_PILOT,CPT_RESULT,idx=23;outcome=correct_reject;rt_ms=681
1786457555481,51,A,A2,,,,,1,NBACK1_PILOT,CPT_ONSET,idx=24;kind=nogo;shape=diamond;lure=1
1786457557483,51,A,A2,,,,,1,NBACK1_PILOT,CPT_RESULT,idx=24;outcome=correct_reject;rt_ms=696
1786457557489,51,A,A2,,,,,1,NBACK1_PILOT,CPT_ONSET,idx=25;kind=nogo;shape=circle;lure=0
1786457559501,51,A,A2,,,,,1,NBACK1_PILOT,CPT_RESULT,idx=25;outcome=correct_reject;rt_ms=649
1786457559508,51,A,A2,,,,,1,NBACK1_PILOT,CPT_ONSET,idx=26;kind=nogo;shape=ellipse;lure=1
1786457561525,51,A,A2,,,,,1,NBACK1_PILOT,CPT_RESULT,idx=26;outcome=correct_reject;rt_ms=700
1786457561531,51,A,A2,,,,,1,NBACK1_PILOT,CPT_ONSET,idx=27;kind=go;shape=ellipse
1786457563537,51,A,A2,,,,,1,NBACK1_PILOT,CPT_RESULT,idx=27;outcome=hit;rt_ms=653
1786457563544,51,A,A2,,,,,1,NBACK1_PILOT,CPT_ONSET,idx=28;kind=go;shape=ellipse
1786457565573,51,A,A2,,,,,1,NBACK1_PILOT,CPT_RESULT,idx=28;outcome=hit;rt_ms=591
1786457565580,51,A,A2,,,,,1,NBACK1_PILOT,CPT_ONSET,idx=29;kind=go;shape=ellipse
1786457567590,51,A,A2,,,,,1,NBACK1_PILOT,CPT_RESULT,idx=29;outcome=hit;rt_ms=480
1786457567596,51,A,A2,,,,,1,NBACK1_PILOT,CPT_ONSET,idx=30;kind=nogo;shape=hexagon;lure=0
1786457569606,51,A,A2,,,,,1,NBACK1_PILOT,CPT_RESULT,idx=30;outcome=correct_reject;rt_ms=565
1786457569613,51,A,A2,,,,,1,NBACK1_PILOT,CPT_ONSET,idx=31;kind=go;shape=hexagon
1786457571626,51,A,A2,,,,,1,NBACK1_PILOT,CPT_RESULT,idx=31;outcome=hit;rt_ms=676
1786457571632,51,A,A2,,,,,1,NBACK1_PILOT,CPT_ONSET,idx=32;kind=go;shape=hexagon
1786457573640,51,A,A2,,,,,1,NBACK1_PILOT,CPT_RESULT,idx=32;outcome=hit;rt_ms=590
1786457573647,51,A,A2,,,,,1,NBACK1_PILOT,CPT_ONSET,idx=33;kind=go;shape=hexagon
1786457575656,51,A,A2,,,,,1,NBACK1_PILOT,CPT_RESULT,idx=33;outcome=hit;rt_ms=490
1786457575663,51,A,A2,,,,,1,NBACK1_PILOT,CPT_ONSET,idx=34;kind=nogo;shape=square;lure=0
1786457577673,51,A,A2,,,,,1,NBACK1_PILOT,CPT_RESULT,idx=34;outcome=correct_reject;rt_ms=545
1786457577680,51,A,A2,,,,,1,NBACK1_PILOT,CPT_ONSET,idx=35;kind=nogo;shape=hexagon;lure=0
