t_ms,pid,block,condition,yaw_deg,pitch_deg,roll_deg,head_speed_dps,dr_intensity,mode,event,payload
1786456681768,51,A,PRACTICE,,,,,0,NBACK1_PILOT,CPT_PANEL_PLACED,dist_m=n/a;tool=block-a-cpt.html;window_stage=done
1786456681770,51,A,PRACTICE,,,,,0,NBACK1_PILOT,PRACTICE_START,trials=40;seed=999;soa_s=2;task=nback1_lures;gen=v4;target_p=0.5;lure_p=0.6;filter=NOFILTER;distractors=PROTEST
1786456681772,51,A,PRACTICE,,,,,0,NBACK1_PILOT,CPT_ONSET,idx=0;kind=nogo;shape=diamond
1786456683774,51,A,PRACTICE,,,,,0,NBACK1_PILOT,CPT_RESULT,idx=0;outcome=first_unscored
1786456683778,51,A,PRACTICE,,,,,0,NBACK1_PILOT,CPT_ONSET,idx=1;kind=nogo;shape=circle;lure=0
1786456685793,51,A,PRACTICE,,,,,0,NBACK1_PILOT,CPT_RESULT,idx=1;outcome=correct_reject;rt_ms=897
1786456685798,51,A,PRACTICE,,,,,0,NBACK1_PILOT,CPT_ONSET,idx=2;kind=nogo;shape=ellipse;lure=1
1786456687823,51,A,PRACTICE,,,,,0,NBACK1_PILOT,CPT_RESULT,idx=2;outcome=no_response
1786456687830,51,A,PRACTICE,,,,,0,NBACK1_PILOT,CPT_ONSET,idx=3;kind=go;shape=ellipse
1786456689843,51,A,PRACTICE,,,,,0,NBACK1_PILOT,CPT_RESULT,idx=3;outcome=hit;rt_ms=1190
1786456689849,51,A,PRACTICE,,,,,0,NBACK1_PILOT,CPT_ONSET,idx=4;kind=nogo;shape=circle;lure=1
1786456691857,51,A,PRACTICE,,,,,0,NBACK1_PILOT,CPT_RESULT,idx=4;outcome=correct_reject;rt_ms=947
1786456691864,51,A,PRACTICE,,,,,0,NBACK1_PILOT,CPT_ONSET,idx=5;kind=go;shape=circle
1786456693878,51,A,PRACTICE,,,,,0,NBACK1_PILOT,CPT_RESULT,idx=5;outcome=miss;answered_no;rt_ms=547
1786456693884,51,A,PRACTICE,,,,,0,NBACK1_PILOT,CPT_ONSET,idx=6;kind=nogo;shape=diamond;lure=0
1786456695886,51,A,PRACTICE,,,,,0,NBACK1_PILOT,CPT_RESULT,idx=6;outcome=correct_reject;rt_ms=1071
1786456695893,51,A,PRACTICE,,,,,0,NBACK1_PILOT,CPT_ONSET,idx=7;kind=go;shape=diamond
1786456697913,51,A,PRACTICE,,,,,0,NBACK1_PILOT,CPT_RESULT,idx=7;outcome=hit;rt_ms=678
1786456697920,51,A,PRACTICE,,,,,0,NBACK1_PILOT,CPT_ONSET,idx=8;kind=nogo;shape=square;lure=1
1786456699924,51,A,PRACTICE,,,,,0,NBACK1_PILOT,CPT_RESULT,idx=8;outcome=correct_reject;rt_ms=826
1786456699931,51,A,PRACTICE,,,,,0,NBACK1_PILOT,CPT_ONSET,idx=9;kind=nogo;shape=hexagon;lure=0
1786456701935,51,A,PRACTICE,,,,,0,NBACK1_PILOT,CPT_RESULT,idx=9;outcome=correct_reject;rt_ms=746
1786456701941,51,A,PRACTICE,,,,,0,NBACK1_PILOT,CPT_ONSET,idx=10;kind=go;shape=hexagon
1786456703955,51,A,PRACTICE,,,,,0,NBACK1_PILOT,CPT_RESULT,idx=10;outcome=hit;rt_ms=478
1786456703961,51,A,PRACTICE,,,,,0,NBACK1_PILOT,CPT_ONSET,idx=11;kind=go;shape=hexagon
1786456705977,51,A,PRACTICE,,,,,0,NBACK1_PILOT,CPT_RESULT,idx=11;outcome=hit;rt_ms=664
1786456705983,51,A,PRACTICE,,,,,0,NBACK1_PILOT,CPT_ONSET,idx=12;kind=go;shape=hexagon
1786456707990,51,A,PRACTICE,,,,,0,NBACK1_PILOT,CPT_RESULT,idx=12;outcome=hit;rt_ms=580
1786456707997,51,A,PRACTICE,,,,,0,NBACK1_PILOT,CPT_ONSET,idx=13;kind=nogo;shape=square;lure=0
1786456710010,51,A,PRACTICE,,,,,0,NBACK1_PILOT,CPT_RESULT,idx=13;outcome=correct_reject;rt_ms=555
1786456710016,51,A,PRACTICE,,,,,0,NBACK1_PILOT,CPT_ONSET,idx=14;kind=go;shape=square
1786456712018,51,A,PRACTICE,,,,,0,NBACK1_PILOT,CPT_RESULT,idx=14;outcome=hit;rt_ms=822
1786456712025,51,A,PRACTICE,,,,,0,NBACK1_PILOT,CPT_ONSET,idx=15;kind=go;shape=square
1786456714039,51,A,PRACTICE,,,,,0,NBACK1_PILOT,CPT_RESULT,idx=15;outcome=hit;rt_ms=1043
1786456714045,51,A,PRACTICE,,,,,0,NBACK1_PILOT,CPT_ONSET,idx=16;kind=nogo;shape=pentagon;lure=0
1786456716057,51,A,PRACTICE,,,,,0,NBACK1_PILOT,CPT_RESULT,idx=16;outcome=correct_reject;rt_ms=713
1786456716064,51,A,PRACTICE,,,,,0,NBACK1_PILOT,CPT_ONSET,idx=17;kind=go;shape=pentagon
1786456718091,51,A,PRACTICE,,,,,0,NBACK1_PILOT,CPT_RESULT,idx=17;outcome=hit;rt_ms=902
1786456718098,51,A,PRACTICE,,,,,0,NBACK1_PILOT,CPT_ONSET,idx=18;kind=go;shape=pentagon
1786456720111,51,A,PRACTICE,,,,,0,NBACK1_PILOT,CPT_RESULT,idx=18;outcome=hit;rt_ms=571
1786456720117,51,A,PRACTICE,,,,,0,NBACK1_PILOT,CPT_ONSET,idx=19;kind=nogo;shape=hexagon;lure=1
1786456722124,51,A,PRACTICE,,,,,0,NBACK1_PILOT,CPT_RESULT,idx=19;outcome=correct_reject;rt_ms=545
1786456722131,51,A,PRACTICE,,,,,0,NBACK1_PILOT,CPT_ONSET,idx=20;kind=go;shape=hexagon
1786456724143,51,A,PRACTICE,,,,,0,NBACK1_PILOT,CPT_RESULT,idx=20;outcome=hit;rt_ms=778
1786456724150,51,A,PRACTICE,,,,,0,NBACK1_PILOT,CPT_ONSET,idx=21;kind=go;shape=hexagon
1786456726156,51,A,PRACTICE,,,,,0,NBACK1_PILOT,CPT_RESULT,idx=21;outcome=hit;rt_ms=598
1786456726163,51,A,PRACTICE,,,,,0,NBACK1_PILOT,CPT_ONSET,idx=22;kind=nogo;shape=circle;lure=0
1786456728190,51,A,PRACTICE,,,,,0,NBACK1_PILOT,CPT_RESULT,idx=22;outcome=correct_reject;rt_ms=797
1786456728197,51,A,PRACTICE,,,,,0,NBACK1_PILOT,CPT_ONSET,idx=23;kind=nogo;shape=diamond;lure=0
1786456730213,51,A,PRACTICE,,,,,0,NBACK1_PILOT,CPT_RESULT,idx=23;outcome=correct_reject;rt_ms=899
1786456730218,51,A,PRACTICE,,,,,0,NBACK1_PILOT,CPT_ONSET,idx=24;kind=go;shape=diamond
1786456732227,51,A,PRACTICE,,,,,0,NBACK1_PILOT,CPT_RESULT,idx=24;outcome=hit;rt_ms=698
1786456732233,51,A,PRACTICE,,,,,0,NBACK1_PILOT,CPT_ONSET,idx=25;kind=nogo;shape=circle;lure=0
1786456734243,51,A,PRACTICE,,,,,0,NBACK1_PILOT,CPT_RESULT,idx=25;outcome=correct_reject;rt_ms=728
1786456734249,51,A,PRACTICE,,,,,0,NBACK1_PILOT,CPT_ONSET,idx=26;kind=go;shape=circle
1786456736251,51,A,PRACTICE,,,,,0,NBACK1_PILOT,CPT_RESULT,idx=26;outcome=hit;rt_ms=723
1786456736257,51,A,PRACTICE,,,,,0,NBACK1_PILOT,CPT_ONSET,idx=27;kind=go;shape=circle
1786456738274,51,A,PRACTICE,,,,,0,NBACK1_PILOT,CPT_RESULT,idx=27;outcome=hit;rt_ms=708
1786456738280,51,A,PRACTICE,,,,,0,NBACK1_PILOT,CPT_ONSET,idx=28;kind=nogo;shape=ellipse;lure=1
1786456740290,51,A,PRACTICE,,,,,0,NBACK1_PILOT,CPT_RESULT,idx=28;outcome=correct_reject;rt_ms=648
1786456740296,51,A,PRACTICE,,,,,0,NBACK1_PILOT,CPT_ONSET,idx=29;kind=go;shape=ellipse
1786456742309,51,A,PRACTICE,,,,,0,NBACK1_PILOT,CPT_RESULT,idx=29;outcome=miss;answered_no;rt_ms=720
1786456742316,51,A,PRACTICE,,,,,0,NBACK1_PILOT,CPT_ONSET,idx=30;kind=go;shape=ellipse
1786456744326,51,A,PRACTICE,,,,,0,NBACK1_PILOT,CPT_RESULT,idx=30;outcome=hit;rt_ms=690
1786456744332,51,A,PRACTICE,,,,,0,NBACK1_PILOT,CPT_ONSET,idx=31;kind=nogo;shape=circle;lure=1
1786456746344,51,A,PRACTICE,,,,,0,NBACK1_PILOT,CPT_RESULT,idx=31;outcome=correct_reject;rt_ms=630
1786456746350,51,A,PRACTICE,,,,,0,NBACK1_PILOT,CPT_ONSET,idx=32;kind=nogo;shape=diamond;lure=0
1786456748351,51,A,PRACTICE,,,,,0,NBACK1_PILOT,CPT_RESULT,idx=32;outcome=correct_reject;rt_ms=707
1786456748360,51,A,PRACTICE,,,,,0,NBACK1_PILOT,CPT_ONSET,idx=33;kind=go;shape=diamond
1786456750373,51,A,PRACTICE,,,,,0,NBACK1_PILOT,CPT_RESULT,idx=33;outcome=hit;rt_ms=527
1786456750379,51,A,PRACTICE,,,,,0,NBACK1_PILOT,CPT_ONSET,idx=34;kind=go;shape=diamond
1786456752393,51,A,PRACTICE,,,,,0,NBACK1_PILOT,CPT_RESULT,idx=34;outcome=hit;rt_ms=601
1786456752399,51,A,PRACTICE,,,,,0,NBACK1_PILOT,CPT_ONSET,idx=35;kind=nogo;shape=square;lure=1
1786456754411,51,A,PRACTICE,,,,,0,NBACK1_PILOT,CPT_RESULT,idx=35;outcome=correct_reject;rt_ms=657
1786456754418,51,A,PRACTICE,,,,,0,NBACK1_PILOT,CPT_ONSET,idx=36;kind=nogo;shape=diamond;lure=1
1786456756423,51,A,PRACTICE,,,,,0,NBACK1_PILOT,CPT_RESULT,idx=36;outcome=no_response
1786456756430,51,A,PRACTICE,,,,,0,NBACK1_PILOT,CPT_ONSET,idx=37;kind=go;shape=diamond
1786456758009,51,A,PRACTICE,,,,,0,NBACK1_PILOT,CPT_RUN_ABORTED,go_acc=0.895;criterion=0.80
