t_ms,pid,block,condition,yaw_deg,pitch_deg,roll_deg,head_speed_dps,dr_intensity,mode,event,payload
1784814220263,6,A,PRACTICE,,,,,1,NBACK1_PILOT,CPT_PANEL_PLACED,dist_m=n/a;tool=block-a-cpt.html;window_stage=done
1784814220263,6,A,PRACTICE,,,,,1,NBACK1_PILOT,PRACTICE_START,trials=40;seed=999;soa_s=2;task=nback1;filter=FILTER
1784814220263,6,A,PRACTICE,,,,,1,NBACK1_PILOT,CPT_ONSET,idx=0;kind=nogo;shape=circle
1784814222270,6,A,PRACTICE,,,,,1,NBACK1_PILOT,CPT_RESULT,idx=0;outcome=first_unscored
1784814222272,6,A,PRACTICE,,,,,1,NBACK1_PILOT,CPT_ONSET,idx=1;kind=go;shape=circle
1784814224283,6,A,PRACTICE,,,,,1,NBACK1_PILOT,CPT_RESULT,idx=1;outcome=hit;rt_ms=1117
1784814224285,6,A,PRACTICE,,,,,1,NBACK1_PILOT,CPT_ONSET,idx=2;kind=nogo;shape=square
1784814226295,6,A,PRACTICE,,,,,1,NBACK1_PILOT,CPT_RESULT,idx=2;outcome=no_response
1784814226300,6,A,PRACTICE,,,,,1,NBACK1_PILOT,CPT_ONSET,idx=3;kind=go;shape=square
1784814228301,6,A,PRACTICE,,,,,1,NBACK1_PILOT,CPT_RESULT,idx=3;outcome=hit;rt_ms=986
1784814228306,6,A,PRACTICE,,,,,1,NBACK1_PILOT,CPT_ONSET,idx=4;kind=nogo;shape=triangle
1784814230308,6,A,PRACTICE,,,,,1,NBACK1_PILOT,CPT_RESULT,idx=4;outcome=no_response
1784814230313,6,A,PRACTICE,,,,,1,NBACK1_PILOT,CPT_ONSET,idx=5;kind=nogo;shape=circle
1784814232317,6,A,PRACTICE,,,,,1,NBACK1_PILOT,CPT_RESULT,idx=5;outcome=correct_reject;rt_ms=717
1784814232322,6,A,PRACTICE,,,,,1,NBACK1_PILOT,CPT_ONSET,idx=6;kind=nogo;shape=diamond
1784814234334,6,A,PRACTICE,,,,,1,NBACK1_PILOT,CPT_RESULT,idx=6;outcome=no_response
1784814234339,6,A,PRACTICE,,,,,1,NBACK1_PILOT,CPT_ONSET,idx=7;kind=go;shape=diamond
1784814236339,6,A,PRACTICE,,,,,1,NBACK1_PILOT,CPT_RESULT,idx=7;outcome=hit;rt_ms=895
1784814236344,6,A,PRACTICE,,,,,1,NBACK1_PILOT,CPT_ONSET,idx=8;kind=nogo;shape=triangle
1784814238360,6,A,PRACTICE,,,,,1,NBACK1_PILOT,CPT_RESULT,idx=8;outcome=no_response
1784814238366,6,A,PRACTICE,,,,,1,NBACK1_PILOT,CPT_ONSET,idx=9;kind=nogo;shape=circle
1784814240367,6,A,PRACTICE,,,,,1,NBACK1_PILOT,CPT_RESULT,idx=9;outcome=correct_reject;rt_ms=767
1784814240372,6,A,PRACTICE,,,,,1,NBACK1_PILOT,CPT_ONSET,idx=10;kind=nogo;shape=triangle
1784814242381,6,A,PRACTICE,,,,,1,NBACK1_PILOT,CPT_RESULT,idx=10;outcome=no_response
1784814242386,6,A,PRACTICE,,,,,1,NBACK1_PILOT,CPT_ONSET,idx=11;kind=nogo;shape=square
1784814244399,6,A,PRACTICE,,,,,1,NBACK1_PILOT,CPT_RESULT,idx=11;outcome=correct_reject;rt_ms=748
1784814244404,6,A,PRACTICE,,,,,1,NBACK1_PILOT,CPT_ONSET,idx=12;kind=go;shape=square
1784814246405,6,A,PRACTICE,,,,,1,NBACK1_PILOT,CPT_RESULT,idx=12;outcome=miss;timeout
1784814246410,6,A,PRACTICE,,,,,1,NBACK1_PILOT,CPT_ONSET,idx=13;kind=nogo;shape=circle
1784814248418,6,A,PRACTICE,,,,,1,NBACK1_PILOT,CPT_RESULT,idx=13;outcome=no_response
1784814248422,6,A,PRACTICE,,,,,1,NBACK1_PILOT,CPT_ONSET,idx=14;kind=go;shape=circle
1784814250433,6,A,PRACTICE,,,,,1,NBACK1_PILOT,CPT_RESULT,idx=14;outcome=miss;timeout
1784814250438,6,A,PRACTICE,,,,,1,NBACK1_PILOT,CPT_ONSET,idx=15;kind=nogo;shape=triangle
1784814252447,6,A,PRACTICE,,,,,1,NBACK1_PILOT,CPT_RESULT,idx=15;outcome=commission;rt_ms=1263
1784814252451,6,A,PRACTICE,,,,,1,NBACK1_PILOT,CPT_ONSET,idx=16;kind=nogo;shape=circle
1784814254452,6,A,PRACTICE,,,,,1,NBACK1_PILOT,CPT_RESULT,idx=16;outcome=correct_reject;rt_ms=780
1784814254457,6,A,PRACTICE,,,,,1,NBACK1_PILOT,CPT_ONSET,idx=17;kind=nogo;shape=square
1784814256466,6,A,PRACTICE,,,,,1,NBACK1_PILOT,CPT_RESULT,idx=17;outcome=no_response
1784814256472,6,A,PRACTICE,,,,,1,NBACK1_PILOT,CPT_ONSET,idx=18;kind=go;shape=square
1784814258493,6,A,PRACTICE,,,,,1,NBACK1_PILOT,CPT_RESULT,idx=18;outcome=hit;rt_ms=1271
1784814258498,6,A,PRACTICE,,,,,1,NBACK1_PILOT,CPT_ONSET,idx=19;kind=nogo;shape=diamond
1784814260500,6,A,PRACTICE,,,,,1,NBACK1_PILOT,CPT_RESULT,idx=19;outcome=correct_reject;rt_ms=1682
1784814260505,6,A,PRACTICE,,,,,1,NBACK1_PILOT,CPT_ONSET,idx=20;kind=nogo;shape=square
1784814262534,6,A,PRACTICE,,,,,1,NBACK1_PILOT,CPT_RESULT,idx=20;outcome=correct_reject;rt_ms=1057
1784814262538,6,A,PRACTICE,,,,,1,NBACK1_PILOT,CPT_ONSET,idx=21;kind=nogo;shape=circle
1784814264558,6,A,PRACTICE,,,,,1,NBACK1_PILOT,CPT_RESULT,idx=21;outcome=correct_reject;rt_ms=1178
1784814264564,6,A,PRACTICE,,,,,1,NBACK1_PILOT,CPT_ONSET,idx=22;kind=nogo;shape=diamond
1784814266567,6,A,PRACTICE,,,,,1,NBACK1_PILOT,CPT_RESULT,idx=22;outcome=correct_reject;rt_ms=1216
1784814266571,6,A,PRACTICE,,,,,1,NBACK1_PILOT,CPT_ONSET,idx=23;kind=go;shape=diamond
1784814268600,6,A,PRACTICE,,,,,1,NBACK1_PILOT,CPT_RESULT,idx=23;outcome=miss;answered_no;rt_ms=744
1784814268605,6,A,PRACTICE,,,,,1,NBACK1_PILOT,CPT_ONSET,idx=24;kind=nogo;shape=circle
1784814270614,6,A,PRACTICE,,,,,1,NBACK1_PILOT,CPT_RESULT,idx=24;outcome=no_response
1784814270618,6,A,PRACTICE,,,,,1,NBACK1_PILOT,CPT_ONSET,idx=25;kind=go;shape=circle
1784814272628,6,A,PRACTICE,,,,,1,NBACK1_PILOT,CPT_RESULT,idx=25;outcome=hit;rt_ms=859
1784814272634,6,A,PRACTICE,,,,,1,NBACK1_PILOT,CPT_ONSET,idx=26;kind=nogo;shape=triangle
1784814274634,6,A,PRACTICE,,,,,1,NBACK1_PILOT,CPT_RESULT,idx=26;outcome=no_response
1784814274639,6,A,PRACTICE,,,,,1,NBACK1_PILOT,CPT_ONSET,idx=27;kind=nogo;shape=square
1784814276640,6,A,PRACTICE,,,,,1,NBACK1_PILOT,CPT_RESULT,idx=27;outcome=correct_reject;rt_ms=694
1784814276645,6,A,PRACTICE,,,,,1,NBACK1_PILOT,CPT_ONSET,idx=28;kind=nogo;shape=triangle
1784814278646,6,A,PRACTICE,,,,,1,NBACK1_PILOT,CPT_RESULT,idx=28;outcome=correct_reject;rt_ms=1465
1784814278651,6,A,PRACTICE,,,,,1,NBACK1_PILOT,CPT_ONSET,idx=29;kind=nogo;shape=circle
1784814280666,6,A,PRACTICE,,,,,1,NBACK1_PILOT,CPT_RESULT,idx=29;outcome=correct_reject;rt_ms=1534
1784814280671,6,A,PRACTICE,,,,,1,NBACK1_PILOT,CPT_ONSET,idx=30;kind=go;shape=circle
1784814282682,6,A,PRACTICE,,,,,1,NBACK1_PILOT,CPT_RESULT,idx=30;outcome=hit;rt_ms=1161
1784814282686,6,A,PRACTICE,,,,,1,NBACK1_PILOT,CPT_ONSET,idx=31;kind=nogo;shape=square
1784814284686,6,A,PRACTICE,,,,,1,NBACK1_PILOT,CPT_RESULT,idx=31;outcome=no_response
1784814284691,6,A,PRACTICE,,,,,1,NBACK1_PILOT,CPT_ONSET,idx=32;kind=nogo;shape=diamond
1784814286700,6,A,PRACTICE,,,,,1,NBACK1_PILOT,CPT_RESULT,idx=32;outcome=no_response
1784814286704,6,A,PRACTICE,,,,,1,NBACK1_PILOT,CPT_ONSET,idx=33;kind=go;shape=diamond
1784814288705,6,A,PRACTICE,,,,,1,NBACK1_PILOT,CPT_RESULT,idx=33;outcome=miss;timeout
1784814288710,6,A,PRACTICE,,,,,1,NBACK1_PILOT,CPT_ONSET,idx=34;kind=nogo;shape=circle
1784814290727,6,A,PRACTICE,,,,,1,NBACK1_PILOT,CPT_RESULT,idx=34;outcome=no_response
1784814290731,6,A,PRACTICE,,,,,1,NBACK1_PILOT,CPT_ONSET,idx=35;kind=go;shape=circle
1784814292733,6,A,PRACTICE,,,,,1,NBACK1_PILOT,CPT_RESULT,idx=35;outcome=miss;timeout
1784814292738,6,A,PRACTICE,,,,,1,NBACK1_PILOT,CPT_ONSET,idx=36;kind=nogo;shape=triangle
1784814293743,6,A,PRACTICE,,,,,1,NBACK1_PILOT,CPT_RUN_ABORTED,go_acc=0.545;criterion=0.90
