t_ms,pid,block,condition,yaw_deg,pitch_deg,roll_deg,head_speed_dps,dr_intensity,mode,event,payload
1786461482064,90,A,PRACTICE,,,,,1,NBACK1_PILOT,CPT_PANEL_PLACED,dist_m=n/a;tool=block-a-cpt.html;window_stage=done
1786461482068,90,A,PRACTICE,,,,,1,NBACK1_PILOT,PRACTICE_START,trials=40;seed=999;soa_s=2;task=nback1_lures;gen=v4;target_p=0.5;lure_p=0.6;filter=FILTER;distractors=PROTEST
1786461482070,90,A,PRACTICE,,,,,1,NBACK1_PILOT,CPT_ONSET,idx=0;kind=nogo;shape=diamond
1786461484072,90,A,PRACTICE,,,,,1,NBACK1_PILOT,CPT_RESULT,idx=0;outcome=first_unscored
1786461484076,90,A,PRACTICE,,,,,1,NBACK1_PILOT,CPT_ONSET,idx=1;kind=nogo;shape=circle;lure=0
1786461486091,90,A,PRACTICE,,,,,1,NBACK1_PILOT,CPT_RESULT,idx=1;outcome=correct_reject;rt_ms=867
1786461486095,90,A,PRACTICE,,,,,1,NBACK1_PILOT,CPT_ONSET,idx=2;kind=nogo;shape=ellipse;lure=1
1786461488124,90,A,PRACTICE,,,,,1,NBACK1_PILOT,CPT_RESULT,idx=2;outcome=correct_reject;rt_ms=1086
1786461488132,90,A,PRACTICE,,,,,1,NBACK1_PILOT,CPT_ONSET,idx=3;kind=go;shape=ellipse
1786461490158,90,A,PRACTICE,,,,,1,NBACK1_PILOT,CPT_RESULT,idx=3;outcome=miss;answered_no;rt_ms=744
1786461490166,90,A,PRACTICE,,,,,1,NBACK1_PILOT,CPT_ONSET,idx=4;kind=nogo;shape=circle;lure=1
1786461492184,90,A,PRACTICE,,,,,1,NBACK1_PILOT,CPT_RESULT,idx=4;outcome=commission;rt_ms=767
1786461492190,90,A,PRACTICE,,,,,1,NBACK1_PILOT,CPT_ONSET,idx=5;kind=go;shape=circle
1786461494193,90,A,PRACTICE,,,,,1,NBACK1_PILOT,CPT_RESULT,idx=5;outcome=hit;rt_ms=1587
1786461494200,90,A,PRACTICE,,,,,1,NBACK1_PILOT,CPT_ONSET,idx=6;kind=nogo;shape=diamond;lure=0
1786461496203,90,A,PRACTICE,,,,,1,NBACK1_PILOT,CPT_RESULT,idx=6;outcome=correct_reject;rt_ms=828
1786461496209,90,A,PRACTICE,,,,,1,NBACK1_PILOT,CPT_ONSET,idx=7;kind=go;shape=diamond
1786461498224,90,A,PRACTICE,,,,,1,NBACK1_PILOT,CPT_RESULT,idx=7;outcome=miss;answered_no;rt_ms=454
1786461498232,90,A,PRACTICE,,,,,1,NBACK1_PILOT,CPT_ONSET,idx=8;kind=nogo;shape=square;lure=1
1786461500257,90,A,PRACTICE,,,,,1,NBACK1_PILOT,CPT_RESULT,idx=8;outcome=commission;rt_ms=1297
1786461500265,90,A,PRACTICE,,,,,1,NBACK1_PILOT,CPT_ONSET,idx=9;kind=nogo;shape=hexagon;lure=0
1786461502291,90,A,PRACTICE,,,,,1,NBACK1_PILOT,CPT_RESULT,idx=9;outcome=no_response
1786461502298,90,A,PRACTICE,,,,,1,NBACK1_PILOT,CPT_ONSET,idx=10;kind=go;shape=hexagon
1786461504315,90,A,PRACTICE,,,,,1,NBACK1_PILOT,CPT_RESULT,idx=10;outcome=miss;timeout
1786461504323,90,A,PRACTICE,,,,,1,NBACK1_PILOT,CPT_ONSET,idx=11;kind=go;shape=hexagon
1786461506326,90,A,PRACTICE,,,,,1,NBACK1_PILOT,CPT_RESULT,idx=11;outcome=miss;timeout
1786461506332,90,A,PRACTICE,,,,,1,NBACK1_PILOT,CPT_ONSET,idx=12;kind=go;shape=hexagon
1786461508358,90,A,PRACTICE,,,,,1,NBACK1_PILOT,CPT_RESULT,idx=12;outcome=hit;rt_ms=868
1786461508365,90,A,PRACTICE,,,,,1,NBACK1_PILOT,CPT_ONSET,idx=13;kind=nogo;shape=square;lure=0
1786461510384,90,A,PRACTICE,,,,,1,NBACK1_PILOT,CPT_RESULT,idx=13;outcome=correct_reject;rt_ms=1017
1786461510391,90,A,PRACTICE,,,,,1,NBACK1_PILOT,CPT_ONSET,idx=14;kind=go;shape=square
1786461512393,90,A,PRACTICE,,,,,1,NBACK1_PILOT,CPT_RESULT,idx=14;outcome=miss;answered_no;rt_ms=988
1786461512400,90,A,PRACTICE,,,,,1,NBACK1_PILOT,CPT_ONSET,idx=15;kind=go;shape=square
1786461514425,90,A,PRACTICE,,,,,1,NBACK1_PILOT,CPT_RESULT,idx=15;outcome=miss;answered_no;rt_ms=793
1786461514432,90,A,PRACTICE,,,,,1,NBACK1_PILOT,CPT_ONSET,idx=16;kind=nogo;shape=pentagon;lure=0
1786461516458,90,A,PRACTICE,,,,,1,NBACK1_PILOT,CPT_RESULT,idx=16;outcome=commission;rt_ms=1250
1786461516465,90,A,PRACTICE,,,,,1,NBACK1_PILOT,CPT_ONSET,idx=17;kind=go;shape=pentagon
1786461518481,90,A,PRACTICE,,,,,1,NBACK1_PILOT,CPT_RESULT,idx=17;outcome=hit;rt_ms=1461
1786461518487,90,A,PRACTICE,,,,,1,NBACK1_PILOT,CPT_ONSET,idx=18;kind=go;shape=pentagon
1786461520491,90,A,PRACTICE,,,,,1,NBACK1_PILOT,CPT_RESULT,idx=18;outcome=hit;rt_ms=564
1786461520499,90,A,PRACTICE,,,,,1,NBACK1_PILOT,CPT_ONSET,idx=19;kind=nogo;shape=hexagon;lure=1
1786461522524,90,A,PRACTICE,,,,,1,NBACK1_PILOT,CPT_RESULT,idx=19;outcome=commission;rt_ms=600
1786461522532,90,A,PRACTICE,,,,,1,NBACK1_PILOT,CPT_ONSET,idx=20;kind=go;shape=hexagon
1786461524548,90,A,PRACTICE,,,,,1,NBACK1_PILOT,CPT_RESULT,idx=20;outcome=hit;rt_ms=680
1786461524554,90,A,PRACTICE,,,,,1,NBACK1_PILOT,CPT_ONSET,idx=21;kind=go;shape=hexagon
1786461526557,90,A,PRACTICE,,,,,1,NBACK1_PILOT,CPT_RESULT,idx=21;outcome=hit;rt_ms=640
1786461526565,90,A,PRACTICE,,,,,1,NBACK1_PILOT,CPT_ONSET,idx=22;kind=nogo;shape=circle;lure=0
1786461528567,90,A,PRACTICE,,,,,1,NBACK1_PILOT,CPT_RESULT,idx=22;outcome=correct_reject;rt_ms=637
1786461528574,90,A,PRACTICE,,,,,1,NBACK1_PILOT,CPT_ONSET,idx=23;kind=nogo;shape=diamond;lure=0
1786461530589,90,A,PRACTICE,,,,,1,NBACK1_PILOT,CPT_RESULT,idx=23;outcome=commission;rt_ms=813
1786461530595,90,A,PRACTICE,,,,,1,NBACK1_PILOT,CPT_ONSET,idx=24;kind=go;shape=diamond
1786461532625,90,A,PRACTICE,,,,,1,NBACK1_PILOT,CPT_RESULT,idx=24;outcome=hit;rt_ms=1004
1786461532632,90,A,PRACTICE,,,,,1,NBACK1_PILOT,CPT_ONSET,idx=25;kind=nogo;shape=circle;lure=0
1786461534652,90,A,PRACTICE,,,,,1,NBACK1_PILOT,CPT_RESULT,idx=25;outcome=correct_reject;rt_ms=1078
1786461534659,90,A,PRACTICE,,,,,1,NBACK1_PILOT,CPT_ONSET,idx=26;kind=go;shape=circle
1786461536671,90,A,PRACTICE,,,,,1,NBACK1_PILOT,CPT_RESULT,idx=26;outcome=miss;answered_no;rt_ms=767
1786461536678,90,A,PRACTICE,,,,,1,NBACK1_PILOT,CPT_ONSET,idx=27;kind=go;shape=circle
1786461538691,90,A,PRACTICE,,,,,1,NBACK1_PILOT,CPT_RESULT,idx=27;outcome=miss;answered_no;rt_ms=513
1786461538699,90,A,PRACTICE,,,,,1,NBACK1_PILOT,CPT_ONSET,idx=28;kind=nogo;shape=ellipse;lure=1
1786461540724,90,A,PRACTICE,,,,,1,NBACK1_PILOT,CPT_RESULT,idx=28;outcome=commission;rt_ms=768
1786461540731,90,A,PRACTICE,,,,,1,NBACK1_PILOT,CPT_ONSET,idx=29;kind=go;shape=ellipse
1786461542745,90,A,PRACTICE,,,,,1,NBACK1_PILOT,CPT_RESULT,idx=29;outcome=hit;rt_ms=643
1786461542751,90,A,PRACTICE,,,,,1,NBACK1_PILOT,CPT_ONSET,idx=30;kind=go;shape=ellipse
1786461544758,90,A,PRACTICE,,,,,1,NBACK1_PILOT,CPT_RESULT,idx=30;outcome=miss;answered_no;rt_ms=919
1786461544765,90,A,PRACTICE,,,,,1,NBACK1_PILOT,CPT_ONSET,idx=31;kind=nogo;shape=circle;lure=1
1786461546776,90,A,PRACTICE,,,,,1,NBACK1_PILOT,CPT_RESULT,idx=31;outcome=commission;rt_ms=887
1786461546782,90,A,PRACTICE,,,,,1,NBACK1_PILOT,CPT_ONSET,idx=32;kind=nogo;shape=diamond;lure=0
1786461548785,90,A,PRACTICE,,,,,1,NBACK1_PILOT,CPT_RESULT,idx=32;outcome=no_response
1786461548792,90,A,PRACTICE,,,,,1,NBACK1_PILOT,CPT_ONSET,idx=33;kind=go;shape=diamond
1786461550806,90,A,PRACTICE,,,,,1,NBACK1_PILOT,CPT_RESULT,idx=33;outcome=miss;timeout
1786461550813,90,A,PRACTICE,,,,,1,NBACK1_PILOT,CPT_ONSET,idx=34;kind=go;shape=diamond
1786461552822,90,A,PRACTICE,,,,,1,NBACK1_PILOT,CPT_RESULT,idx=34;outcome=hit;rt_ms=1195
1786461552831,90,A,PRACTICE,,,,,1,NBACK1_PILOT,CPT_ONSET,idx=35;kind=nogo;shape=square;lure=1
1786461554858,90,A,PRACTICE,,,,,1,NBACK1_PILOT,CPT_RESULT,idx=35;outcome=correct_reject;rt_ms=776
1786461554865,90,A,PRACTICE,,,,,1,NBACK1_PILOT,CPT_ONSET,idx=36;kind=nogo;shape=diamond;lure=1
1786461556886,90,A,PRACTICE,,,,,1,NBACK1_PILOT,CPT_RESULT,idx=36;outcome=correct_reject;rt_ms=1121
1786461556893,90,A,PRACTICE,,,,,1,NBACK1_PILOT,CPT_ONSET,idx=37;kind=go;shape=diamond
1786461558904,90,A,PRACTICE,,,,,1,NBACK1_PILOT,CPT_RESULT,idx=37;outcome=hit;rt_ms=784
1786461558910,90,A,PRACTICE,,,,,1,NBACK1_PILOT,CPT_ONSET,idx=38;kind=nogo;shape=square;lure=1
1786461560916,90,A,PRACTICE,,,,,1,NBACK1_PILOT,CPT_RESULT,idx=38;outcome=correct_reject;rt_ms=1347
1786461560922,90,A,PRACTICE,,,,,1,NBACK1_PILOT,CPT_ONSET,idx=39;kind=go;shape=square
1786461562924,90,A,PRACTICE,,,,,1,NBACK1_PILOT,CPT_RESULT,idx=39;outcome=hit;rt_ms=1292
1786461562933,90,A,PRACTICE,,,,,1,NBACK1_PILOT,PRACTICE_END,go_acc=0.524;criterion=0.80
