t_ms,pid,block,condition,yaw_deg,pitch_deg,roll_deg,head_speed_dps,dr_intensity,mode,event,payload
1784827440229,9,A,A3,,,,,1,NBACK1_PILOT,CPT_PANEL_PLACED,dist_m=n/a;tool=block-a-cpt.html;window_stage=done
1784827440230,9,A,A3,,,,,1,NBACK1_PILOT,CPT_RUN_START,trials=140;seed=92;soa_s=1.8;task=nback1;filter=FILTER;distractors=NEW
1784827440230,9,A,A3,,,,,1,NBACK1_PILOT,CPT_ONSET,idx=0;kind=nogo;shape=circle
1784827442040,9,A,A3,,,,,1,NBACK1_PILOT,CPT_RESULT,idx=0;outcome=first_unscored
1784827442042,9,A,A3,,,,,1,NBACK1_PILOT,CPT_ONSET,idx=1;kind=nogo;shape=diamond
1784827443843,9,A,A3,,,,,1,NBACK1_PILOT,CPT_RESULT,idx=1;outcome=correct_reject;rt_ms=541
1784827443845,9,A,A3,,,,,1,NBACK1_PILOT,CPT_ONSET,idx=2;kind=go;shape=diamond
1784827445654,9,A,A3,,,,,1,NBACK1_PILOT,CPT_RESULT,idx=2;outcome=hit;rt_ms=568
1784827445660,9,A,A3,,,,,1,NBACK1_PILOT,CPT_ONSET,idx=3;kind=nogo;shape=circle
1784827447461,9,A,A3,,,,,1,NBACK1_PILOT,CPT_RESULT,idx=3;outcome=correct_reject;rt_ms=579
1784827447466,9,A,A3,,,,,1,NBACK1_PILOT,CPT_ONSET,idx=4;kind=go;shape=circle
1784827449293,9,A,A3,,,,,1,NBACK1_PILOT,CPT_RESULT,idx=4;outcome=hit;rt_ms=430
1784827449297,9,A,A3,,,,,1,NBACK1_PILOT,CPT_ONSET,idx=5;kind=nogo;shape=diamond
1784827451117,9,A,A3,,,,,1,NBACK1_PILOT,CPT_RESULT,idx=5;outcome=correct_reject;rt_ms=793
1784827451122,9,A,A3,,,,,1,NBACK1_PILOT,CPT_ONSET,idx=6;kind=nogo;shape=square
1784827452926,9,A,A3,,,,,1,NBACK1_PILOT,CPT_RESULT,idx=6;outcome=correct_reject;rt_ms=536
1784827452931,9,A,A3,,,,,1,NBACK1_PILOT,CPT_ONSET,idx=7;kind=go;shape=square
1784827454733,9,A,A3,,,,,1,NBACK1_PILOT,CPT_RESULT,idx=7;outcome=hit;rt_ms=436
1784827454739,9,A,A3,,,,,1,NBACK1_PILOT,CPT_ONSET,idx=8;kind=nogo;shape=circle
1784827456562,9,A,A3,,,,,1,NBACK1_PILOT,CPT_RESULT,idx=8;outcome=correct_reject;rt_ms=528
1784827456567,9,A,A3,,,,,1,NBACK1_PILOT,CPT_ONSET,idx=9;kind=go;shape=circle
1784827458373,9,A,A3,,,,,1,NBACK1_PILOT,CPT_RESULT,idx=9;outcome=hit;rt_ms=482
1784827458379,9,A,A3,,,,,1,NBACK1_PILOT,CPT_ONSET,idx=10;kind=nogo;shape=triangle
1784827460179,9,A,A3,,,,,1,NBACK1_PILOT,CPT_RESULT,idx=10;outcome=correct_reject;rt_ms=518
1784827460185,9,A,A3,,,,,1,NBACK1_PILOT,CPT_ONSET,idx=11;kind=go;shape=triangle
1784827461992,9,A,A3,,,,,1,NBACK1_PILOT,CPT_RESULT,idx=11;outcome=hit;rt_ms=403
1784827461998,9,A,A3,,,,,1,NBACK1_PILOT,CPT_ONSET,idx=12;kind=nogo;shape=circle
1784827463829,9,A,A3,,,,,1,NBACK1_PILOT,CPT_RESULT,idx=12;outcome=correct_reject;rt_ms=473
1784827463834,9,A,A3,,,,,1,NBACK1_PILOT,CPT_ONSET,idx=13;kind=nogo;shape=square
1784827465659,9,A,A3,,,,,1,NBACK1_PILOT,CPT_RESULT,idx=13;outcome=correct_reject;rt_ms=478
1784827465665,9,A,A3,,,,,1,NBACK1_PILOT,CPT_ONSET,idx=14;kind=nogo;shape=circle
1784827467482,9,A,A3,,,,,1,NBACK1_PILOT,CPT_RESULT,idx=14;outcome=correct_reject;rt_ms=574
1784827467488,9,A,A3,,,,,1,NBACK1_PILOT,CPT_ONSET,idx=15;kind=nogo;shape=square
1784827469292,9,A,A3,,,,,1,NBACK1_PILOT,CPT_RESULT,idx=15;outcome=correct_reject;rt_ms=572
1784827469298,9,A,A3,,,,,1,NBACK1_PILOT,CPT_ONSET,idx=16;kind=go;shape=square
1784827471107,9,A,A3,,,,,1,NBACK1_PILOT,CPT_RESULT,idx=16;outcome=hit;rt_ms=459
1784827471113,9,A,A3,,,,,1,NBACK1_PILOT,CPT_ONSET,idx=17;kind=nogo;shape=triangle
1784827472921,9,A,A3,,,,,1,NBACK1_PILOT,CPT_RESULT,idx=17;outcome=correct_reject;rt_ms=584
1784827472926,9,A,A3,,,,,1,NBACK1_PILOT,CPT_ONSET,idx=18;kind=nogo;shape=diamond
1784827474727,9,A,A3,,,,,1,NBACK1_PILOT,CPT_RESULT,idx=18;outcome=correct_reject;rt_ms=687
1784827474732,9,A,A3,,,,,1,NBACK1_PILOT,CPT_ONSET,idx=19;kind=go;shape=diamond
