t_ms,pid,block,condition,yaw_deg,pitch_deg,roll_deg,head_speed_dps,dr_intensity,mode,event,payload
1784736250696,2,A,A4,,,,,,NBACK1_PILOT,CPT_PANEL_PLACED,dist_m=n/a;tool=block-a-cpt.html
1784736250696,2,A,A4,,,,,,NBACK1_PILOT,CPT_RUN_START,trials=84;seed=23;soa_s=2.5;task=nback1
1784736250696,2,A,A4,,,,,,NBACK1_PILOT,CPT_ONSET,idx=0;kind=nogo;shape=diamond
1784736253199,2,A,A4,,,,,,NBACK1_PILOT,CPT_RESULT,idx=0;outcome=first_unscored
1784736253199,2,A,A4,,,,,,NBACK1_PILOT,CPT_ONSET,idx=1;kind=go;shape=diamond
1784736255700,2,A,A4,,,,,,NBACK1_PILOT,CPT_RESULT,idx=1;outcome=hit;rt_ms=1052
1784736255702,2,A,A4,,,,,,NBACK1_PILOT,CPT_ONSET,idx=2;kind=nogo;shape=triangle
1784736258225,2,A,A4,,,,,,NBACK1_PILOT,CPT_RESULT,idx=2;outcome=correct_reject;rt_ms=1332
1784736258229,2,A,A4,,,,,,NBACK1_PILOT,CPT_ONSET,idx=3;kind=nogo;shape=diamond
1784736260730,2,A,A4,,,,,,NBACK1_PILOT,CPT_RESULT,idx=3;outcome=correct_reject;rt_ms=1187
1784736260735,2,A,A4,,,,,,NBACK1_PILOT,CPT_ONSET,idx=4;kind=nogo;shape=triangle
1784736263245,2,A,A4,,,,,,NBACK1_PILOT,CPT_RESULT,idx=4;outcome=correct_reject;rt_ms=1567
1784736263250,2,A,A4,,,,,,NBACK1_PILOT,CPT_ONSET,idx=5;kind=go;shape=triangle
1784736265751,2,A,A4,,,,,,NBACK1_PILOT,CPT_RESULT,idx=5;outcome=hit;rt_ms=817
1784736265755,2,A,A4,,,,,,NBACK1_PILOT,CPT_ONSET,idx=6;kind=nogo;shape=circle
1784736268257,2,A,A4,,,,,,NBACK1_PILOT,CPT_RESULT,idx=6;outcome=correct_reject;rt_ms=673
1784736268263,2,A,A4,,,,,,NBACK1_PILOT,CPT_ONSET,idx=7;kind=go;shape=circle
1784736270764,2,A,A4,,,,,,NBACK1_PILOT,CPT_RESULT,idx=7;outcome=hit;rt_ms=660
1784736270768,2,A,A4,,,,,,NBACK1_PILOT,CPT_ONSET,idx=8;kind=nogo;shape=square
1784736273278,2,A,A4,,,,,,NBACK1_PILOT,CPT_RESULT,idx=8;outcome=correct_reject;rt_ms=594
1784736273284,2,A,A4,,,,,,NBACK1_PILOT,CPT_ONSET,idx=9;kind=go;shape=square
1784736275791,2,A,A4,,,,,,NBACK1_PILOT,CPT_RESULT,idx=9;outcome=hit;rt_ms=1296
1784736275796,2,A,A4,,,,,,NBACK1_PILOT,CPT_ONSET,idx=10;kind=nogo;shape=triangle
1784736278299,2,A,A4,,,,,,NBACK1_PILOT,CPT_RESULT,idx=10;outcome=correct_reject;rt_ms=639
1784736278304,2,A,A4,,,,,,NBACK1_PILOT,CPT_ONSET,idx=11;kind=nogo;shape=diamond
1784736280805,2,A,A4,,,,,,NBACK1_PILOT,CPT_RESULT,idx=11;outcome=correct_reject;rt_ms=634
1784736280810,2,A,A4,,,,,,NBACK1_PILOT,CPT_ONSET,idx=12;kind=nogo;shape=triangle
1784736283312,2,A,A4,,,,,,NBACK1_PILOT,CPT_RESULT,idx=12;outcome=correct_reject;rt_ms=1049
1784736283316,2,A,A4,,,,,,NBACK1_PILOT,CPT_ONSET,idx=13;kind=nogo;shape=square
1784736285825,2,A,A4,,,,,,NBACK1_PILOT,CPT_RESULT,idx=13;outcome=correct_reject;rt_ms=812
1784736285829,2,A,A4,,,,,,NBACK1_PILOT,CPT_ONSET,idx=14;kind=go;shape=square
1784736288331,2,A,A4,,,,,,NBACK1_PILOT,CPT_RESULT,idx=14;outcome=hit;rt_ms=930
1784736288336,2,A,A4,,,,,,NBACK1_PILOT,CPT_ONSET,idx=15;kind=nogo;shape=diamond
1784736290857,2,A,A4,,,,,,NBACK1_PILOT,CPT_RESULT,idx=15;outcome=correct_reject;rt_ms=621
1784736290863,2,A,A4,,,,,,NBACK1_PILOT,CPT_ONSET,idx=16;kind=nogo;shape=circle
1784736293363,2,A,A4,,,,,,NBACK1_PILOT,CPT_RESULT,idx=16;outcome=correct_reject;rt_ms=935
1784736293368,2,A,A4,,,,,,NBACK1_PILOT,CPT_ONSET,idx=17;kind=go;shape=circle
1784736295879,2,A,A4,,,,,,NBACK1_PILOT,CPT_RESULT,idx=17;outcome=hit;rt_ms=687
1784736295883,2,A,A4,,,,,,NBACK1_PILOT,CPT_ONSET,idx=18;kind=nogo;shape=square
1784736298392,2,A,A4,,,,,,NBACK1_PILOT,CPT_RESULT,idx=18;outcome=correct_reject;rt_ms=759
1784736298398,2,A,A4,,,,,,NBACK1_PILOT,CPT_ONSET,idx=19;kind=go;shape=square
1784736300898,2,A,A4,,,,,,NBACK1_PILOT,CPT_RESULT,idx=19;outcome=hit;rt_ms=683
1784736300903,2,A,A4,,,,,,NBACK1_PILOT,CPT_ONSET,idx=20;kind=nogo;shape=diamond
1784736303424,2,A,A4,,,,,,NBACK1_PILOT,CPT_RESULT,idx=20;outcome=correct_reject;rt_ms=804
1784736303429,2,A,A4,,,,,,NBACK1_PILOT,CPT_ONSET,idx=21;kind=go;shape=diamond
1784736305930,2,A,A4,,,,,,NBACK1_PILOT,CPT_RESULT,idx=21;outcome=hit;rt_ms=787
1784736305935,2,A,A4,,,,,,NBACK1_PILOT,CPT_ONSET,idx=22;kind=nogo;shape=circle
1784736308441,2,A,A4,,,,,,NBACK1_PILOT,CPT_RESULT,idx=22;outcome=correct_reject;rt_ms=655
1784736308445,2,A,A4,,,,,,NBACK1_PILOT,CPT_ONSET,idx=23;kind=nogo;shape=triangle
1784736310958,2,A,A4,,,,,,NBACK1_PILOT,CPT_RESULT,idx=23;outcome=correct_reject;rt_ms=708
1784736310963,2,A,A4,,,,,,NBACK1_PILOT,CPT_ONSET,idx=24;kind=nogo;shape=diamond
1784736313463,2,A,A4,,,,,,NBACK1_PILOT,CPT_RESULT,idx=24;outcome=correct_reject;rt_ms=826
1784736313468,2,A,A4,,,,,,NBACK1_PILOT,CPT_ONSET,idx=25;kind=nogo;shape=circle
1784736315972,2,A,A4,,,,,,NBACK1_PILOT,CPT_RESULT,idx=25;outcome=correct_reject;rt_ms=700
1784736315978,2,A,A4,,,,,,NBACK1_PILOT,CPT_ONSET,idx=26;kind=nogo;shape=triangle
1784736318491,2,A,A4,,,,,,NBACK1_PILOT,CPT_RESULT,idx=26;outcome=correct_reject;rt_ms=601
1784736318497,2,A,A4,,,,,,NBACK1_PILOT,CPT_ONSET,idx=27;kind=go;shape=triangle
1784736321000,2,A,A4,,,,,,NBACK1_PILOT,CPT_RESULT,idx=27;outcome=hit;rt_ms=602
1784736321004,2,A,A4,,,,,,NBACK1_PILOT,CPT_ONSET,idx=28;kind=nogo;shape=diamond
1784736323526,2,A,A4,,,,,,NBACK1_PILOT,CPT_RESULT,idx=28;outcome=correct_reject;rt_ms=554
1784736323531,2,A,A4,,,,,,NBACK1_PILOT,CPT_ONSET,idx=29;kind=go;shape=diamond
1784736326031,2,A,A4,,,,,,NBACK1_PILOT,CPT_RESULT,idx=29;outcome=hit;rt_ms=668
1784736326035,2,A,A4,,,,,,NBACK1_PILOT,CPT_ONSET,idx=30;kind=nogo;shape=square
1784736328546,2,A,A4,,,,,,NBACK1_PILOT,CPT_RESULT,idx=30;outcome=correct_reject;rt_ms=583
1784736328552,2,A,A4,,,,,,NBACK1_PILOT,CPT_ONSET,idx=31;kind=nogo;shape=circle
1784736331057,2,A,A4,,,,,,NBACK1_PILOT,CPT_RESULT,idx=31;outcome=correct_reject;rt_ms=630
1784736331063,2,A,A4,,,,,,NBACK1_PILOT,CPT_ONSET,idx=32;kind=go;shape=circle
1784736333564,2,A,A4,,,,,,NBACK1_PILOT,CPT_RESULT,idx=32;outcome=hit;rt_ms=765
1784736333568,2,A,A4,,,,,,NBACK1_PILOT,CPT_ONSET,idx=33;kind=nogo;shape=triangle
1784736336091,2,A,A4,,,,,,NBACK1_PILOT,CPT_RESULT,idx=33;outcome=correct_reject;rt_ms=558
1784736336096,2,A,A4,,,,,,NBACK1_PILOT,CPT_ONSET,idx=34;kind=nogo;shape=circle
1784736338597,2,A,A4,,,,,,NBACK1_PILOT,CPT_RESULT,idx=34;outcome=correct_reject;rt_ms=746
1784736338601,2,A,A4,,,,,,NBACK1_PILOT,CPT_ONSET,idx=35;kind=nogo;shape=triangle
1784736341105,2,A,A4,,,,,,NBACK1_PILOT,CPT_RESULT,idx=35;outcome=correct_reject;rt_ms=552
1784736341110,2,A,A4,,,,,,NBACK1_PILOT,CPT_ONSET,idx=36;kind=nogo;shape=diamond
1784736343625,2,A,A4,,,,,,NBACK1_PILOT,CPT_RESULT,idx=36;outcome=correct_reject;rt_ms=1721
1784736343630,2,A,A4,,,,,,NBACK1_PILOT,CPT_ONSET,idx=37;kind=nogo;shape=triangle
1784736346131,2,A,A4,,,,,,NBACK1_PILOT,CPT_RESULT,idx=37;outcome=correct_reject;rt_ms=943
1784736346135,2,A,A4,,,,,,NBACK1_PILOT,CPT_ONSET,idx=38;kind=go;shape=triangle
1784736348658,2,A,A4,,,,,,NBACK1_PILOT,CPT_RESULT,idx=38;outcome=hit;rt_ms=590
1784736348662,2,A,A4,,,,,,NBACK1_PILOT,CPT_ONSET,idx=39;kind=nogo;shape=circle
1784736351164,2,A,A4,,,,,,NBACK1_PILOT,CPT_RESULT,idx=39;outcome=correct_reject;rt_ms=569
1784736351168,2,A,A4,,,,,,NBACK1_PILOT,CPT_ONSET,idx=40;kind=go;shape=circle
1784736353690,2,A,A4,,,,,,NBACK1_PILOT,CPT_RESULT,idx=40;outcome=hit;rt_ms=670
1784736353696,2,A,A4,,,,,,NBACK1_PILOT,CPT_ONSET,idx=41;kind=nogo;shape=triangle
1784736356196,2,A,A4,,,,,,NBACK1_PILOT,CPT_RESULT,idx=41;outcome=correct_reject;rt_ms=644
1784736356201,2,A,A4,,,,,,NBACK1_PILOT,CPT_ONSET,idx=42;kind=nogo;shape=square
1784736358724,2,A,A4,,,,,,NBACK1_PILOT,CPT_RESULT,idx=42;outcome=correct_reject;rt_ms=788
1784736358729,2,A,A4,,,,,,NBACK1_PILOT,CPT_ONSET,idx=43;kind=nogo;shape=circle
1784736361230,2,A,A4,,,,,,NBACK1_PILOT,CPT_RESULT,idx=43;outcome=correct_reject;rt_ms=863
1784736361236,2,A,A4,,,,,,NBACK1_PILOT,CPT_ONSET,idx=44;kind=go;shape=circle
1784736363745,2,A,A4,,,,,,NBACK1_PILOT,CPT_RESULT,idx=44;outcome=hit;rt_ms=629
1784736363750,2,A,A4,,,,,,NBACK1_PILOT,CPT_ONSET,idx=45;kind=nogo;shape=diamond
1784736366259,2,A,A4,,,,,,NBACK1_PILOT,CPT_RESULT,idx=45;outcome=correct_reject;rt_ms=667
1784736366263,2,A,A4,,,,,,NBACK1_PILOT,CPT_ONSET,idx=46;kind=nogo;shape=triangle
1784736368764,2,A,A4,,,,,,NBACK1_PILOT,CPT_RESULT,idx=46;outcome=correct_reject;rt_ms=565
1784736368768,2,A,A4,,,,,,NBACK1_PILOT,CPT_ONSET,idx=47;kind=nogo;shape=diamond
1784736371292,2,A,A4,,,,,,NBACK1_PILOT,CPT_RESULT,idx=47;outcome=correct_reject;rt_ms=644
1784736371296,2,A,A4,,,,,,NBACK1_PILOT,CPT_ONSET,idx=48;kind=nogo;shape=triangle
1784736373798,2,A,A4,,,,,,NBACK1_PILOT,CPT_RESULT,idx=48;outcome=correct_reject;rt_ms=691
1784736373803,2,A,A4,,,,,,NBACK1_PILOT,CPT_ONSET,idx=49;kind=nogo;shape=circle
1784736376325,2,A,A4,,,,,,NBACK1_PILOT,CPT_RESULT,idx=49;outcome=correct_reject;rt_ms=551
1784736376329,2,A,A4,,,,,,NBACK1_PILOT,CPT_ONSET,idx=50;kind=nogo;shape=triangle
1784736378830,2,A,A4,,,,,,NBACK1_PILOT,CPT_RESULT,idx=50;outcome=correct_reject;rt_ms=586
1784736378835,2,A,A4,,,,,,NBACK1_PILOT,CPT_ONSET,idx=51;kind=nogo;shape=circle
1784736381358,2,A,A4,,,,,,NBACK1_PILOT,CPT_RESULT,idx=51;outcome=correct_reject;rt_ms=555
1784736381362,2,A,A4,,,,,,NBACK1_PILOT,CPT_ONSET,idx=52;kind=go;shape=circle
1784736383863,2,A,A4,,,,,,NBACK1_PILOT,CPT_RESULT,idx=52;outcome=hit;rt_ms=568
1784736383869,2,A,A4,,,,,,NBACK1_PILOT,CPT_ONSET,idx=53;kind=nogo;shape=square
1784736386386,2,A,A4,,,,,,NBACK1_PILOT,CPT_RESULT,idx=53;outcome=correct_reject;rt_ms=955
1784736386390,2,A,A4,,,,,,NBACK1_PILOT,CPT_ONSET,idx=54;kind=go;shape=square
1784736388891,2,A,A4,,,,,,NBACK1_PILOT,CPT_RESULT,idx=54;outcome=miss;answered_no;rt_ms=812
1784736388895,2,A,A4,,,,,,NBACK1_PILOT,CPT_ONSET,idx=55;kind=nogo;shape=circle
1784736391398,2,A,A4,,,,,,NBACK1_PILOT,CPT_RESULT,idx=55;outcome=correct_reject;rt_ms=788
1784736391403,2,A,A4,,,,,,NBACK1_PILOT,CPT_ONSET,idx=56;kind=nogo;shape=triangle
1784736393925,2,A,A4,,,,,,NBACK1_PILOT,CPT_RESULT,idx=56;outcome=correct_reject;rt_ms=634
1784736393930,2,A,A4,,,,,,NBACK1_PILOT,CPT_ONSET,idx=57;kind=nogo;shape=diamond
1784736396430,2,A,A4,,,,,,NBACK1_PILOT,CPT_RESULT,idx=57;outcome=correct_reject;rt_ms=629
1784736396435,2,A,A4,,,,,,NBACK1_PILOT,CPT_ONSET,idx=58;kind=go;shape=diamond
1784736398938,2,A,A4,,,,,,NBACK1_PILOT,CPT_RESULT,idx=58;outcome=hit;rt_ms=538
1784736398943,2,A,A4,,,,,,NBACK1_PILOT,CPT_ONSET,idx=59;kind=nogo;shape=circle
