t_ms,pid,block,condition,yaw_deg,pitch_deg,roll_deg,head_speed_dps,dr_intensity,mode,event,payload
1786028126258,25,A,A2,,,,,0,NBACK1_PILOT,CPT_PANEL_PLACED,dist_m=n/a;tool=block-a-cpt.html;window_stage=done
1786028126259,25,A,A2,,,,,0,NBACK1_PILOT,CPT_RUN_START,trials=140;seed=251;soa_s=2;task=nback1_lures;gen=v4;target_p=0.5;lure_p=0.6;filter=NOFILTER;distractors=PROTEST
1786028126261,25,A,A2,,,,,0,NBACK1_PILOT,CPT_ONSET,idx=0;kind=nogo;shape=pentagon
1786028128269,25,A,A2,,,,,0,NBACK1_PILOT,CPT_RESULT,idx=0;outcome=first_unscored
1786028128272,25,A,A2,,,,,0,NBACK1_PILOT,CPT_ONSET,idx=1;kind=go;shape=pentagon
1786028130300,25,A,A2,,,,,0,NBACK1_PILOT,CPT_RESULT,idx=1;outcome=hit;rt_ms=808
1786028130304,25,A,A2,,,,,0,NBACK1_PILOT,CPT_ONSET,idx=2;kind=nogo;shape=ellipse;lure=0
1786028132320,25,A,A2,,,,,0,NBACK1_PILOT,CPT_RESULT,idx=2;outcome=correct_reject;rt_ms=997
1786028132327,25,A,A2,,,,,0,NBACK1_PILOT,CPT_ONSET,idx=3;kind=nogo;shape=hexagon;lure=0
1786028134334,25,A,A2,,,,,0,NBACK1_PILOT,CPT_RESULT,idx=3;outcome=correct_reject;rt_ms=863
1786028134341,25,A,A2,,,,,0,NBACK1_PILOT,CPT_ONSET,idx=4;kind=nogo;shape=square;lure=0
1786028136368,25,A,A2,,,,,0,NBACK1_PILOT,CPT_RESULT,idx=4;outcome=correct_reject;rt_ms=676
1786028136375,25,A,A2,,,,,0,NBACK1_PILOT,CPT_ONSET,idx=5;kind=go;shape=square
1786028138381,25,A,A2,,,,,0,NBACK1_PILOT,CPT_RESULT,idx=5;outcome=hit;rt_ms=601
1786028138387,25,A,A2,,,,,0,NBACK1_PILOT,CPT_ONSET,idx=6;kind=go;shape=square
1786028140400,25,A,A2,,,,,0,NBACK1_PILOT,CPT_RESULT,idx=6;outcome=hit;rt_ms=454
1786028140406,25,A,A2,,,,,0,NBACK1_PILOT,CPT_ONSET,idx=7;kind=go;shape=square
1786028142436,25,A,A2,,,,,0,NBACK1_PILOT,CPT_RESULT,idx=7;outcome=hit;rt_ms=479
1786028142443,25,A,A2,,,,,0,NBACK1_PILOT,CPT_ONSET,idx=8;kind=nogo;shape=diamond;lure=1
1786028144448,25,A,A2,,,,,0,NBACK1_PILOT,CPT_RESULT,idx=8;outcome=correct_reject;rt_ms=559
1786028144455,25,A,A2,,,,,0,NBACK1_PILOT,CPT_ONSET,idx=9;kind=go;shape=diamond
1786028146456,25,A,A2,,,,,0,NBACK1_PILOT,CPT_RESULT,idx=9;outcome=hit;rt_ms=1000
