t_ms,pid,block,condition,yaw_deg,pitch_deg,roll_deg,head_speed_dps,dr_intensity,mode,event,payload
1786027926087,25,A,PRACTICE,,,,,1,NBACK1_PILOT,CPT_PANEL_PLACED,dist_m=n/a;tool=block-a-cpt.html;window_stage=done
1786027926089,25,A,PRACTICE,,,,,1,NBACK1_PILOT,PRACTICE_START,trials=40;seed=999;soa_s=2;task=nback1_lures;gen=v4;target_p=0.5;lure_p=0.6;filter=FILTER;distractors=PROTEST
1786027926090,25,A,PRACTICE,,,,,1,NBACK1_PILOT,CPT_ONSET,idx=0;kind=nogo;shape=diamond
1786027928104,25,A,PRACTICE,,,,,1,NBACK1_PILOT,CPT_RESULT,idx=0;outcome=first_unscored
1786027928105,25,A,PRACTICE,,,,,1,NBACK1_PILOT,CPT_ONSET,idx=1;kind=nogo;shape=circle;lure=0
1786027930118,25,A,PRACTICE,,,,,1,NBACK1_PILOT,CPT_RESULT,idx=1;outcome=correct_reject;rt_ms=646
1786027930121,25,A,PRACTICE,,,,,1,NBACK1_PILOT,CPT_ONSET,idx=2;kind=nogo;shape=ellipse;lure=1
1786027932125,25,A,PRACTICE,,,,,1,NBACK1_PILOT,CPT_RESULT,idx=2;outcome=correct_reject;rt_ms=661
1786027932131,25,A,PRACTICE,,,,,1,NBACK1_PILOT,CPT_ONSET,idx=3;kind=go;shape=ellipse
1786027934137,25,A,PRACTICE,,,,,1,NBACK1_PILOT,CPT_RESULT,idx=3;outcome=hit;rt_ms=616
1786027934143,25,A,PRACTICE,,,,,1,NBACK1_PILOT,CPT_ONSET,idx=4;kind=nogo;shape=circle;lure=1
1786027936145,25,A,PRACTICE,,,,,1,NBACK1_PILOT,CPT_RESULT,idx=4;outcome=correct_reject;rt_ms=648
1786027936152,25,A,PRACTICE,,,,,1,NBACK1_PILOT,CPT_ONSET,idx=5;kind=go;shape=circle
1786027938169,25,A,PRACTICE,,,,,1,NBACK1_PILOT,CPT_RESULT,idx=5;outcome=hit;rt_ms=520
1786027938175,25,A,PRACTICE,,,,,1,NBACK1_PILOT,CPT_ONSET,idx=6;kind=nogo;shape=diamond;lure=0
1786027940184,25,A,PRACTICE,,,,,1,NBACK1_PILOT,CPT_RESULT,idx=6;outcome=correct_reject;rt_ms=529
1786027940192,25,A,PRACTICE,,,,,1,NBACK1_PILOT,CPT_ONSET,idx=7;kind=go;shape=diamond
1786027942193,25,A,PRACTICE,,,,,1,NBACK1_PILOT,CPT_RESULT,idx=7;outcome=hit;rt_ms=609
1786027942200,25,A,PRACTICE,,,,,1,NBACK1_PILOT,CPT_ONSET,idx=8;kind=nogo;shape=square;lure=1
1786027944201,25,A,PRACTICE,,,,,1,NBACK1_PILOT,CPT_RESULT,idx=8;outcome=correct_reject;rt_ms=564
1786027944208,25,A,PRACTICE,,,,,1,NBACK1_PILOT,CPT_ONSET,idx=9;kind=nogo;shape=hexagon;lure=0
