t_ms,pid,condition,set,target_id,kind,t_start,t_end,duration_s,outcome,rt_s,angle_deg
1784815446352,66,NoFilter,P,0,traffic_light,0.000,2.500,2.500,hit,1.001,0.458
1784815452234,66,NoFilter,P,58,traffic_light,0.500,2.500,2.000,hit,0.501,3.023
1784815457429,66,NoFilter,A,-1,,,,,false_alarm,,
1784815457722,66,NoFilter,A,-1,,,,,false_alarm,,
1784815461483,66,NoFilter,A,1,traffic_light,6.500,23.000,16.500,hit,3.710,0.422
1784815484012,66,NoFilter,A,60,person,21.500,32.000,10.500,miss,,
1784815509513,66,NoFilter,A,61,person,56.500,57.500,1.000,miss,,
1784815518012,66,NoFilter,A,7,person,62.000,66.000,4.000,miss,,
1784815520014,66,NoFilter,A,6,person,61.000,68.000,7.000,miss,,
1784815525541,66,NoFilter,A,8,traffic_light,67.000,77.500,10.500,hit,7.274,0.478
1784815534030,66,NoFilter,A,9,traffic_light,81.000,82.000,1.000,miss,,
1784815565025,66,NoFilter,A,12,person,85.000,113.000,28.000,miss,,
1784815566131,66,NoFilter,A,11,person,82.500,115.000,32.500,hit,32.381,1.617
1784815567136,66,NoFilter,A,65,person,113.000,116.000,3.000,hit,2.882,3.804
1784815583512,66,NoFilter,A,15,person,130.500,131.500,1.000,miss,,
1784815590514,66,NoFilter,A,16,traffic_light,137.000,138.500,1.500,miss,,
1784815592528,66,NoFilter,A,17,traffic_light,137.500,140.500,3.000,miss,,
1784815592610,66,NoFilter,A,-1,,,,,false_alarm,,
1784815592679,66,NoFilter,A,-1,,,,,false_alarm,,
1784815597527,66,NoFilter,A,18,person,143.500,154.500,11.000,hit,2.779,1.195
1784815601818,66,NoFilter,A,19,person,145.500,154.000,8.500,hit,5.050,2.235
1784815620331,66,NoFilter,A,21,person,166.500,174.000,7.500,hit,2.569,3.249
1784815630528,66,NoFilter,A,69,person,177.000,178.500,1.500,miss,,
1784815636501,66,NoFilter,A,24,person,182.500,184.500,2.000,miss,,
1784815638001,66,NoFilter,A,70,person,180.000,186.000,6.000,miss,,
1784815648043,66,NoFilter,A,-1,,,,,false_alarm,,
1784815648055,66,NoFilter,A,-1,,,,,false_alarm,,
1784815661762,66,NoFilter,A,-1,,,,,false_alarm,,
1784815666611,66,NoFilter,A,71,person,203.500,264.500,61.000,hit,11.848,1.751
1784815672000,66,NoFilter,A,29,person,217.000,220.000,3.000,miss,,
