Time Stamp,available_memory_MB,app_pss_MB,battery_level_percentage,battery_temperature_celcius,battery_current_now_milliamps,power_count_neg,power_count_pos,power_current,power_current_neg,power_current_pos,power_level_state,power_voltage,power_wattage,power_wattage_neg,power_wattage_pos,iad_millimeter,shader_hitches,cpu_level,gpu_level,cpu_frequency_MHz,gpu_frequency_MHz,mem_frequency_MHz,minimum_vsyncs,extra_latency_mode,phase_sync_mode,average_frame_rate,display_refresh_rate,average_prediction_microseconds,icfl_mean_microseconds,icfl_stdev_microseconds,slice_headroom_mean_microseconds,slice_headroom_stdev_microseconds,slice_gpu_start_delay_min_microseconds,slice_gpu_start_delay_max_microseconds,screen_tear_count,early_frame_count,stale_frame_count,direct_render_frame_count,total_layer_count,merged_layer_count,maximum_rotational_speed_degrees_per_second,eye_texture_scale_factor,foveation_mode,foveation_level,dynamic_foveation_enabled,eye_tracked_foveation_latency_milliseconds,symmetric_fov,eye_buffer_width,eye_buffer_height,swap_chain_width,swap_chain_height,front_buffer_width,front_buffer_height,app_gpu_time_microseconds,timewarp_gpu_time_microseconds,guardian_gpu_time_microseconds,local_dimming_enabled,cabc_enabled,temporal_dimming_enabled,temporal_dimming_gain,cpu_utilization_percentage,cpu_utilization_percentage_core0,cpu_utilization_percentage_core1,cpu_utilization_percentage_core2,cpu_utilization_percentage_core3,cpu_utilization_percentage_core4,cpu_utilization_percentage_core5,cpu_utilization_percentage_core6,cpu_utilization_percentage_core7,gpu_utilization_percentage,spacewarp_motion_vector_type,spacewarped_frames_per_second,extrapolation_factor_mean,extrapolation_factor_rms,data_extrapolation_factor_mean,data_extrapolation_factor_rms,app_vss_MB,app_rss_MB,app_uss_MB,app_dalvik_pss_MB,app_private_dirty_MB,app_private_clean_MB,app_gpu_physical_MB,app_gpu_virtual_MB,app_gpu_allocated_percentage,stale_frames_consecutive,max_repeated_frames,skipped_frames,face_tracking_overall_latency_milliseconds,face_tracking_processing_latency_milliseconds,face_tracking_frame_to_frame_latency_milliseconds,face_tracking_frames_dropped,face_tracking_frames_per_second,eye_tracking_overall_latency_milliseconds,eye_tracking_processing_latency_milliseconds,eye_tracking_frame_to_frame_latency_milliseconds,eye_tracking_frames_dropped,eye_tracking_frames_per_second,hand_tracking_overall_latency_milliseconds,hand_tracking_processing_latency_milliseconds,hand_tracking_frame_to_frame_latency_milliseconds,hand_tracking_frames_dropped,hand_tracking_frames_per_second,dynres_recommendation_percentage,dynres_recommendation_width,dynres_recommendation_height,app_frame_throttle,avg_vertices_per_frame,avg_fill_percentage,avg_inst_per_frag,avg_inst_per_vert,avg_frag_inst_per_pixel,avg_vert_inst_per_pixel,avg_textures_per_frag,percent_time_shading_frags,percent_time_shading_verts,percent_time_compute,percent_vertex_fetch_stall,percent_texture_fetch_stall,percent_texture_l1_miss,percent_texture_l2_miss,percent_texture_nearest_filtered,percent_texture_linear_filtered,percent_texture_anisotropic_filtered,vrshell_average_frame_rate,vrshell_gpu_time_microseconds,vrshell_and_guardian_gpu_time_microseconds,render_scale
1000,3460,449,97,38,9999,0,0,733,0,0,0,4237,3105,0,0,63,0,2,2,1382,456,2000,1,0,4,72,72,41039,16707,503,2059,345,66,603,0,0,0,0,4,3,0,10,0,0,0,0,0,1680,1760,1680,1760,4128,2208,4680,2552,349,0,0,0,100,38,64,63,68,38,35,32,0,0,61,0,0,0,0,0,0,12596,629,432,0,354,78,117,117,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,349,100
2000,3460,449,97,38,9999,0,0,849,0,0,0,4237,3597,0,0,63,0,2,2,1382,456,2000,1,0,4,72,72,39674,16692,973,2061,943,66,213,0,0,0,0,3,2,0,10,0,0,0,0,0,1680,1760,1680,1760,4128,2208,4694,2070,0,0,0,0,100,34,63,64,64,34,31,31,0,0,55,0,0,0,0,0,0,12596,629,432,0,354,78,117,117,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100
3000,3460,449,97,38,9999,0,0,763,0,0,0,4237,3232,0,0,63,0,2,2,1382,456,2000,1,0,4,73,72,40319,17079,492,2458,510,66,223,0,0,0,0,3,2,0,10,0,0,0,0,0,1680,1760,1680,1760,4128,2208,4783,2073,0,0,0,0,100,49,56,55,58,49,38,40,0,0,52,0,0,0,0,0,0,12596,629,432,0,354,78,117,117,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100
4000,3460,449,97,38,9999,0,0,532,0,0,0,4237,2254,0,0,63,0,2,2,1382,456,2000,1,0,4,72,72,39632,16188,371,1623,318,66,538,0,0,0,0,3,2,0,10,0,0,0,0,0,1680,1760,1680,1760,4128,2208,4554,2061,0,0,0,0,100,36,57,62,66,36,36,34,0,0,50,0,0,0,0,0,0,12596,629,432,0,354,78,117,117,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100
5000,3460,449,97,38,9999,0,0,949,0,0,0,4237,4020,0,0,63,0,2,2,1382,456,2000,1,0,4,72,72,38805,15591,284,1129,200,66,502,0,0,0,0,3,2,0,10,0,0,0,0,0,1680,1760,1680,1760,4128,2208,4565,2093,0,0,0,0,100,39,51,47,53,39,35,36,0,0,50,0,0,0,0,0,0,12596,629,432,0,354,78,117,117,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100
6000,3460,449,97,38,9999,0,0,1027,0,0,0,4237,4351,0,0,63,0,2,2,1382,456,2000,1,0,4,72,72,38376,15321,308,863,170,66,421,0,0,0,0,3,2,0,10,0,0,0,0,0,1680,1760,1680,1760,4128,2208,4645,2088,0,0,0,0,100,48,51,56,59,48,39,34,0,0,49,0,0,0,0,0,0,12596,629,432,0,354,78,117,117,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100
7000,3460,449,97,38,9999,0,0,551,0,0,0,4237,2334,0,0,63,0,2,2,1382,456,2000,1,0,4,72,72,38170,15172,293,743,171,67,288,0,0,0,0,3,2,0,10,0,0,0,0,0,1680,1760,1680,1760,4128,2208,4558,2082,0,0,0,0,100,54,62,60,65,54,47,49,0,0,49,0,0,0,0,0,0,12596,629,432,0,354,78,117,117,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100
8000,3460,449,97,38,9999,0,0,851,0,0,0,4290,3650,0,0,63,0,2,2,1382,456,2000,1,0,4,72,72,38086,15156,331,768,116,66,271,0,0,0,0,3,2,0,10,0,0,0,0,0,1680,1760,1680,1760,4128,2208,4539,2087,0,0,0,0,100,41,53,55,57,41,37,35,0,0,49,0,0,0,0,0,0,12596,629,432,0,354,78,117,117,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100
9000,3460,449,97,38,9999,0,0,1096,0,0,0,4290,4701,0,0,63,0,2,2,1382,456,2000,1,0,4,72,72,37947,15073,358,686,117,65,386,0,0,0,0,3,2,0,10,0,0,0,0,0,1680,1760,1680,1760,4128,2208,4636,2081,0,0,0,0,100,44,52,54,54,44,35,32,0,0,49,0,0,0,0,0,0,12596,629,432,0,354,78,117,117,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100
10001,3460,449,97,38,9999,0,0,619,0,0,0,4290,2655,0,0,63,0,2,2,1382,456,2000,1,0,4,73,72,37921,14986,332,664,128,67,207,0,0,0,0,3,2,0,10,0,0,0,0,0,1680,1760,1680,1760,4128,2208,4619,2088,0,0,0,0,100,39,52,55,56,39,37,34,0,0,49,0,0,0,0,0,0,12596,629,432,0,354,78,117,117,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100
