Time Stamp,available_memory_MB,app_pss_MB,battery_level_percentage,battery_temperature_celcius,battery_current_now_milliamps,power_count_neg,power_count_pos,power_current,power_current_neg,power_current_pos,power_level_state,power_voltage,power_wattage,power_wattage_neg,power_wattage_pos,iad_millimeter,shader_hitches,cpu_level,gpu_level,cpu_frequency_MHz,gpu_frequency_MHz,mem_frequency_MHz,minimum_vsyncs,extra_latency_mode,phase_sync_mode,average_frame_rate,display_refresh_rate,average_prediction_microseconds,icfl_mean_microseconds,icfl_stdev_microseconds,slice_headroom_mean_microseconds,slice_headroom_stdev_microseconds,slice_gpu_start_delay_min_microseconds,slice_gpu_start_delay_max_microseconds,screen_tear_count,early_frame_count,stale_frame_count,direct_render_frame_count,total_layer_count,merged_layer_count,maximum_rotational_speed_degrees_per_second,eye_texture_scale_factor,foveation_mode,foveation_level,dynamic_foveation_enabled,eye_tracked_foveation_latency_milliseconds,symmetric_fov,eye_buffer_width,eye_buffer_height,swap_chain_width,swap_chain_height,front_buffer_width,front_buffer_height,app_gpu_time_microseconds,timewarp_gpu_time_microseconds,guardian_gpu_time_microseconds,local_dimming_enabled,cabc_enabled,temporal_dimming_enabled,temporal_dimming_gain,cpu_utilization_percentage,cpu_utilization_percentage_core0,cpu_utilization_percentage_core1,cpu_utilization_percentage_core2,cpu_utilization_percentage_core3,cpu_utilization_percentage_core4,cpu_utilization_percentage_core5,cpu_utilization_percentage_core6,cpu_utilization_percentage_core7,gpu_utilization_percentage,spacewarp_motion_vector_type,spacewarped_frames_per_second,extrapolation_factor_mean,extrapolation_factor_rms,data_extrapolation_factor_mean,data_extrapolation_factor_rms,app_vss_MB,app_rss_MB,app_uss_MB,app_dalvik_pss_MB,app_private_dirty_MB,app_private_clean_MB,app_gpu_physical_MB,app_gpu_virtual_MB,app_gpu_allocated_percentage,stale_frames_consecutive,max_repeated_frames,skipped_frames,face_tracking_overall_latency_milliseconds,face_tracking_processing_latency_milliseconds,face_tracking_frame_to_frame_latency_milliseconds,face_tracking_frames_dropped,face_tracking_frames_per_second,eye_tracking_overall_latency_milliseconds,eye_tracking_processing_latency_milliseconds,eye_tracking_frame_to_frame_latency_milliseconds,eye_tracking_frames_dropped,eye_tracking_frames_per_second,hand_tracking_overall_latency_milliseconds,hand_tracking_processing_latency_milliseconds,hand_tracking_frame_to_frame_latency_milliseconds,hand_tracking_frames_dropped,hand_tracking_frames_per_second,dynres_recommendation_percentage,dynres_recommendation_width,dynres_recommendation_height,app_frame_throttle,avg_vertices_per_frame,avg_fill_percentage,avg_inst_per_frag,avg_inst_per_vert,avg_frag_inst_per_pixel,avg_vert_inst_per_pixel,avg_textures_per_frag,percent_time_shading_frags,percent_time_shading_verts,percent_time_compute,percent_vertex_fetch_stall,percent_texture_fetch_stall,percent_texture_l1_miss,percent_texture_l2_miss,percent_texture_nearest_filtered,percent_texture_linear_filtered,percent_texture_anisotropic_filtered,vrshell_average_frame_rate,vrshell_gpu_time_microseconds,vrshell_and_guardian_gpu_time_microseconds,render_scale
1000,2445,893,89,45,9999,0,0,945,0,0,0,4144,3916,0,0,63,2,3,3,2361,545,2000,1,0,4,69,72,53126,15539,337,2124,438,65,1794,0,47,7,0,2,0,0,10,0,0,0,0,0,1680,1760,1680,1760,4128,2208,8477,990,0,0,0,0,100,36,63,62,61,35,36,33,0,0,66,0,0,0,0,0,0,13384,1053,877,0,816,61,227,227,100,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100
1999,2445,893,89,45,9999,0,0,801,0,0,0,4144,3319,0,0,63,2,2,4,2361,545,2000,1,0,4,71,72,42535,15029,310,1648,460,66,1389,0,2,6,0,2,0,0,10,0,0,0,0,0,1680,1760,1680,1760,4128,2208,7751,909,0,0,0,0,100,33,61,58,56,33,24,26,0,0,66,0,0,0,0,0,0,13384,1053,877,0,816,61,227,227,100,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100
3000,2445,893,89,45,9999,0,0,565,0,0,0,4144,2341,0,0,63,2,2,3,2361,545,2000,1,0,4,72,72,45230,14929,331,1475,265,69,791,0,17,3,0,2,0,0,10,0,0,0,0,0,1680,1760,1680,1760,4128,2208,7403,986,0,0,0,0,100,35,64,64,66,35,32,31,0,0,66,0,0,0,0,0,0,13384,1053,877,0,816,61,227,227,100,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100
4000,2445,893,89,45,9999,0,0,485,0,0,0,4144,2009,0,0,63,2,2,2,2361,545,2000,1,0,4,72,72,43717,14828,339,1145,287,69,1296,0,1,5,0,2,0,0,10,0,0,0,0,0,1680,1760,1680,1760,4128,2208,7985,1037,0,0,0,0,100,30,47,49,48,30,30,28,0,0,66,0,0,0,0,0,0,13384,1053,877,0,816,61,227,227,100,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100
5000,2445,893,89,45,9999,0,0,675,0,0,0,4189,2827,0,0,63,2,2,2,2361,545,2000,1,0,4,73,72,42101,14954,464,1261,298,71,1022,0,0,3,0,2,0,0,10,0,0,0,0,0,1680,1760,1680,1760,4128,2208,8552,1007,0,0,0,0,100,30,48,46,46,30,30,27,0,0,69,0,0,0,0,0,0,13384,1053,877,0,816,61,227,227,100,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100
6000,2445,893,89,45,9999,0,0,543,0,0,0,4189,2274,0,0,63,2,2,2,2361,545,2000,1,0,4,70,72,51659,15109,342,1413,411,66,1450,0,35,10,0,2,0,0,10,0,0,0,0,0,1680,1760,1680,1760,4128,2208,8783,1016,0,0,0,0,100,31,50,49,48,29,31,28,0,0,72,0,0,0,0,0,0,13384,1053,877,0,816,61,227,227,100,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100
7000,2445,893,89,45,9999,0,0,765,0,0,0,4189,3204,0,0,63,2,2,4,2361,545,2000,1,0,4,72,72,46415,15139,429,1457,556,68,2135,1,17,6,0,2,0,0,10,0,0,0,0,0,1680,1760,1680,1760,4128,2208,7910,902,0,0,0,0,100,31,45,45,42,31,31,28,0,0,66,0,0,0,0,0,0,13384,1053,877,0,816,61,227,227,100,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100
8001,2445,893,89,45,9999,0,0,451,0,0,0,4189,1889,0,0,63,2,2,3,2361,545,2000,1,0,4,71,72,46106,15357,333,2084,304,66,1246,0,23,2,0,2,0,0,10,0,0,0,0,0,1680,1760,1680,1760,4128,2208,7213,960,0,0,0,0,100,30,47,47,50,30,27,26,0,0,65,0,0,0,0,0,0,13384,1053,877,0,816,61,227,227,100,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100
9000,2445,893,89,45,9999,0,0,364,0,0,0,4205,1530,0,0,63,2,2,2,2361,545,2000,1,0,4,71,72,43256,14914,313,1427,340,68,1534,0,1,5,0,2,0,0,10,0,0,0,0,0,1680,1760,1680,1760,4128,2208,5684,1012,0,0,0,0,100,33,51,47,46,30,31,33,0,0,55,0,0,0,0,0,0,13384,1053,877,0,816,61,227,227,100,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100
10000,2445,893,89,45,9999,0,0,758,0,0,0,4205,3187,0,0,63,2,2,2,2361,545,2000,1,0,4,72,72,39181,14938,346,1534,209,67,999,0,0,3,0,2,0,0,10,0,0,0,0,0,1680,1760,1680,1760,4128,2208,9579,974,0,0,0,0,100,30,48,45,47,30,28,26,0,0,65,0,0,0,0,0,0,13384,1053,877,0,816,61,227,227,100,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100
11000,2445,893,89,45,9999,0,0,587,0,0,0,4205,2468,0,0,63,2,2,3,1382,492,2000,1,0,4,70,72,53355,15107,574,1455,534,67,1962,1,45,12,0,2,0,0,10,0,0,0,0,0,1680,1760,1680,1760,4128,2208,8569,987,0,0,0,0,100,30,47,43,43,30,29,27,0,0,71,0,0,0,0,0,0,13384,1053,877,0,816,61,227,227,100,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100
12000,2445,893,89,45,9999,0,0,869,0,0,0,4205,3654,0,0,63,2,2,2,1382,492,2000,1,0,4,71,72,45511,15009,306,1297,262,69,1319,0,1,5,0,2,0,0,10,0,0,0,0,0,1680,1760,1680,1760,4128,2208,8128,980,0,0,0,0,100,32,46,48,47,30,32,29,0,0,70,0,0,0,0,0,0,13384,1053,877,0,816,61,227,227,100,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100
13001,2445,893,89,45,9999,0,0,826,0,0,0,4205,3473,0,0,63,2,2,3,1382,492,2000,1,0,4,72,72,43622,14780,297,1260,293,67,967,0,0,3,0,2,0,0,10,0,0,0,0,0,1680,1760,1680,1760,4128,2208,13017,958,0,0,0,0,100,30,53,51,52,30,28,28,0,0,71,0,0,0,0,0,0,13384,1053,877,0,816,61,227,227,100,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100
14000,2445,893,89,45,9999,0,0,679,0,0,0,4205,2855,0,0,63,2,2,4,1382,492,2000,1,0,4,70,72,52445,15048,493,1517,598,67,1864,1,45,11,0,2,0,0,10,0,0,0,0,0,1680,1760,1680,1760,4128,2208,7633,889,0,0,0,0,100,33,54,50,53,33,33,30,0,0,71,0,0,0,0,0,0,13384,1053,877,0,816,61,227,227,100,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100
15001,2445,893,89,45,9999,0,0,800,0,0,0,4205,3364,0,0,63,2,2,3,1382,492,2000,1,0,4,71,72,44146,15326,341,1751,295,73,1273,0,2,4,0,2,0,0,10,0,0,0,0,0,1680,1760,1680,1760,4128,2208,9276,897,0,0,0,0,100,32,48,47,47,32,29,30,0,0,71,0,0,0,0,0,0,13384,1053,877,0,816,61,227,227,100,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100
16001,2445,893,89,45,9999,0,0,568,0,0,0,4205,2388,0,0,63,2,2,2,1382,492,2000,1,0,4,71,72,48755,15110,296,1497,425,67,1606,1,22,10,0,2,0,0,10,0,0,0,0,0,1680,1760,1680,1760,4128,2208,8490,959,0,0,0,0,100,29,48,44,45,29,29,27,0,0,71,0,0,0,0,0,0,13384,1053,877,0,816,61,227,227,100,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100
17001,2445,893,89,45,9999,0,0,447,0,0,0,4205,1879,0,0,63,2,2,3,1382,492,2000,1,0,4,71,72,44131,15186,341,1496,364,77,1990,0,2,6,0,2,0,0,10,0,0,0,0,0,1680,1760,1680,1760,4128,2208,7836,914,0,0,0,0,100,32,49,46,50,32,27,30,0,0,71,0,0,0,0,0,0,13384,1053,877,0,816,61,227,227,100,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100
18001,2445,893,89,45,9999,0,0,461,0,0,0,4205,1938,0,0,63,2,2,2,1382,492,2000,1,0,4,72,72,48605,15393,328,1835,385,67,1449,0,21,3,0,2,0,0,10,0,0,0,0,0,1680,1760,1680,1760,4128,2208,10314,969,0,0,0,0,100,33,49,47,44,28,33,29,0,0,74,0,0,0,0,0,0,13384,1053,877,0,816,61,227,227,100,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100
19027,2674,979,89,45,9999,0,0,583,0,0,0,4211,2455,0,0,63,2,2,3,1382,492,2000,1,0,4,72,72,47875,15138,335,1527,342,67,1580,0,24,6,0,2,0,0,10,0,0,0,0,0,1680,1760,1680,1760,4128,2208,7935,912,0,0,0,0,100,34,48,48,47,32,32,34,0,0,69,0,0,0,0,0,0,13641,1140,962,0,901,61,253,253,100,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100
20001,2674,979,89,45,9999,0,0,633,0,0,0,4211,2665,0,0,63,2,2,4,1382,492,2000,1,0,4,71,72,42785,15197,336,1528,397,67,1064,0,0,3,0,2,0,0,10,0,0,0,0,0,1680,1760,1680,1760,4128,2208,8284,895,0,0,0,0,100,44,47,45,48,39,36,44,0,0,73,0,0,0,0,0,0,13641,1140,962,0,901,61,253,253,100,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100
21001,2674,979,89,45,9999,0,0,500,0,0,0,4211,2105,0,0,63,2,2,3,1382,545,2000,1,0,4,71,72,52893,15564,464,2026,700,67,2284,1,47,9,0,2,0,0,10,0,0,0,0,0,1680,1760,1680,1760,4128,2208,8005,846,0,0,0,0,100,32,49,45,48,32,30,32,0,0,69,0,0,0,0,0,0,13641,1140,962,0,901,61,253,253,100,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100
